model,head,circular_r,circular_mean_deg,angular_mae,n_peaks,peaks,is_structured,chi2
poc_a (baseline),coa_phase,0.541636948802011,118.89728727546343,1.5860666140299902,1,105°:0.225,True,4449.831999999921
poc_a (baseline),polarization_angle,0.9721380491082725,102.70840549339799,0.8005167926329098,1,108°:0.580,True,26311.155999999522
poc_a (baseline),inclination,0.5920586813532962,302.7462345095233,1.5210500041910928,3,335°:0.111; 315°:0.085; 265°:0.042,True,2074.011999999963
poc_b (PoC),coa_phase,0.9748526221206226,111.38937156967081,1.5349474744073277,1,115°:0.439,True,18749.355999999665
poc_b (PoC),polarization_angle,0.9998737297647804,103.41386640000006,0.8013415752604558,1,102°:0.999,True,69784.32399999871
poc_b (PoC),inclination,0.5617666885078783,11.206551752911256,1.548955839744251,0,,True,2008.5279999999639
tcn,coa_phase,0.8401971292304583,22.90492977465299,1.5895924969098074,2,65°:0.121; 335°:0.081,True,4259.643999999923
tcn,polarization_angle,0.6389481045017303,110.21198328609962,0.798467925210742,4,78°:0.136; 147°:0.129; 97°:0.058; 122°:0.047,True,3992.55999999993
tcn,inclination,0.4283927168989306,292.2342153177486,1.5313862148205126,4,305°:0.055; 275°:0.052; 335°:0.051; 235°:0.046,True,770.8839999999864
cnn_attention,coa_phase,0.3861509447045145,131.40856258524417,1.6163699182593139,2,165°:0.120; 35°:0.051,True,2353.0839999999585
cnn_attention,polarization_angle,0.39604588487340076,112.19493691673644,0.7851574213212277,4,112°:0.063; 92°:0.053; 78°:0.043; 158°:0.039,True,861.1719999999846
cnn_attention,inclination,0.34921931543376783,54.94124097100816,1.5292395286437022,4,125°:0.049; 85°:0.045; 45°:0.041; 105°:0.040,True,733.8759999999869
