model,head,mae,r2,bias,std_ratio
poc_a (baseline),mchirp,1.0132779604295616,0.9580107399441565,-0.00912361827212287,0.9913019086744889
poc_a (baseline),merger_time,0.012388258697092529,0.9252074329366418,-0.0005882125072180426,1.0015215423713026
poc_a (baseline),snr,0.8242430239831353,0.7872332501597381,-0.02998387701241685,0.935408266909589
poc_b (PoC),mchirp,1.007839234901345,0.9579483252015017,0.19357179966744562,0.9960522457570142
poc_b (PoC),merger_time,0.012166842649132006,0.9276626850170796,-0.0010629623837768221,0.9797549599161239
poc_b (PoC),snr,0.8239620858434402,0.7890412202339002,0.04797917266272424,0.9203773113141153
tcn,mchirp,0.9784534679412673,0.9601894369060784,-0.04133840071750052,0.978818382312691
tcn,merger_time,0.012283751467242844,0.9238354267489105,0.0016100034091622436,0.9920353648561371
tcn,snr,0.8188063714700234,0.78840729041457,-0.03486702147611932,0.9424417673385739
cnn_attention,mchirp,1.4180685740140662,0.9196664819232807,-0.300571367122198,0.9096610336690107
cnn_attention,merger_time,0.012779074697941532,0.9062011526551159,-0.0026202625311910264,0.945943971804608
cnn_attention,snr,0.893058580399601,0.741091577056781,-0.1584191193220539,0.9870497490965459
