epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,5.16411,0.0508744,3.9427,1.35853,1.57266,0.783924,1.56938,0.168981,-0.0835274,-2.39902,0.167812,-0.0122727,0.752432,-0.00021865,0.835588,0.066419,0.60595,0.245007,0.025994,1.8286e-05,0.073539
5,snr_low,1667,7.61116,0.0500485,5.45283,1.34874,1.62366,0.781064,1.56247,-0.62116,-0.0577665,-51.3471,0.171851,-0.120518,0.750931,0.00277926,0.62766,0.0382738,1.39025,0.256603,0.0235499,2.86647e-05,0.060215
5,snr_mid,1666,4.59392,0.0514574,3.88417,1.34935,1.55991,0.782509,1.56429,0.408636,-0.0903516,-24.9906,0.173559,0.0174727,0.756311,-0.00977229,0.790491,0.0472884,1.2139,0.245123,0.0209222,9.24967e-06,0.06911
5,snr_high,1667,3.28689,0.0511177,2.49107,1.37749,1.5344,0.788199,1.58138,0.691103,-0.103324,-10.7749,0.158072,0.0575986,0.749846,0.00591154,0.935203,0.0563162,1.30107,0.232617,0.0184827,1.86971e-06,0.0838017
5,mchirp_low,2500,3.09137,0.0510606,4.22547,1.36231,1.57114,0.791157,1.57575,-0.144676,-0.0851974,-2.81122,0.161179,-0.0167665,0.74706,-0.00596432,0.92516,0.0675175,0.641698,0.253437,0.0286318,1.84197e-05,0.0838248
5,mchirp_high,2500,7.23684,0.0506883,3.65994,1.35475,1.57418,0.776691,1.56302,-2.64439,-0.0821678,-1.99205,0.174475,-0.0083194,0.757703,0.00553612,1.23563,0.0647271,0.544255,0.235012,0.0228876,1.80851e-05,0.0577391
5,merger_early,2500,5.21957,0.065546,3.96011,1.37357,1.55548,0.780797,1.57604,0.147381,-5.43488,-2.45909,0.167059,0.0123617,0.750047,0.00138865,0.837956,0.136561,0.622883,0.242937,0.026327,1.80836e-05,0.0716992
5,merger_late,2500,5.10864,0.0362028,3.92529,1.34349,1.58984,0.787051,1.56273,0.190255,-1.29623,-2.34081,0.168583,-0.0374407,0.754693,-0.00213983,0.833032,0.128066,0.588999,0.24714,0.0256515,1.84803e-05,0.0753841
5,q_low,1667,3.44536,0.0512086,4.06127,1.35717,1.55023,0.775826,1.56896,-0.0766602,-0.0739121,-2.54033,0.163183,0.0255866,0.751243,-0.0183179,0.934389,0.061323,0.612432,0.248145,0.0268977,1.92625e-05,0.0733773
5,q_mid,1666,5.31401,0.0502552,3.9433,1.3581,1.57693,0.78535,1.55123,0.0319421,-0.0703718,-2.37538,0.166558,-0.0261832,0.74999,0.0189528,0.896365,0.0664085,0.601119,0.245127,0.025982,1.72241e-05,0.0765304
5,q_high,1667,6.73303,0.0511591,3.82353,1.36031,1.59082,0.790597,1.58794,0.0313922,-0.1078,-2.28336,0.173597,-0.0374144,0.755699,-0.00551344,0.851812,0.0694182,0.602926,0.241489,0.0249343,1.83249e-05,0.0688981
5,q_low_mchirp_low,1241,2.8084,0.0510836,4.17188,1.37111,1.55914,0.782238,1.57881,-0.513983,-0.0635727,-2.69114,0.15472,0.00163547,0.747933,-0.0249326,1.08081,0.0616281,0.620764,0.249511,0.0279837,1.85473e-05,0.0768387
5,q_low_mchirp_high,426,5.30094,0.0515726,3.73907,1.31657,1.52427,0.757148,1.54029,-10.7093,-0.106574,-2.09851,0.188268,0.0913592,0.76042,0.000914258,2.03964,0.0603724,0.56424,0.243313,0.0229454,2.10714e-05,0.0523528
5,q_high_mchirp_low,544,3.40685,0.0516211,4.24403,1.36018,1.56528,0.796178,1.5969,0.0318295,-0.159657,-3.0002,0.171864,0.0054302,0.754954,0.00109238,0.779801,0.0731687,0.640395,0.256431,0.0282422,2.10098e-05,0.0839127
5,q_high_mchirp_high,1123,8.34429,0.0509354,3.61984,1.36037,1.6032,0.787893,1.5836,-3.2636,-0.0884632,-1.95042,0.174446,-0.0585208,0.755545,-0.00884187,1.29104,0.0674031,0.56236,0.232621,0.0229982,1.68011e-05,0.0569996
10,full,5000,1.85688,0.0498273,2.1994,1.58625,1.5749,0.785837,1.57121,0.868837,-0.0236493,-0.258636,0.0564693,-0.009745,0.751344,0.00104664,0.920098,0.038294,0.549058,0.104936,0.907097,0.0362589,0.0781933
10,snr_low,1667,2.6529,0.0495334,3.5244,1.57117,1.63294,0.785354,1.57179,0.744492,-0.0205329,-21.4327,0.0479634,-0.122021,0.748332,-0.00250328,0.732727,0.0266388,1.29906,0.0969655,1.42916,0.0368579,0.0597841
10,snr_mid,1666,1.61429,0.0504079,2.31672,1.58802,1.55755,0.784588,1.56252,0.911508,-0.0307682,-8.61917,0.0567104,0.0214562,0.755416,-0.00110401,0.92536,0.0308875,0.936423,0.104535,0.513682,0.021717,0.061089
10,snr_high,1667,1.3033,0.0495409,0.757165,1.59956,1.53422,0.787567,1.57932,0.945742,-0.0206554,-0.385383,0.0646607,0.0623914,0.750063,0.00637512,1.06703,0.0440062,0.663558,0.103447,0.0980331,0.00861159,0.066185
