epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,7.41526,0.0465041,1.73588,1.26181,1.57379,0.781273,1.58098,-0.369649,0.0741276,0.112988,0.438781,-0.0113142,0.753646,-0.00854884,0.674069,0.24278,0.676213,0.790777,0.55881,0.108099,1.05499
5,snr_low,1667,6.1117,0.0479323,0.790415,1.2664,1.58865,0.789404,1.55535,0.0202391,0.0213729,-0.640263,0.436243,-0.0787833,0.746009,0.00868174,0.316918,0.196582,1.16609,0.78706,0.334529,0.119039,1.08773
5,snr_mid,1666,6.76985,0.0471661,1.63534,1.24474,1.56856,0.775945,1.59415,-0.111439,0.065282,-5.01841,0.446083,0.0192963,0.760788,-0.0266489,0.497016,0.230463,1.5462,0.791646,0.518361,0.103859,1.08459
5,snr_high,1667,9.36385,0.0444145,2.78182,1.27429,1.56414,0.778466,1.59345,-1.02801,0.134309,-14.5965,0.434047,0.0202693,0.753851,-0.00800078,0.778666,0.28647,1.72542,0.79359,0.726178,0.0965154,0.986849
5,mchirp_low,2500,9.77172,0.0474166,2.10502,1.27263,1.57433,0.773977,1.58177,-8.14388,0.055801,-0.241146,0.433538,-0.0158999,0.75468,-7.69827e-05,0.972124,0.215807,0.577376,0.784779,0.466869,0.111105,1.07617
5,mchirp_high,2500,5.0588,0.0455917,1.36674,1.25099,1.57324,0.788568,1.58019,-0.93445,0.092255,0.462791,0.444056,-0.00726952,0.752618,-0.0170593,1.20596,0.261251,0.689014,0.796852,0.635115,0.102563,1.0333
5,merger_early,2500,7.338,0.0595557,1.69765,1.26165,1.57955,0.784033,1.58416,-0.336945,-4.52565,0.124534,0.444585,-0.00738295,0.747581,0.00205138,0.663397,0.397625,0.694766,0.781936,0.49327,0.103347,1.04034
5,merger_late,2500,7.49253,0.0334525,1.77411,1.26197,1.56802,0.778512,1.5778,-0.402214,-0.936838,0.101629,0.432739,-0.0154197,0.759478,-0.0197063,0.683236,0.508714,0.6572,0.79987,0.618407,0.110234,1.06944
5,q_low,1667,8.25812,0.0473057,1.88684,1.27951,1.57646,0.788622,1.59362,-3.83395,0.0709596,-0.0230339,0.429752,0.000492559,0.74386,-0.0353356,0.927943,0.224507,0.613486,0.78845,0.520029,0.109872,1.0827
5,q_mid,1666,6.94606,0.0461315,1.68578,1.24376,1.58369,0.778624,1.59425,-0.518764,0.0815772,0.180125,0.444712,-0.0322481,0.753759,-0.0245357,0.74047,0.249156,0.68541,0.793609,0.603804,0.110282,1.046
5,q_high,1667,7.04133,0.046075,1.63499,1.26216,1.56122,0.77657,1.55507,0.0758392,0.0688162,0.181511,0.441874,-0.00292754,0.762664,0.0296498,0.652183,0.252908,0.70982,0.790319,0.549597,0.103664,1.03756
5,q_low_mchirp_low,1241,9.43848,0.0473409,2.02382,1.29554,1.58062,0.784535,1.59149,-11.9446,0.0753449,-0.153036,0.424598,-0.0117592,0.744691,-0.0262968,1.22021,0.218627,0.571354,0.780639,0.461418,0.111861,1.08515
5,q_low_mchirp_high,426,4.81955,0.047203,1.4878,1.23281,1.56433,0.800531,1.59984,-10.6622,0.0563487,0.357801,0.444924,0.0336282,0.741103,-0.0616537,2.49592,0.239871,0.664072,0.813089,0.653887,0.102684,1.07523
5,q_high_mchirp_low,544,10.2197,0.0477529,2.30783,1.25877,1.56627,0.765715,1.53935,-6.29939,-0.0053109,-0.522305,0.445777,-0.0150631,0.770231,0.0695178,0.725588,0.207896,0.55165,0.781831,0.456424,0.107846,1.04211
5,q_high_mchirp_high,1123,5.50168,0.0452622,1.30906,1.2638,1.55877,0.781828,1.56268,-0.937474,0.0994265,0.508464,0.43996,0.00275424,0.758463,0.00969121,1.2188,0.264791,0.700614,0.794444,0.589281,0.0994275,1.03215
10,full,5000,3.1951,0.0212985,1.05777,1.15728,1.57739,0.788861,1.54098,0.661251,0.758934,0.667254,0.445779,-0.00843631,0.750655,0.0223616,0.87412,0.875557,0.792482,0.572369,0.198916,0.60317,0.953408
10,snr_low,1667,4.38889,0.0261024,0.930985,1.15729,1.59126,0.790241,1.54258,0.386283,0.64825,-1.34129,0.440341,-0.0761091,0.747336,0.0172026,0.616363,0.738896,1.3186,0.555888,0.159426,0.250901,1.04796
10,snr_mid,1666,2.91621,0.0197514,0.91484,1.14077,1.56186,0.796456,1.55443,0.745827,0.793673,-1.14689,0.45241,0.0287765,0.750768,-0.000184044,0.853902,0.892367,1.57781,0.572897,0.176524,0.560017,0.942354
10,snr_high,1667,2.28003,0.0180408,1.32739,1.17377,1.57905,0.779889,1.52592,0.841666,0.833246,-3.27638,0.444593,0.0168243,0.753703,0.0490598,1.0561,0.976892,1.51749,0.587648,0.202445,0.764793,0.850382
10,mchirp_low,2500,2.33427,0.0239196,1.08756,1.16697,1.57966,0.792169,1.54757,0.275121,0.691149,0.638198,0.434688,-0.0141895,0.746588,0.0201464,0.956229,0.838157,0.827424,0.547766,0.16693,0.609655,0.948101
10,mchirp_high,2500,4.05593,0.0186774,1.02797,1.14759,1.57513,0.785552,1.53438,-0.340646,0.826914,0.695933,0.456991,-0.00323262,0.754644,0.0245744,1.18578,0.904348,0.756101,0.596287,0.207212,0.596657,0.947995
10,merger_early,2500,3.28217,0.0216035,1.06856,1.16159,1.58099,0.783743,1.53353,0.643685,0.0224668,0.659616,0.443936,0.00128568,0.748774,0.0374254,0.89997,0.951486,0.794051,0.549484,0.194579,0.546455,0.946385
10,merger_late,2500,3.10803,0.0209935,1.04698,1.15297,1.57379,0.793978,1.54842,0.678598,0.0647242,0.674667,0.447687,-0.0184327,0.752428,0.00662923,0.843332,1.1249,0.790582,0.595203,0.202411,0.648562,0.956908
10,q_low,1667,2.27354,0.0211803,1.0323,1.16881,1.57225,0.79138,1.53427,0.521624,0.764978,0.684918,0.43673,0.0139749,0.744263,0.0223532,1.01678,0.870182,0.797156,0.561436,0.169025,0.62767,0.98566
10,q_mid,1666,3.18651,0.0216927,1.05424,1.14356,1.59837,0.789607,1.5251,0.625386,0.749435,0.669016,0.451468,-0.0405406,0.74733,0.0334812,0.923973,0.873262,0.800058,0.576264,0.205227,0.605467,0.949866
10,q_high,1667,4.12525,0.0210227,1.08675,1.15946,1.56157,0.785595,1.56355,0.602087,0.76202,0.64715,0.449131,0.000227499,0.759731,0.00739017,0.867324,0.88306,0.779993,0.579266,0.216939,0.575835,0.925386
10,q_low_mchirp_low,1241,2.02552,0.0221124,1.04654,1.18226,1.57724,0.787265,1.53925,0.169764,0.745202,0.673618,0.427808,0.0012305,0.743946,0.0209068,1.16761,0.855718,0.807748,0.54898,0.160126,0.631849,0.981966
10,q_low_mchirp_high,426,2.99606,0.0184651,0.990817,1.12963,1.55772,0.803368,1.51975,-3.1541,0.823789,0.718022,0.463719,0.0484975,0.74481,0.0265466,2.07478,0.911316,0.765042,0.599214,0.181229,0.615783,0.977725
10,q_high_mchirp_low,544,2.83796,0.0263485,1.19046,1.16468,1.58449,0.774616,1.55544,0.236059,0.614415,0.556134,0.439209,-0.0351559,0.768891,0.0403306,0.807303,0.793553,0.832636,0.537987,0.161427,0.585038,0.898053
10,q_high_mchirp_high,1123,4.74883,0.0184428,1.03651,1.15693,1.55047,0.790914,1.56748,-0.629154,0.830329,0.689424,0.453993,0.0172338,0.754745,-0.00910518,1.21894,0.908614,0.75334,0.598404,0.218419,0.571774,0.933863
15,full,5000,2.2458,0.0164642,0.931629,1.45913,1.58563,0.775545,1.57253,0.843211,0.857287,0.740742,0.0739289,-0.0227033,0.756745,-0.000554739,0.89522,0.966882,0.875192,1.25272,1.52925,0.0703616,0.123164
15,snr_low,1667,2.76597,0.0194935,1.09163,1.39787,1.64506,0.780462,1.57999,0.741211,0.794927,-2.12484,0.145321,-0.137626,0.752299,-0.0203634,0.803729,0.889496,1.47199,1.20242,1.36437,0.0608911,0.114635
15,snr_mid,1666,2.02217,0.0155403,0.962765,1.46728,1.57935,0.771735,1.58024,0.885834,0.876944,-1.24933,0.0652098,0.000132514,0.761853,-0.0202905,0.914141,0.979899,1.69263,1.2535,1.44939,0.0652728,0.119365
15,snr_high,1667,1.94912,0.0143583,0.740508,1.51226,1.53248,0.774435,1.55737,0.898176,0.899062,-0.475339,0.0115545,0.06011,0.755842,0.0376932,0.958252,1.02572,1.24787,1.29984,1.58525,0.079132,0.117108
15,mchirp_low,2500,1.7694,0.0179589,0.966396,1.51633,1.5883,0.771852,1.57911,0.596851,0.824953,0.718355,0.000432662,-0.0271851,0.75631,-0.00840634,0.996846,0.949849,0.88365,1.24354,1.53966,0.0654913,0.121898
15,mchirp_high,2500,2.72219,0.0149696,0.896863,1.40194,1.58296,0.779238,1.56595,0.417436,0.889706,0.762838,0.148462,-0.0187671,0.757162,0.00731302,0.956454,0.982704,0.866783,1.25704,1.519,0.072106,0.123683
