epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,3.42814,0.0224028,1.05561,1.31471,1.57195,0.778739,1.57912,0.631123,0.733603,0.668154,0.401157,-0.0121996,0.754434,-0.00186316,0.738832,0.881718,0.849847,0.798113,4.91281e-16,7.53283e-09,0.616359
5,snr_low,1667,4.48072,0.0278816,1.14621,1.32368,1.61814,0.776737,1.57973,0.40018,0.606864,-2.4236,0.393143,-0.113851,0.753669,-0.00862343,0.496157,0.747944,1.43955,0.790705,5.04549e-16,1.29021e-08,0.683446
5,snr_mid,1666,3.27837,0.0208783,0.958738,1.30057,1.56162,0.773091,1.58906,0.686667,0.768738,-1.27821,0.408106,0.0143574,0.75996,-0.0173319,0.715216,0.892793,1.69084,0.800137,4.86678e-16,1.50325e-09,0.591022
5,snr_high,1667,2.52524,0.0184475,1.06182,1.31986,1.5361,0.786385,1.56858,0.79903,0.823387,-2.0616,0.402218,0.0547618,0.749443,0.0195216,0.92514,0.986547,1.67986,0.803423,4.83433e-16,8.03196e-10,0.56953
5,mchirp_low,2500,2.94807,0.0257738,1.08973,1.32349,1.57145,0.777287,1.57691,-0.231457,0.650577,0.639951,0.395717,-0.0172761,0.753444,0.00711114,0.847712,0.834921,0.876994,0.787089,4.92404e-16,8.33102e-09,0.618217
5,mchirp_high,2500,3.90821,0.0190317,1.02148,1.30592,1.57245,0.780191,1.58134,-0.211818,0.816874,0.695991,0.406628,-0.00766865,0.755396,-0.0108777,1.02589,0.912932,0.809503,0.809183,4.90287e-16,6.65276e-09,0.614052
5,merger_early,2500,3.368,0.0222088,1.0859,1.31737,1.55406,0.784443,1.57381,0.638217,-0.0329195,0.644009,0.401646,0.0118566,0.748207,0.015981,0.785283,1.03442,0.847507,0.781242,4.89193e-16,8.50114e-09,0.661246
5,merger_late,2500,3.48828,0.0225967,1.02532,1.31204,1.58985,0.773035,1.58443,0.624049,-0.0777952,0.691668,0.400641,-0.0367794,0.760424,-0.020457,0.689596,1.21584,0.85217,0.815208,4.93422e-16,6.44967e-09,0.566455
5,q_low,1667,2.64026,0.0221573,1.04244,1.33062,1.55098,0.770383,1.58978,0.354775,0.74711,0.684889,0.392398,0.0241974,0.754404,-0.0192812,0.905955,0.875813,0.856382,0.794853,4.87623e-16,8.51672e-09,0.568868
5,q_mid,1666,3.25097,0.0228914,1.0663,1.29873,1.57376,0.778563,1.57094,0.617267,0.722492,0.664793,0.407375,-0.0247843,0.750712,0.00558641,0.769665,0.878243,0.863309,0.801106,4.94047e-16,7.80164e-09,0.601349
5,q_high,1667,4.39308,0.0221599,1.05809,1.31475,1.59113,0.787271,1.57665,0.580349,0.730657,0.654236,0.403694,-0.0371664,0.757825,0.0038312,0.729633,0.890739,0.829488,0.798421,4.92328e-16,6.14355e-09,0.672714
5,q_low_mchirp_low,1241,2.65904,0.0230708,1.04829,1.34677,1.56018,0.773086,1.58532,-0.495634,0.725433,0.681868,0.386783,0.00114112,0.752296,-0.0105147,1.0522,0.861128,0.861555,0.785173,4.9049e-16,9.39716e-09,0.564217
5,q_low_mchirp_high,426,2.58553,0.0194963,1.02542,1.28358,1.52416,0.762509,1.60276,-2.10182,0.811577,0.693738,0.408953,0.087474,0.760125,-0.0448067,1.85358,0.914213,0.833725,0.825098,4.79792e-16,5.20976e-09,0.581722
5,q_high_mchirp_low,544,3.44153,0.028695,1.18176,1.30654,1.56719,0.802939,1.5591,-0.204758,0.551089,0.552445,0.407557,0.0022062,0.752134,0.0348046,0.695982,0.783227,0.85402,0.780655,9.8291e-16,5.42639e-09,0.723373
5,q_high_mchirp_high,1123,4.85403,0.0189941,0.998183,1.31873,1.60273,0.779681,1.58514,-0.584798,0.813849,0.701516,0.4018,-0.0565816,0.760092,-0.0116807,1.07057,0.916478,0.798488,0.806985,9.85619e-16,6.47012e-09,0.645858
10,full,5000,1.93434,0.0166738,1.0853,1.26798,1.57195,0.778739,1.56755,0.876299,0.848792,0.650499,0.357227,-0.0121996,0.754434,0.0021609,0.944215,1.00149,0.856698,0.603378,4.91281e-16,2.77545e-09,0.774149
10,snr_low,1667,2.61328,0.0200649,1.43434,1.27288,1.61814,0.776737,1.55941,0.772362,0.778547,-3.98445,0.349948,-0.113851,0.753669,0.0108366,0.82438,0.903469,1.54867,0.594459,5.04549e-16,4.49066e-09,0.795791
10,snr_mid,1666,1.69151,0.0155552,1.11428,1.25142,1.56162,0.773091,1.57426,0.91716,0.871349,-1.96015,0.364756,0.0143574,0.75996,-0.0207024,0.970041,1.02077,1.63431,0.605512,4.86678e-16,1.64151e-09,0.785887
10,snr_high,1667,1.49809,0.0144006,0.707308,1.27963,1.5361,0.786385,1.56898,0.935065,0.89544,-0.307699,0.356979,0.0547618,0.749443,0.0156752,1.02333,1.07192,1.25646,0.610027,4.83433e-16,6.02397e-10,0.736871
10,mchirp_low,2500,1.65042,0.0186043,1.14425,1.27405,1.57145,0.777287,1.57068,0.598816,0.805757,0.611707,0.351225,-0.0172761,0.753444,-0.00139047,0.953149,0.978172,0.899409,0.588181,4.92404e-16,3.76452e-09,0.796677
10,mchirp_high,2500,2.21826,0.0147432,1.02636,1.2619,1.57245,0.780191,1.56442,0.587016,0.891951,0.688795,0.363265,-0.00766865,0.755396,0.00571405,1.09579,1.0244,0.810973,0.618397,4.90287e-16,1.15223e-09,0.745309
10,merger_early,2500,1.91091,0.0171082,1.10943,1.2709,1.55406,0.784443,1.58519,0.878389,0.364883,0.630123,0.355139,0.0118566,0.748207,-0.00303798,0.965222,1.09982,0.873871,0.583012,4.89193e-16,3.65419e-09,0.783595
10,merger_late,2500,1.95778,0.0162394,1.06117,1.26506,1.58985,0.773035,1.54991,0.874213,0.433875,0.670334,0.359388,-0.0367794,0.760424,0.00722907,0.921689,1.11507,0.839573,0.623847,4.93422e-16,1.48811e-09,0.761044
10,q_low,1667,1.54263,0.0169036,1.12436,1.27853,1.55098,0.770383,1.57794,0.765456,0.853071,0.628211,0.350583,0.0241974,0.754404,-0.0291914,1.01033,1.01125,0.866652,0.598668,4.87623e-16,1.87436e-09,0.782534
10,q_mid,1666,1.90664,0.0168703,1.09336,1.25775,1.57376,0.778563,1.54692,0.865488,0.840826,0.647937,0.36096,-0.0247843,0.750712,0.026922,0.980938,1.00397,0.856776,0.606125,4.94047e-16,4.3766e-09,0.776785
10,q_high,1667,2.35375,0.0162476,1.03819,1.26764,1.59113,0.787271,1.57778,0.867361,0.852245,0.675378,0.360108,-0.0371664,0.757825,0.00433847,0.946289,0.988625,0.845292,0.605347,4.92328e-16,8.37685e-10,0.762806
10,q_low_mchirp_low,1241,1.4967,0.0172729,1.14963,1.29485,1.56018,0.773086,1.59167,0.489274,0.845099,0.61471,0.342955,0.00114112,0.752296,-0.0417247,1.08946,0.997509,0.878453,0.589274,4.9049e-16,1.83277e-09,0.805168
10,q_low_mchirp_high,426,1.67642,0.0158278,1.05072,1.231,1.52416,0.762509,1.53792,-0.346807,0.876696,0.667762,0.373372,0.087474,0.760125,0.00726307,1.54199,1.05109,0.830129,0.627611,4.79792e-16,1.99045e-09,0.71161
10,q_high_mchirp_low,544,1.85898,0.0199737,1.10262,1.25862,1.56719,0.802939,1.553,0.634727,0.754331,0.628864,0.361851,0.0022062,0.752134,0.047589,0.802729,0.932466,0.918136,0.579203,9.8291e-16,1.46135e-09,0.777215
10,q_high_mchirp_high,1123,2.59342,0.0144426,1.00698,1.27201,1.60273,0.779681,1.58978,0.49391,0.897603,0.696978,0.359253,-0.0565816,0.760092,-0.017312,1.12926,1.01341,0.808624,0.61771,9.85619e-16,1.20453e-16,0.748101
15,full,5000,1.98604,0.0195394,1.01466,1.10264,1.57195,0.778739,1.57902,0.878648,0.811171,0.692301,0.544127,-0.0121996,0.754434,-0.00823361,0.902006,0.952013,0.86405,0.864589,4.91281e-16,2.4392e-16,1.08614
15,snr_low,1667,2.3853,0.0201204,1.32443,1.10054,1.61814,0.776737,1.57681,0.803737,0.785045,-3.30928,0.541908,-0.113851,0.753669,-0.0138808,0.836179,0.889745,1.48263,0.842826,5.04549e-16,2.45026e-16,0.988424
15,snr_mid,1666,1.82027,0.0190403,1.07147,1.09133,1.56162,0.773091,1.60281,0.9103,0.828169,-1.73328,0.54657,0.0143574,0.75996,-0.0442294,0.921423,0.970682,1.63433,0.867946,4.86678e-16,1.2121e-16,1.05508
15,snr_high,1667,1.75246,0.0194573,0.648126,1.11605,1.5361,0.786385,1.55746,0.918642,0.819692,-0.099368,0.543896,0.0547618,0.749443,0.031989,0.942902,0.988343,1.1588,0.882413,4.83433e-16,2.44405e-16,1.19806
15,mchirp_low,2500,1.49521,0.0210701,1.05523,1.09854,1.57145,0.777287,1.58606,0.704607,0.77731,0.667619,0.546614,-0.0172761,0.753444,-0.00914686,0.935817,0.940271,0.875218,0.827181,4.92404e-16,2.44947e-16,0.952406
15,mchirp_high,2500,2.47687,0.0180088,0.974095,1.10674,1.57245,0.780191,1.57198,0.539772,0.84511,0.716662,0.541563,-0.00766865,0.755396,-0.00732754,0.963711,0.96361,0.852632,0.900753,4.90287e-16,2.42912e-16,1.20529
15,merger_early,2500,1.99167,0.0219007,1.04484,1.06801,1.55406,0.784443,1.58622,0.878016,0.0473913,0.668844,0.57162,0.0118566,0.748207,-0.00286737,0.905144,1.22283,0.881851,0.751694,4.89193e-16,2.45778e-16,1.08908
15,merger_late,2500,1.98042,0.0171781,0.984489,1.13727,1.58985,0.773035,1.57182,0.879257,0.442064,0.715147,0.515538,-0.0367794,0.760424,-0.0140167,0.89861,0.861608,0.846304,0.967907,4.93422e-16,2.4213e-16,1.08326
15,q_low,1667,1.35113,0.0198788,1.0435,1.11749,1.55098,0.770383,1.60326,0.826992,0.805542,0.677334,0.533375,0.0241974,0.754404,-0.0389641,0.972226,0.951823,0.860295,0.856281,4.87623e-16,2.46156e-16,1.02649
15,q_mid,1666,1.99731,0.0196578,1.02598,1.0746,1.57376,0.778563,1.57073,0.867822,0.808863,0.686668,0.560352,-0.0247843,0.750712,-0.000366425,0.940099,0.953133,0.866665,0.871872,4.94047e-16,1.2272e-16,1.09198
15,q_high,1667,2.60969,0.0190817,0.974511,1.11581,1.59113,0.787271,1.56307,0.856588,0.819019,0.712932,0.538774,-0.0371664,0.757825,0.0101034,0.899199,0.950674,0.86522,0.865572,4.92328e-16,2.40394e-16,1.13285
15,q_low_mchirp_low,1241,1.24016,0.0202816,1.05952,1.11894,1.56018,0.773086,1.59389,0.672283,0.796216,0.67196,0.534387,0.00114112,0.752296,-0.0250621,1.03897,0.945468,0.860198,0.837257,4.9049e-16,1.23281e-16,0.980235
15,q_low_mchirp_high,426,1.67438,0.0187056,0.99685,1.11324,1.52416,0.762509,1.63056,-0.31963,0.833139,0.693076,0.529407,0.087474,0.760125,-0.0794336,1.34403,0.970672,0.860495,0.913873,4.79792e-16,1.22579e-16,1.15
15,q_high_mchirp_low,544,1.78538,0.0221673,1.01246,1.10681,1.56719,0.802939,1.58055,0.705968,0.746494,0.688501,0.549723,0.0022062,0.752134,0.0061469,0.813528,0.92587,0.878286,0.79393,9.8291e-16,1.19933e-16,0.932496
15,q_high_mchirp_high,1123,3.009,0.017587,0.956127,1.12017,1.60273,0.779681,1.5546,0.419082,0.85229,0.724274,0.533408,-0.0565816,0.760092,0.0120565,0.979697,0.961294,0.859021,0.898281,9.85619e-16,1.20453e-16,1.22
20,full,5000,1.33672,0.0145385,0.897751,1.67512,1.57195,0.778739,1.56731,0.938631,0.888376,0.757878,-0.131133,-0.0121996,0.754434,-0.000833784,1.00926,0.976434,0.918515,1.28692,4.91281e-16,2.4392e-16,0.467915
20,snr_low,1667,1.79922,0.0161354,1.03332,1.7761,1.61814,0.776737,1.5643,0.883489,0.848872,-1.80832,-0.297522,-0.113851,0.753669,-0.00822618,0.971815,0.936757,1.4523,1.34341,5.04549e-16,2.45026e-16,0.401793
20,snr_mid,1666,1.20721,0.0135878,0.980819,1.6785,1.56162,0.773091,1.56111,0.95887,0.907372,-1.33317,-0.124053,0.0143574,0.75996,-0.00709687,1.01138,0.989136,1.72879,1.28637,4.86678e-16,1.2121e-16,0.476955
20,snr_high,1667,1.00367,0.0138917,0.679168,1.57074,1.5361,0.786385,1.5765,0.971338,0.908211,-0.249206,0.0272724,0.0547618,0.749443,0.0122321,1.04267,1.00114,1.27438,1.22642,4.83433e-16,2.44405e-16,0.47211
20,mchirp_low,2500,1.1719,0.0154406,0.929689,1.7882,1.57145,0.777287,1.58643,0.788539,0.867834,0.739652,-0.309204,-0.0172761,0.753444,-0.0173489,0.986867,0.949352,0.916846,1.36528,4.92404e-16,2.44947e-16,0.538689
20,mchirp_high,2500,1.50155,0.0136364,0.865813,1.56203,1.57245,0.780191,1.54819,0.80209,0.908964,0.775866,0.0495438,-0.00766865,0.755396,0.0157266,1.08566,1.00301,0.920195,1.2004,4.90287e-16,2.42912e-16,0.382092
20,merger_early,2500,1.31666,0.0140231,0.913453,1.73198,1.55406,0.784443,1.57298,0.941556,0.566597,0.74555,-0.193114,0.0118566,0.748207,0.00736095,1.01114,1.02464,0.933109,1.09394,4.89193e-16,2.45778e-16,0.511945
20,merger_late,2500,1.35679,0.0150539,0.882049,1.61825,1.58985,0.773035,1.56163,0.935727,0.548944,0.769876,-0.0667117,-0.0367794,0.760424,-0.00951921,1.00722,1.1057,0.904002,1.46019,4.93422e-16,2.4213e-16,0.413678
20,q_low,1667,1.08667,0.0139973,0.886145,1.75157,1.55098,0.770383,1.56533,0.866342,0.899401,0.764705,-0.249267,0.0241974,0.754404,-0.0197325,1.05917,0.976628,0.912129,1.34907,4.87623e-16,2.46156e-16,0.474758
20,q_mid,1666,1.35614,0.0148992,0.909215,1.64969,1.57376,0.778563,1.54562,0.928151,0.881259,0.75112,-0.0978901,-0.0247843,0.750712,0.0286165,1.04774,0.977478,0.92394,1.28804,4.94047e-16,1.2272e-16,0.469472
