epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,3.80573,0.0232217,1.08128,1.24719,1.57195,0.778739,1.55898,0.585733,0.721366,0.657922,0.458324,-0.0121996,0.754434,0.016264,0.82336,0.846416,0.834019,0.820421,3.15956e-09,2.4392e-16,0.337214
5,snr_low,1667,4.41701,0.0283799,1.2579,1.25772,1.61814,0.776737,1.56936,0.443665,0.600373,-2.97635,0.450233,-0.113851,0.753669,-0.00129086,0.551018,0.683894,1.42682,0.812403,5.06804e-09,2.45026e-16,0.334404
5,snr_mid,1666,3.64551,0.02173,0.955573,1.23064,1.56162,0.773091,1.55697,0.639928,0.760285,-1.26407,0.465331,0.0143574,0.75996,0.011641,0.777559,0.853112,1.66907,0.822853,2.33157e-09,1.2121e-16,0.332135
5,snr_high,1667,3.35457,0.0195544,1.03029,1.25321,1.5361,0.786385,1.55061,0.667641,0.801626,-1.80465,0.459406,0.0547618,0.749443,0.0376492,1.04787,0.972767,1.64504,0.825894,4.83433e-16,2.44405e-16,0.337829
5,mchirp_low,2500,4.07061,0.0266798,1.10889,1.26078,1.57145,0.777287,1.55845,-1.06987,0.638134,0.635434,0.450435,-0.0172761,0.753444,0.0229418,0.889228,0.789351,0.856559,0.81262,4.92404e-16,2.44947e-16,0.381701
5,mchirp_high,2500,3.54084,0.0197636,1.05368,1.2336,1.57245,0.780191,1.55951,0.0244807,0.80484,0.680111,0.466287,-0.00766865,0.755396,0.00955376,1.15021,0.891407,0.805367,0.828279,4.45536e-09,2.42912e-16,0.279652
5,merger_early,2500,3.65956,0.0225288,1.10489,1.24924,1.55406,0.784443,1.57411,0.605075,-0.0439174,0.639203,0.462611,0.0118566,0.748207,0.00889802,0.85241,0.950823,0.835377,0.809761,1.31291e-09,2.45778e-16,0.315383
5,merger_late,2500,3.9519,0.0239146,1.05767,1.24515,1.58985,0.773035,1.54384,0.566527,-0.161368,0.676142,0.45386,-0.0367794,0.760424,0.0235611,0.791332,1.1538,0.832738,0.831349,4.2853e-09,2.4213e-16,0.358108
5,q_low,1667,3.61309,0.0235311,1.07972,1.26584,1.55098,0.770383,1.53915,-0.0882158,0.722075,0.663689,0.448866,0.0241974,0.754404,0.0191325,0.965624,0.837562,0.839846,0.817849,4.87623e-16,2.46156e-16,0.378399
5,q_mid,1666,3.67333,0.0230999,1.07774,1.22734,1.57376,0.778563,1.55917,0.540431,0.721203,0.659855,0.465731,-0.0247843,0.750712,0.0139882,0.872894,0.844504,0.840052,0.823343,4.09703e-09,1.2272e-16,0.316338
5,q_high,1667,4.13068,0.023034,1.08638,1.24838,1.59113,0.787271,1.57862,0.632646,0.720483,0.649715,0.460389,-0.0371664,0.757825,0.0117712,0.808427,0.856694,0.822213,0.820117,3.65854e-09,2.40394e-16,0.313401
5,q_low_mchirp_low,1241,3.84427,0.0250203,1.0869,1.28234,1.56018,0.773086,1.54571,-1.70929,0.691691,0.658037,0.443091,0.00114112,0.752296,0.019589,1.10542,0.818691,0.841722,0.809324,4.9049e-16,1.23281e-16,0.389312
5,q_low_mchirp_high,426,2.93962,0.0191927,1.05881,1.21776,1.52416,0.762509,1.52004,-2.98828,0.812563,0.680248,0.466018,0.087474,0.760125,0.0177887,1.96103,0.890463,0.831305,0.844664,4.79792e-16,1.22579e-16,0.3363
5,q_high_mchirp_low,544,4.52638,0.0290999,1.17205,1.25026,1.56719,0.802939,1.58564,-0.898003,0.553836,0.578782,0.459419,0.0022062,0.752134,0.0271237,0.727056,0.72705,0.832158,0.808155,9.8291e-16,1.19933e-16,0.365768
5,q_high_mchirp_high,1123,3.939,0.0200957,1.04488,1.24747,1.60273,0.779681,1.57522,-0.105475,0.797555,0.68266,0.460864,-0.0565816,0.760092,0.00406984,1.19487,0.896397,0.807041,0.825888,4.45862e-09,1.20453e-16,0.278445
10,full,5000,2.06408,0.0171123,0.925716,1.12474,1.57195,0.778739,1.57293,0.86329,0.842986,0.746202,0.497046,-0.0121996,0.754434,-0.00169751,0.917098,0.985449,0.868315,0.642945,5.8272e-09,2.4392e-16,0.552609
10,snr_low,1667,2.69748,0.0196092,0.905335,1.13016,1.61814,0.776737,1.60778,0.756297,0.78796,-1.23688,0.486852,-0.113851,0.753669,-0.0451266,0.777488,0.888744,1.45559,0.623024,1.02136e-08,2.45026e-16,0.574865
10,snr_mid,1666,1.74606,0.0156543,0.878555,1.10803,1.56162,0.773091,1.55435,0.911049,0.867154,-0.958368,0.503844,0.0143574,0.75996,0.00931076,0.935818,1.00475,1.65845,0.646749,1.59987e-09,1.2121e-16,0.580167
10,snr_high,1667,1.74853,0.0160726,0.993231,1.13602,1.5361,0.786385,1.55664,0.91773,0.872926,-1.49512,0.500428,0.0547618,0.749443,0.0297369,1.01808,1.05454,1.35486,0.658482,4.83433e-16,2.44405e-16,0.496564
10,mchirp_low,2500,1.75878,0.0180041,0.944855,1.13564,1.57145,0.777287,1.56702,0.564952,0.818005,0.731321,0.486046,-0.0172761,0.753444,0.0119517,1.01144,0.967222,0.889582,0.625233,2.89694e-09,2.44947e-16,0.559725
10,mchirp_high,2500,2.36939,0.0162205,0.906578,1.11384,1.57245,0.780191,1.57883,0.53891,0.868018,0.760883,0.508171,-0.00766865,0.755396,-0.0154027,1.0148,1.00348,0.845304,0.66044,7.69955e-09,2.42912e-16,0.538834
10,merger_early,2500,2.04952,0.0165429,0.957821,1.12693,1.55406,0.784443,1.57696,0.865437,0.421134,0.729272,0.497696,0.0118566,0.748207,0.00481781,0.9098,0.976079,0.868685,0.625751,3.09593e-09,2.45778e-16,0.559713
10,merger_late,2500,2.07865,0.0176818,0.893611,1.12255,1.58985,0.773035,1.56889,0.861146,0.33677,0.762687,0.496364,-0.0367794,0.760424,-0.00865873,0.923418,1.18454,0.867851,0.660349,7.66127e-09,2.4213e-16,0.538299
10,q_low,1667,1.58683,0.0166614,0.90385,1.14107,1.55098,0.770383,1.57789,0.758971,0.858446,0.755222,0.486664,0.0241974,0.754404,-0.0151722,1.02208,0.996816,0.866931,0.636646,2.62563e-09,2.46156e-16,0.520209
10,q_mid,1666,2.01021,0.0169824,0.921533,1.10575,1.57376,0.778563,1.57551,0.85711,0.838815,0.748148,0.504861,-0.0247843,0.750712,-0.00325398,0.965815,0.988285,0.869354,0.646361,3.71807e-09,1.2272e-16,0.555451
10,q_high,1667,2.59518,0.0176931,0.951764,1.1274,1.59113,0.787271,1.56539,0.845566,0.831205,0.734774,0.499631,-0.0371664,0.757825,0.00908438,0.909807,0.969632,0.868112,0.645818,9.02526e-09,2.40394e-16,0.580667
10,q_low_mchirp_low,1241,1.57156,0.0168816,0.906787,1.15313,1.56018,0.773086,1.57452,0.459302,0.85316,0.750915,0.478894,0.00114112,0.752296,-0.00279646,1.14305,0.986925,0.871946,0.626034,1.98053e-09,1.23281e-16,0.529832
10,q_low_mchirp_high,426,1.6313,0.0160198,0.895295,1.10592,1.52416,0.762509,1.58769,-0.278549,0.87404,0.767841,0.510133,0.087474,0.760125,-0.0512001,1.49898,1.02471,0.850765,0.669309,3.89545e-09,1.22579e-16,0.488735
