epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
5,full,5000,1.85811,0.157754,0.0175555,1.14725,0.875189,0.196704,0.83236,0.602992,1.03383,0.474453,0.979027,0.904861
5,snr_low,1667,2.60659,0.160994,0.0184521,1.46985,0.756533,0.143778,0.7829,-4.44276,0.982264,0.423557,1.01196,1.67312
5,snr_mid,1666,1.63599,0.156295,0.0160533,1.31568,0.92013,0.215424,0.871615,-2.92326,1.03195,0.488693,1.00189,1.74659
5,snr_high,1667,1.33162,0.155973,0.0181602,0.656314,0.944097,0.227994,0.841551,-0.13034,1.07796,0.504771,0.907951,1.07844
5,mchirp_low,2500,1.54337,0.186094,0.0184141,1.2648,0.590006,0.0272869,0.803065,0.520149,1.10103,0.336576,1.00151,0.881353
5,mchirp_high,2500,2.17285,0.129414,0.0166968,1.0297,0.586232,0.127369,0.861721,0.684806,1.135,0.575415,0.95413,0.92214
5,merger_early,2500,1.83957,0.159505,0.0195726,1.17735,0.879448,0.20229,0.196565,0.576514,1.03889,0.468776,1.21185,0.913835
5,merger_late,2500,1.87664,0.156003,0.0155384,1.11715,0.870955,0.190754,0.465156,0.628775,1.02876,0.479537,1.00392,0.895948
10,full,5000,1.6077,0.154472,0.015354,0.893146,0.900755,0.225063,0.865999,0.752029,1.01877,0.515902,0.97099,0.958921
10,snr_low,1667,2.32446,0.158588,0.0185147,0.936515,0.795949,0.171193,0.782789,-1.54049,0.995603,0.483216,0.96932,1.50563
10,snr_mid,1666,1.39436,0.151475,0.0141187,1.06116,0.941588,0.256995,0.898362,-1.6989,1.01823,0.538778,0.980842,1.91415
10,snr_high,1667,1.10414,0.153352,0.0134277,0.681861,0.960419,0.244239,0.915611,-0.293348,1.04131,0.518744,0.962519,1.22954
10,mchirp_low,2500,1.35825,0.181215,0.0158992,0.938051,0.681928,0.0665996,0.841179,0.72605,1.09293,0.335205,0.97185,0.966028
10,mchirp_high,2500,1.85715,0.127729,0.0148087,0.848241,0.666531,0.149782,0.890877,0.777675,1.08347,0.59139,0.96795,0.951363
