epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
5,full,5000,1.88299,0.0267338,0.962503,1.58022,0.53399,1.57794,0.876172,0.658673,0.71232,-0.0209345,0.119973,-0.0109691,1.00729,0.907248,0.96298,0.49924,0.392096,0.34028
5,snr_low,1667,2.65757,0.0239105,1.10301,1.5643,0.550495,1.59279,0.757344,0.687958,-2.3783,-0.00314977,0.0498322,-0.0823538,0.907202,0.938402,1.65676,0.662247,0.352859,0.475727
5,snr_mid,1666,1.623,0.0263165,1.15512,1.59302,0.522128,1.58331,0.924003,0.687506,-2.13593,-0.0359367,0.122595,0.00589054,1.008,0.929479,1.8583,0.351072,0.40773,0.280423
5,snr_high,1667,1.36826,0.029974,0.629498,1.58335,0.529338,1.55771,0.942182,0.600202,-0.0743203,-0.024062,0.18259,0.0377694,1.08602,0.83732,1.11885,0.415136,0.390522,0.212907
5,mchirp_low,2500,1.51043,0.0231913,0.98401,1.57208,0.531506,1.57894,0.649837,0.724236,0.696735,0.00688343,0.115454,-0.0148873,0.975766,0.923771,0.967853,0.42084,0.388134,0.377173
5,mchirp_high,2500,2.25555,0.0302762,0.940996,1.58837,0.536473,1.57693,0.557729,0.592755,0.727695,-0.0498441,0.123955,-0.00758585,1.16307,0.876612,0.958179,0.547529,0.395723,0.272828
5,merger_early,2500,1.88057,0.0328895,1.0038,1.57099,0.524075,1.58352,0.877111,-0.957533,0.684338,-0.00601416,0.151652,-0.0112758,1.00404,1.31294,0.972152,0.541015,0.384222,0.398762
5,merger_late,2500,1.88541,0.0205781,0.92121,1.58946,0.543904,1.57235,0.875224,0.211658,0.739582,-0.0365888,0.0868333,-0.0107628,1.00932,0.827439,0.953603,0.452705,0.383349,0.243496
5,q_low,1667,1.52968,0.0240843,0.966873,1.57827,0.528642,1.57151,0.745771,0.722208,0.710947,0.0130092,0.131465,0.0115139,1.1001,0.909271,0.960292,0.458847,0.406765,0.359572
5,q_mid,1666,1.98148,0.027027,0.968867,1.57753,0.531268,1.56026,0.845168,0.652739,0.711874,-0.0569621,0.120054,-0.00193076,1.05639,0.905464,0.960676,0.537726,0.393398,0.335859
5,q_high,1667,2.13788,0.0290903,0.951772,1.58486,0.542058,1.60203,0.884283,0.599367,0.713861,-0.0211519,0.108015,-0.0432116,0.999152,0.905676,0.968521,0.499676,0.37593,0.310318
5,q_low_mchirp_low,1241,1.37399,0.0228693,0.972276,1.58008,0.521597,1.56318,0.523569,0.741665,0.707597,0.0336405,0.124465,0.0125996,1.14779,0.911007,0.953802,0.399821,0.405688,0.369195
5,q_low_mchirp_high,426,1.98322,0.0276238,0.951134,1.573,0.549165,1.59577,-0.973331,0.663532,0.72076,-0.0587757,0.147894,0.00748298,1.7762,0.902143,0.97883,0.59501,0.409648,0.306105
5,q_high_mchirp_low,544,1.74341,0.0238076,0.982933,1.57489,0.555295,1.60072,0.683937,0.696498,0.691411,-0.0148034,0.0694422,-0.0418597,0.800672,0.938512,0.97987,0.424552,0.353572,0.351316
5,q_high_mchirp_high,1123,2.32897,0.0316493,0.936677,1.5897,0.535645,1.60266,0.557604,0.55188,0.724282,-0.0242664,0.126758,-0.0441086,1.16915,0.865041,0.962926,0.505329,0.386174,0.277051
10,full,5000,1.67064,0.0169137,1.30942,1.5708,0.524407,1.5725,0.899917,0.843048,0.497232,-0.0111317,0.152792,-0.0115387,0.983793,0.957206,0.855878,0.485645,0.397022,0.446127
10,snr_low,1667,2.33386,0.0194026,1.74327,1.57143,0.539889,1.61768,0.810215,0.767557,-6.18634,-0.00594391,0.0928696,-0.113538,0.959595,0.958777,1.70689,0.635558,0.382606,0.683111
10,snr_mid,1666,1.55717,0.0158011,1.54456,1.56857,0.512229,1.56011,0.927437,0.875784,-4.05396,-0.0216848,0.157935,0.0255675,0.998389,0.976589,1.64312,0.411286,0.418233,0.342341
10,snr_high,1667,1.12082,0.0155366,0.640579,1.5724,0.521094,1.53971,0.958855,0.884613,-0.0575463,-0.00595452,0.20359,0.04534,0.991573,0.935316,0.852639,0.322877,0.389069,0.159322
10,mchirp_low,2500,1.49463,0.0176094,1.40967,1.59095,0.523734,1.56935,0.623937,0.81833,0.426149,-0.0153366,0.14145,-0.0125543,1.09216,0.92409,0.863924,0.435429,0.400462,0.563263
10,mchirp_high,2500,1.84665,0.0162179,1.20917,1.55064,0.52508,1.57565,0.694748,0.867817,0.56742,-0.0069525,0.163472,-0.0110335,1.00819,0.988636,0.844474,0.522035,0.391327,0.28584
10,merger_early,2500,1.55574,0.0188061,1.29714,1.57702,0.519547,1.56959,0.91222,0.200555,0.497381,-0.00832769,0.165569,-0.0025242,0.991827,1.17577,0.873306,0.578436,0.402334,0.518267
10,merger_late,2500,1.78554,0.0150212,1.3217,1.56458,0.529267,1.57542,0.887723,0.543399,0.497032,-0.0144412,0.138871,-0.0208157,0.973681,0.906039,0.838414,0.360373,0.384302,0.357847
10,q_low,1667,1.84183,0.0164525,1.37341,1.58654,0.51557,1.56073,0.675559,0.852681,0.461328,-0.00972315,0.172189,0.0197124,1.12654,0.943414,0.848536,0.443218,0.408302,0.465168
10,q_mid,1666,1.56188,0.0170765,1.30542,1.55936,0.522898,1.55667,0.891799,0.841235,0.501766,-0.037241,0.146478,-0.0105335,1.04385,0.960813,0.855961,0.497615,0.400923,0.432339
10,q_high,1667,1.60815,0.0172121,1.24943,1.56648,0.534752,1.60011,0.923979,0.834852,0.528518,0.0121579,0.139233,-0.0447471,0.96535,0.967507,0.862883,0.513794,0.380621,0.439645
10,q_low_mchirp_low,1241,1.74269,0.0166701,1.41811,1.60487,0.510115,1.5558,0.318045,0.846338,0.435236,-0.00597584,0.158242,0.0178453,1.2374,0.929216,0.840662,0.40409,0.408818,0.508119
10,q_low_mchirp_high,426,2.13062,0.0158188,1.24318,1.53314,0.531459,1.57508,-1.02622,0.87143,0.537763,-0.02743,0.207252,0.0239208,1.54242,0.985083,0.866917,0.550501,0.404327,0.315466
10,q_high_mchirp_low,544,1.27928,0.0188545,1.35521,1.5794,0.552759,1.58981,0.763649,0.771369,0.440855,0.0203911,0.0874871,-0.0395021,0.921784,0.909613,0.884915,0.466304,0.380653,0.64731
10,q_high_mchirp_high,1123,1.76746,0.0164165,1.19818,1.56023,0.526028,1.60509,0.718961,0.863945,0.569231,0.0081285,0.164403,-0.0475407,1.01345,0.99031,0.850665,0.517562,0.379097,0.288764
15,full,5000,1.42476,0.0132231,1.0107,1.57036,0.531573,1.58533,0.921883,0.898486,0.687914,-0.0136665,0.106257,-0.0180833,0.944788,0.962122,0.950396,0.854933,0.397539,1.26559
15,snr_low,1667,2.02925,0.0156631,1.16835,1.57319,0.539143,1.63506,0.842223,0.834163,-2.68552,-0.00662029,0.0658154,-0.12489,0.90185,0.954159,1.58717,0.938976,0.366377,1.31161
15,snr_mid,1666,1.29496,0.0126971,1.20246,1.56405,0.527472,1.55486,0.94823,0.919258,-2.373,-0.0247235,0.0932343,0.0276513,0.956815,0.973186,1.88323,0.781026,0.405162,1.18176
15,snr_high,1667,0.949979,0.0113088,0.66139,1.57384,0.528103,1.56605,0.972206,0.941122,-0.174734,-0.00986515,0.155308,0.0346988,0.970039,0.959055,1.15421,0.567344,0.416597,1.24038
15,mchirp_low,2500,1.18298,0.0143918,1.02952,1.58061,0.524483,1.57385,0.767099,0.86864,0.677186,-0.00625151,0.121522,-0.0143945,0.943918,0.939012,0.944384,0.887859,0.397834,1.14406
15,mchirp_high,2500,1.66653,0.0120544,0.991873,1.56011,0.538664,1.59681,0.727727,0.928418,0.698488,-0.0214939,0.0908564,-0.0222453,1.03006,0.98426,0.956162,0.798871,0.394076,1.20364
15,merger_early,2500,1.41052,0.0137835,1.02137,1.58614,0.541826,1.5699,0.922196,0.537606,0.674886,-0.0185301,0.0715795,0.0122815,0.953926,1.07859,0.964133,0.879365,0.394244,1.31419
15,merger_late,2500,1.43899,0.0126627,1.00003,1.55458,0.521321,1.60076,0.921562,0.653576,0.700587,-0.0091678,0.140445,-0.0490819,0.935586,1.03173,0.936828,0.827858,0.395415,1.20538
15,q_low,1667,1.23505,0.0129564,1.02265,1.5818,0.520537,1.60655,0.841386,0.905643,0.68691,0.000206879,0.137753,-0.0235767,1.01744,0.952964,0.945246,0.873384,0.409277,1.25361
15,q_mid,1666,1.36125,0.0134519,1.00097,1.56132,0.527359,1.5674,0.914991,0.895948,0.693877,-0.043175,0.104873,-0.0057783,0.98981,0.964124,0.946618,0.854467,0.39717,1.26277
15,q_high,1667,1.67793,0.0132612,1.00847,1.56796,0.546821,1.58204,0.918749,0.893607,0.682497,0.000234263,0.0760527,-0.0250515,0.940738,0.969291,0.959875,0.835781,0.385608,1.24701
