epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
5,full,5000,1.75365,0.0222816,0.856649,1.1721,1.59012,0.888252,0.742307,0.775498,0.50041,-0.027698,0.9341,0.898167,0.936868,0.823897,1.2965
5,snr_low,1667,2.51762,0.0185939,0.857001,1.17783,1.63948,0.779575,0.786295,-1.06138,0.493587,-0.128042,0.858046,0.913019,1.41212,0.844568,1.36253
5,snr_mid,1666,1.56881,0.0208932,0.977434,1.17543,1.5706,0.924385,0.781248,-1.35457,0.497506,0.00134406,0.941183,0.907723,1.83189,0.817745,1.31647
5,snr_high,1667,1.17442,0.0273568,0.735584,1.16304,1.56026,0.956703,0.659159,-0.494455,0.510059,0.0356098,0.99375,0.842077,1.25236,0.808987,1.20052
5,mchirp_low,2500,1.49586,0.0203501,0.870252,1.18138,1.59381,0.617323,0.77056,0.767565,0.504015,-0.0275261,1.03746,0.892022,0.935016,0.798075,1.19082
5,mchirp_high,2500,2.01144,0.0242131,0.843046,1.16282,1.58642,0.638289,0.713868,0.783317,0.496708,-0.0283781,0.98971,0.896305,0.935348,0.847187,1.36294
5,merger_early,2500,1.70763,0.0276711,0.884686,1.24339,1.59076,0.894439,-0.492853,0.757773,0.474469,-0.0127863,0.938007,1.24454,0.946249,0.683205,1.02058
5,merger_late,2500,1.79968,0.0168921,0.828611,1.10081,1.58948,0.882112,0.418806,0.792762,0.527372,-0.0429763,0.927699,0.902716,0.926994,0.931085,1.43332
5,q_low,1667,1.56559,0.0205894,0.845156,1.19445,1.56642,0.735653,0.775457,0.784048,0.488326,0.0131488,1.06248,0.898156,0.938458,0.818822,1.17525
5,q_mid,1666,1.70299,0.022436,0.846659,1.14372,1.59226,0.874162,0.743369,0.783866,0.515414,-0.043945,1.00122,0.897254,0.929791,0.833296,1.33203
5,q_high,1667,1.99235,0.0238195,0.878126,1.17811,1.61167,0.895195,0.707097,0.758011,0.497589,-0.0535717,0.911738,0.898549,0.942398,0.819388,1.34305
5,q_low_mchirp_low,1241,1.48279,0.0197867,0.849753,1.19655,1.57621,0.443444,0.788781,0.783835,0.496428,-0.00424689,1.17722,0.892779,0.929839,0.803942,1.14685
5,q_low_mchirp_high,426,1.80679,0.0229278,0.831764,1.18835,1.53791,-0.644838,0.735223,0.784674,0.462068,0.0606355,1.54681,0.913257,0.961734,0.862616,1.24278
5,q_high_mchirp_low,544,1.60419,0.0218005,0.92108,1.20494,1.5895,0.693021,0.721668,0.725801,0.502855,-0.0224136,0.869101,0.891688,0.940616,0.767724,1.25014
5,q_high_mchirp_high,1123,2.18038,0.0247975,0.857318,1.16511,1.62242,0.606247,0.698914,0.772968,0.495007,-0.0689895,0.973506,0.886103,0.938202,0.841454,1.36773
10,full,5000,1.57854,0.0142,1.04567,1.46894,1.56576,0.909526,0.8841,0.664623,0.262956,0.000141945,1.0123,0.974355,0.910068,1.02871,0.803736
10,snr_low,1667,2.26357,0.017078,1.32054,1.58192,1.58774,0.821027,0.811429,-3.54617,0.109542,-0.0748928,0.968657,0.981298,1.64651,1.06576,0.94576
