epoch,kappa_sky_position,loss,mae_coa_phase,mae_mchirp,mae_merger_time,mae_snr,r2_coa_phase,r2_mchirp,r2_merger_time,r2_snr,std_ratio_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,val_kappa_sky_position,val_loss,val_mae_coa_phase,val_mae_mchirp,val_mae_merger_time,val_mae_snr,val_r2_coa_phase,val_r2_mchirp,val_r2_merger_time,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_snr,val_weight_coa_phase,val_weight_mchirp,val_weight_merger_time,val_weight_sky_position,val_weight_snr,weight_coa_phase,weight_mchirp,weight_merger_time,weight_sky_position,weight_snr
0,0.10807383060455322,3.0027971267700195,0.6428799033164978,0.7159347534179688,0.2504342794418335,0.5812638401985168,-0.04073894023895264,0.17611700296401978,-0.008716106414794922,0.46784818172454834,0.2021685689687729,0.5427736639976501,0.17914316058158875,0.733815610408783,0.10123161226511002,2.8200080394744873,0.6371821165084839,0.5197471380233765,0.234619140625,1.0082826614379883,-0.01110917329788208,0.5511888265609741,0.0877794623374939,-0.34605538845062256,0.10862360894680023,0.7532808780670166,0.10449597239494324,0.757178008556366,1.214404821395874,1.2195193767547607,1.2163019180297852,0.8325804471969604,1.2397879362106323,1.1049070358276367,1.0986840724945068,1.105202555656433,0.9111237525939941,1.1153868436813354
1,0.10147718340158463,1.7327114343643188,0.6384373307228088,0.39691975712776184,0.15237607061862946,0.41673988103866577,-0.01665639877319336,0.7104478478431702,0.5468719601631165,0.7212804555892944,0.13794328272342682,0.8492218852043152,0.697750985622406,0.8702840209007263,0.10123781114816666,2.5653152465820312,0.6390169858932495,0.6483927965164185,0.1550929695367813,1.203578233718872,-0.030378103256225586,0.320107102394104,0.5358103513717651,-0.9347934722900391,0.1233915314078331,1.0009297132492065,0.6078246831893921,0.48662522435188293,1.4625885486602783,1.5332181453704834,1.4842653274536133,0.7128072381019592,1.527191400527954,1.3362414836883545,1.371708869934082,1.345912218093872,0.7691709399223328,1.3798542022705078
2,0.1007661297917366,0.8227450847625732,0.6369414925575256,0.2958495616912842,0.09713928401470184,0.3858734965324402,-0.007021546363830566,0.832792341709137,0.8082999587059021,0.7617597579956055,0.09934958070516586,0.9172006249427795,0.9176418781280518,0.8876519799232483,0.10092685371637344,1.3364177942276,0.637374997138977,0.4250391125679016,0.10825715214014053,0.9245797991752625,-0.014684736728668213,0.689202070236206,0.7532097101211548,-0.17808234691619873,0.09669249504804611,0.893044650554657,0.8517359495162964,0.6825639605522156,1.7441017627716064,1.9087860584259033,1.8115394115447998,0.6254769563674927,1.8645784854888916,1.6014654636383057,1.7173802852630615,1.6435669660568237,0.6666903495788574,1.6927088499069214
3,0.10101181268692017,0.04673190042376518,0.6367439031600952,0.24877554178237915,0.08274441957473755,0.36567357182502747,-0.0075871944427490234,0.8822397589683533,0.8598189353942871,0.785771369934082,0.10032462328672409,0.9403586387634277,0.9260448813438416,0.8945152163505554,0.1007552370429039,0.18454687297344208,0.6363660097122192,0.269941508769989,0.0965389534831047,0.6569854617118835,-0.006810188293457031,0.8505986332893372,0.796262264251709,0.3686903119087219,0.073664590716362,0.8589727282524109,0.9723273515701294,0.9300127029418945,2.053208112716675,2.3608880043029785,2.208803653717041,0.561000645160675,2.2646477222442627,1.8974529504776,2.1303365230560303,2.0047833919525146,0.5914645791053772,2.061208963394165
4,0.1047130599617958,-0.6384667158126831,0.636320948600769,0.23056690394878387,0.07732707262039185,0.3533267080783844,-0.005156993865966797,0.9021612405776978,0.8769976496696472,0.8005903959274292,0.09792353212833405,0.9531315565109253,0.9391240477561951,0.9036091566085815,0.11674515902996063,-0.876649022102356,0.6372936964035034,0.2369230091571808,0.1100948229432106,0.3694433569908142,-0.00829094648361206,0.8870278596878052,0.7423232793807983,0.7755025625228882,0.056205686181783676,0.9345487356185913,0.8981733918190002,0.9368707537651062,2.3815784454345703,2.9012532234191895,2.690969228744507,0.5133001208305359,2.735849142074585,2.217313051223755,2.626070976257324,2.443272113800049,0.5358511209487915,2.496762752532959
5,0.22198486328125,-1.2613917589187622,0.636040449142456,0.2121722549200058,0.07693061232566833,0.3498748540878296,-0.0034162402153015137,0.9175646305084229,0.8781411647796631,0.805528998374939,0.0894753485918045,0.95879727602005,0.9400648474693298,0.9059995412826538,0.17304015159606934,-1.4725368022918701,0.6370259523391724,0.22553010284900665,0.07082556188106537,0.3678833842277527,-0.008948922157287598,0.9026497602462769,0.8818821907043457,0.77450031042099,0.06789778918027878,0.9737966060638428,0.9432076215744019,0.9731326699256897,2.71462082862854,3.5511035919189453,3.2757792472839355,0.4783770442008972,3.2797093391418457,2.549457550048828,3.2185425758361816,2.974984884262085,0.4947305917739868,3.0007224082946777
6,0.44761836528778076,-1.8547519445419312,0.6355895400047302,0.19948247075080872,0.07020338624715805,0.340396910905838,-0.0026456713676452637,0.9287811517715454,0.9002412557601929,0.814645528793335,0.08502738177776337,0.9643695950508118,0.9480428099632263,0.9092262387275696,0.5636928081512451,-1.5318647623062134,0.6377159953117371,0.24433660507202148,0.07982821017503738,0.5266085863113403,-0.011811316013336182,0.8762718439102173,0.8498680591583252,0.5495739579200745,0.07544422149658203,1.0362753868103027,0.9226013422012329,0.9250655770301819,3.0330047607421875,4.3339948654174805,3.986947536468506,0.45429593324661255,3.905721664428711,2.8769350051879883,3.93601393699646,3.6219115257263184,0.46558064222335815,3.594212055206299
7,0.5512470006942749,-2.401411294937134,0.6355915069580078,0.19231146574020386,0.07029851526021957,0.3299618065357208,-0.0014992952346801758,0.934350848197937,0.9000790119171143,0.8268110156059265,0.08224327862262726,0.9678651094436646,0.9473564624786377,0.9152252674102783,0.5788167119026184,-1.9943311214447021,0.6363701820373535,0.22329385578632355,0.07105264812707901,0.5221301913261414,-0.005396902561187744,0.8988392949104309,0.8864212036132812,0.5714094638824463,0.04911142215132713,0.9688578844070435,0.9471501111984253,0.9258931279182434,3.317596912384033,5.265517711639404,4.8490705490112305,0.4376191198825836,4.630096912384033,3.179952621459961,4.79020357131958,4.406219005584717,0.4454602301120758,4.263412952423096
8,0.5790237188339233,-2.931678533554077,0.6352704763412476,0.17931517958641052,0.06631823629140854,0.3197946846485138,-0.001010119915008545,0.9439501166343689,0.9116935729980469,0.8375334739685059,0.08482352644205093,0.973434567451477,0.9529227614402771,0.9204106330871582,0.7175810933113098,-2.369246244430542,0.6369174718856812,0.22806541621685028,0.0705660954117775,0.5058637857437134,-0.006463885307312012,0.8971514105796814,0.8796923756599426,0.5950779914855957,0.05402309074997902,0.9707618355751038,0.9701107144355774,0.855596125125885,3.551786422729492,6.390654563903809,5.896542072296143,0.42640477418899536,5.455769062042236,3.440194845199585,5.816575050354004,5.358626842498779,0.43149614334106445,5.04215145111084
9,0.6228967905044556,-3.427548408508301,0.6348662972450256,0.17310337722301483,0.06579272449016571,0.3108918070793152,0.0006203055381774902,0.9484775066375732,0.9139080047607422,0.8458884954452515,0.08097721636295319,0.9751973152160645,0.9555623531341553,0.9241602420806885,0.6382016539573669,-2.9286417961120605,0.636215329170227,0.21267381310462952,0.07030021399259567,0.4558385908603668,-0.0045318603515625,0.9118285179138184,0.8840973377227783,0.6646378040313721,0.06909830123186111,1.0034254789352417,0.9743523597717285,0.9100790619850159,3.7294936180114746,7.729861259460449,7.1663408279418945,0.4196614623069763,6.38773775100708,3.64536452293396,7.04934549331665,6.51462459564209,0.42276155948638916,5.923434734344482
