epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
5,full,5000,8.50775,0.22793,0.0358089,4.21999,-0.72384,-0.810057,0.421169,-2.72348,0.656861,0.201829,0.731906,0.577114
5,snr_low,1667,10.757,0.237458,0.0410436,5.64401,-1.74739,-0.968636,0.229974,-53.9059,0.399047,0.134181,0.640566,0.93576
5,snr_mid,1666,8.31316,0.224649,0.0357374,4.14412,-0.521474,-0.771313,0.448339,-27.9694,0.598592,0.18374,0.743347,1.06664
5,snr_high,1667,6.45298,0.22168,0.0306455,2.87179,0.0667528,-0.697473,0.582498,-13.7763,0.770253,0.263154,0.798209,1.18105
5,mchirp_low,2500,5.53298,0.296017,0.0361699,4.18367,-1.95997,-1.51163,0.388003,-2.68535,0.691101,0.212552,0.70716,0.576543
5,mchirp_high,2500,11.4825,0.159843,0.0354478,4.2563,-6.23129,-0.426378,0.454295,-2.76146,0.988014,0.225176,0.755638,0.576852
5,merger_early,2500,8.40447,0.229468,0.0507119,4.23315,-0.692251,-0.793587,-2.92519,-2.78783,0.669758,0.199844,1.14399,0.583466
5,merger_late,2500,8.61102,0.226392,0.0209058,4.20683,-0.75535,-0.827514,0.229041,-2.66113,0.643831,0.203403,0.665741,0.570878
5,q_low,1667,6.35678,0.43098,0.0359838,4.24316,-1.68932,-23.3376,0.419623,-2.74461,0.777593,0.476919,0.722333,0.576057
5,q_mid,1666,8.59785,0.187648,0.0354868,4.24356,-0.989003,-8.14557,0.42261,-2.71873,0.724879,0.608222,0.732375,0.574033
5,q_high,1667,10.5687,0.065137,0.0359557,4.17326,-0.913814,-0.541318,0.420633,-2.71091,0.647859,0.634113,0.741032,0.581556
5,q_low_mchirp_low,1241,5.5252,0.453562,0.0357921,4.2272,-3.36273,-25.967,0.418978,-2.71633,0.835697,0.502348,0.712442,0.572699
5,q_low_mchirp_high,426,8.77929,0.365194,0.0365423,4.28963,-24.381,-42.2129,0.420625,-2.82746,1.85033,0.625108,0.751528,0.585339
5,q_high_mchirp_low,544,5.41923,0.0707724,0.0373596,4.02476,-1.18777,-0.771837,0.329218,-2.57488,0.554616,0.707408,0.7024,0.564879
5,q_high_mchirp_high,1123,13.0631,0.0624071,0.0352757,4.2452,-7.33236,-0.421393,0.460972,-2.7742,0.994124,0.591597,0.757277,0.587073
10,full,5000,5.00417,0.16932,0.0230515,2.18879,0.25104,0.0715596,0.7159,-0.201874,0.780367,0.376563,0.883856,0.708888
10,snr_low,1667,7.40798,0.179554,0.0311396,3.22989,-0.466708,-0.0660501,0.509455,-18.6397,0.538803,0.275469,0.801217,1.47512
10,snr_mid,1666,4.68615,0.165604,0.0216045,2.22211,0.431718,0.119782,0.771557,-8.38363,0.735968,0.372653,0.898602,1.3526
10,snr_high,1667,2.91818,0.1628,0.0164094,1.11439,0.764612,0.156488,0.863902,-1.86262,0.890669,0.454576,0.930301,1.1139
10,mchirp_low,2500,2.98943,0.206902,0.0242093,2.24566,-0.0216511,-0.209275,0.67631,-0.256271,0.866344,0.383054,0.859458,0.71997
10,mchirp_high,2500,7.0189,0.131739,0.0218936,2.13192,-2.29013,0.134956,0.755561,-0.14823,1.04955,0.420103,0.907728,0.697185
10,merger_early,2500,5.1436,0.173453,0.0292715,2.23916,0.224172,0.0512949,-0.758637,-0.265074,0.784243,0.370378,1.24064,0.715634
10,merger_late,2500,4.86474,0.165188,0.0168314,2.13842,0.277541,0.0925707,0.464675,-0.140362,0.775603,0.381698,0.826524,0.70192
10,q_low,1667,3.2853,0.263075,0.0231283,2.25497,0.0691309,-8.89325,0.717464,-0.255236,0.924664,0.760319,0.87573,0.714067
10,q_mid,1666,5.05954,0.0866192,0.0234608,2.2099,0.15776,-1.54127,0.701181,-0.202005,0.853999,1.12898,0.881465,0.701196
10,q_high,1667,6.66769,0.158216,0.0225656,2.1015,0.0990513,-7.17365,0.728749,-0.148842,0.765702,1.24822,0.893925,0.711355
10,q_low_mchirp_low,1241,2.76019,0.28216,0.0232032,2.2738,-0.363782,-10.3209,0.710912,-0.266182,1.01798,0.819202,0.868497,0.713618
10,q_low_mchirp_high,426,4.81504,0.207478,0.0229099,2.2001,-8.75897,-13.9503,0.73662,-0.22317,1.9093,0.890168,0.897186,0.714942
10,q_high_mchirp_low,544,3.20761,0.181033,0.0253548,2.14297,0.157777,-8.91695,0.636406,-0.222544,0.707963,1.35011,0.849633,0.725024
10,q_high_mchirp_high,1123,8.34381,0.147164,0.0212144,2.08141,-2.98527,-6.26044,0.770927,-0.114633,1.05526,1.16277,0.913856,0.704635
15,full,5000,3.62434,0.170356,0.0155864,1.06989,0.652377,0.0523568,0.868578,0.658151,0.98358,0.485785,0.926227,0.873422
15,snr_low,1667,4.62908,0.178477,0.0193344,1.37742,0.435035,-0.0668453,0.791852,-3.69423,0.818374,0.422287,0.864482,1.51896
15,snr_mid,1666,3.47768,0.166752,0.0145893,1.09425,0.712653,0.0930112,0.892361,-1.91775,0.992426,0.500271,0.94187,1.75724
15,snr_high,1667,2.76618,0.165837,0.012835,0.737994,0.801901,0.126647,0.920429,-0.433301,1.10954,0.523359,0.968442,1.29631
