epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
5,full,5000,4.87234,0.0300197,2.15199,1.5661,0.771621,1.55888,0.269212,0.589019,-0.241978,-0.00379704,-0.904461,0.00341781,0.650235,0.776424,0.530859,0.0296685,0.304062,0.351835
5,snr_low,1667,6.48969,0.0334729,3.65711,1.56941,0.802125,1.58413,-0.24604,0.482494,-22.8772,0.00601914,-1.05767,-0.0736398,0.449723,0.677042,0.961226,0.0237978,0.238539,0.315509
5,snr_mid,1666,4.68959,0.029278,1.95687,1.56942,0.754379,1.56431,0.382642,0.61548,-6.3731,-0.0163252,-0.923809,0.0118157,0.615554,0.783647,1.05503,0.0277054,0.307938,0.350828
5,snr_high,1667,3.43764,0.0273079,0.84187,1.55948,0.758349,1.52822,0.655024,0.66738,-0.816446,-0.00133497,-0.744922,0.0657109,0.77549,0.856171,1.24297,0.0339051,0.348803,0.368072
5,mchirp_low,2500,2.3748,0.0315029,2.33842,1.56863,0.782543,1.55009,0.313167,0.546731,-0.403296,0.0101102,-0.974967,0.00599504,0.733789,0.744272,0.556423,0.0320126,0.307971,0.418192
5,mchirp_high,2500,7.36989,0.0285366,1.96555,1.56357,0.7607,1.56768,-2.38427,0.631351,-0.0827001,-0.0183308,-0.836372,0.000368476,0.866319,0.807475,0.48408,0.0260845,0.299391,0.246524
5,merger_early,2500,4.78664,0.0199888,2.17054,1.57127,0.75164,1.55366,0.286569,0.237195,-0.280114,0.00276477,-0.816667,0.0164945,0.654899,0.717022,0.538905,0.0292414,0.307739,0.389271
5,merger_late,2500,4.95804,0.0400507,2.13344,1.56093,0.791603,1.56411,0.251928,-1.43913,-0.204917,-0.0109305,-0.995705,-0.00999025,0.645617,1.16167,0.522805,0.029943,0.298896,0.308384
5,q_low,1667,2.84717,0.0296554,2.2775,1.58066,0.777759,1.54463,0.263465,0.608633,-0.346401,-0.00571072,-0.928099,0.0286044,0.767689,0.780659,0.541523,0.0305105,0.30706,0.384833
5,q_mid,1666,4.96309,0.0304139,2.15137,1.54359,0.769324,1.55774,0.201288,0.573694,-0.229773,-0.0117298,-0.932965,-0.00503396,0.710861,0.773783,0.524678,0.0293039,0.308362,0.343456
5,q_high,1667,6.80682,0.0299901,2.0271,1.57404,0.767779,1.57428,0.06622,0.5839,-0.149745,0.00548563,-0.85517,-0.0142176,0.636233,0.774357,0.521021,0.0288486,0.296855,0.320653
5,q_low_mchirp_low,1241,2.14665,0.0302174,2.35311,1.58154,0.785537,1.53802,0.119968,0.598765,-0.407461,0.0206929,-1.00055,0.024562,0.861627,0.77156,0.545685,0.0315584,0.311436,0.416278
