epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
5,full,5000,3.14548,0.0214022,4.8452,1.73394,1.56947,0.698986,0.764458,-3.81948,-0.0236202,-0.00118718,0.725059,0.759684,0.611586,0.681699,0.0851869
5,snr_low,1667,4.07028,0.0250747,6.26679,1.78158,1.56186,0.492935,0.67431,-66.6656,-0.068049,-0.0490866,0.506853,0.685912,1.06978,0.666488,0.0778487
5,snr_mid,1666,2.93141,0.0205049,4.75042,1.73343,1.57819,0.759432,0.789903,-36.9769,-0.0250563,0.0114551,0.695482,0.773678,1.18998,0.682498,0.0831249
5,snr_high,1667,2.43463,0.0186265,3.51833,1.6868,1.56837,0.837259,0.827812,-20.9624,0.0219544,0.0301511,0.882872,0.813143,1.3474,0.694354,0.0903182
5,mchirp_low,2500,3.058,0.0234887,4.98822,1.74342,1.56637,-0.139861,0.712393,-4.09436,-0.026684,-0.0035265,0.881878,0.730458,0.636935,0.675611,0.090854
5,mchirp_high,2500,3.23297,0.0193156,4.70218,1.72446,1.57258,0.086846,0.816656,-3.5483,-0.0205969,0.000635575,0.907565,0.788023,0.580209,0.687838,0.0789497
5,merger_early,2500,3.12845,0.0259786,4.84932,1.72789,1.56862,0.69853,-0.339738,-3.88894,-0.00581698,0.00752304,0.724217,0.977055,0.621088,0.67371,0.0844071
5,merger_late,2500,3.16252,0.0168258,4.84108,1.73998,1.57033,0.699396,0.445593,-3.75227,-0.0421431,-0.0101535,0.725761,0.921786,0.602155,0.689863,0.0842641
5,q_low,1667,2.86813,0.021947,4.95735,1.73626,1.56884,0.347433,0.756637,-4.00058,-0.0283056,0.0127869,0.860728,0.76032,0.626104,0.682438,0.0863015
5,q_mid,1666,2.80256,0.0217646,4.85476,1.74358,1.5554,0.710884,0.756047,-3.78416,-0.030022,0.0024739,0.789188,0.752414,0.606043,0.681873,0.0845162
5,q_high,1667,3.76554,0.0204953,4.7235,1.72198,1.58417,0.67285,0.780613,-3.6769,-0.012708,-0.0194157,0.709286,0.76523,0.601078,0.68079,0.0847119
5,q_low_mchirp_low,1241,3.11412,0.0226524,5.01509,1.75731,1.56216,-0.653501,0.743309,-4.09736,-0.0317794,0.0108718,1.01375,0.749467,0.630115,0.674267,0.0889698
5,q_low_mchirp_high,426,2.15153,0.0198918,4.78914,1.67493,1.5883,-1.19976,0.796134,-3.71704,-0.0191794,0.017122,1.51813,0.790696,0.608225,0.70799,0.0782594
5,q_high_mchirp_low,544,3.18931,0.0247423,4.85764,1.7146,1.56174,0.0175085,0.669691,-4.05504,-0.00920105,-0.00964346,0.775785,0.700785,0.62153,0.668728,0.0922322
5,q_high_mchirp_high,1123,4.04468,0.0184379,4.65852,1.72556,1.59504,-0.221008,0.83176,-3.50135,-0.0144273,-0.0244087,0.92544,0.793445,0.588822,0.686623,0.0806534
10,full,5000,7.30995,0.0183147,1.3862,1.70222,1.56979,-0.340369,0.822643,0.448675,0.0554525,-0.0102819,0.908976,0.963285,0.754708,0.807039,0.018424
10,snr_low,1667,10.3792,0.021175,0.922133,1.75062,1.5237,-1.50332,0.753991,-1.29736,-0.00782151,-0.0184623,0.584352,0.882715,1.50776,0.737875,0.0186813
10,snr_mid,1666,6.86724,0.0168492,1.1711,1.6926,1.58074,-0.0403353,0.8508,-2.42422,0.059742,-0.00435972,0.845377,0.988188,1.61815,0.794267,0.0187012
10,snr_high,1667,4.68317,0.016919,2.06524,1.66345,1.60494,0.483936,0.862032,-7.76654,0.114092,-0.00878218,1.04299,1.00911,1.47188,0.878175,0.0169509
10,mchirp_low,2500,5.68385,0.0195487,1.15688,1.75469,1.57053,-2.07457,0.790603,0.6018,-0.00476181,-0.0166727,0.983165,0.935424,0.803785,0.753228,0.020267
10,mchirp_high,2500,8.93606,0.0170807,1.61553,1.64976,1.56905,-4.18892,0.854755,0.297347,0.1165,-0.00444694,1.3048,0.989946,0.663285,0.85624,0.0163909
10,merger_early,2500,7.49925,0.018298,1.39527,1.70246,1.58798,-0.40327,0.270265,0.442118,0.0660928,-0.0204926,0.908383,1.07879,0.758385,0.7843,0.0179064
10,merger_late,2500,7.12065,0.0183314,1.37713,1.70199,1.55161,-0.278274,0.321749,0.455011,0.0443774,3.38583e-07,0.908323,1.16727,0.75114,0.830001,0.0189367
10,q_low,1667,5.7828,0.0180207,1.2437,1.73745,1.59068,-1.33962,0.829806,0.548124,0.0113724,-0.0136511,1.0868,0.968963,0.765492,0.781882,0.0192659
10,q_mid,1666,7.29708,0.018618,1.38867,1.70244,1.56749,-0.522331,0.814574,0.449766,0.0550675,-0.0184862,1.00817,0.957837,0.755445,0.816684,0.0178391
10,q_high,1667,8.84997,0.0183057,1.52623,1.66678,1.55121,-0.444594,0.823223,0.345957,0.0996785,0.000942007,0.888857,0.961909,0.736443,0.821466,0.0180911
10,q_low_mchirp_low,1241,5.43645,0.0183176,1.15201,1.7696,1.58158,-3.33295,0.82242,0.607744,-0.00549539,-0.0200315,1.16856,0.958178,0.778832,0.757828,0.0199522
