epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
5,full,5000,13.0221,0.194195,0.04949,2.49703,-2.60009,-0.306818,-0.00764566,-0.68158,0.664938,0.329033,0.0740696,0.555426
5,snr_low,1667,15.7103,0.209825,0.0492074,4.07976,-4.28469,-0.54356,-0.00160749,-29.5725,0.434913,0.284649,0.0492017,1.52918
5,snr_mid,1666,12.7749,0.187496,0.0499772,2.49616,-2.24919,-0.212497,-0.00972318,-10.904,0.57506,0.329852,0.0696805,1.29013
5,snr_high,1667,10.5811,0.18526,0.0492857,0.915167,-1.31835,-0.171207,-0.0126162,-1.22501,0.741786,0.340787,0.0855017,1.10268
5,mchirp_low,2500,9.56314,0.25108,0.0496432,2.74711,-7.11583,-0.827385,-0.0123406,-0.950648,0.788951,0.318731,0.0649757,0.577086
5,mchirp_high,2500,16.4811,0.13731,0.0493368,2.24695,-13.0166,-0.00609328,-0.00322711,-0.415884,1.10202,0.408413,0.0621002,0.504231
5,merger_early,2500,13.0539,0.197951,0.0502208,2.51212,-2.63685,-0.31986,-3.19526,-0.711637,0.669515,0.327436,0.150845,0.57052
5,merger_late,2500,12.9904,0.190439,0.0487592,2.48194,-2.56417,-0.293401,-2.80736,-0.652448,0.660198,0.330576,0.144235,0.540328
5,q_low,1667,10.5575,0.354556,0.0496615,2.53931,-5.8585,-16.1377,-0.00361718,-0.726276,0.815678,0.759411,0.0647301,0.541099
5,q_mid,1666,13.2299,0.128632,0.0495863,2.52144,-3.26937,-4.04117,-0.0119646,-0.691014,0.721444,0.991532,0.0770524,0.55726
5,q_high,1667,15.2791,0.0993565,0.0492221,2.43035,-2.63317,-2.6583,-0.00858643,-0.62835,0.671439,1.04088,0.0789246,0.567952
5,q_low_mchirp_low,1241,9.53206,0.379393,0.0497539,2.63969,-11.2339,-18.4181,-0.00661424,-0.822424,0.96355,0.767486,0.0588977,0.544876
5,q_low_mchirp_high,426,13.5449,0.282205,0.0493924,2.24689,-56.356,-26.3024,0.0037462,-0.444616,2.10306,1.15388,0.0603688,0.496623
5,q_high_mchirp_low,544,9.44151,0.105245,0.0491518,2.82208,-4.89806,-2.88166,-0.0360139,-1.10193,0.625774,1.01055,0.06683,0.598704
5,q_high_mchirp_high,1123,18.107,0.0965042,0.0492562,2.24059,-14.235,-2.546,-0.000282747,-0.408383,1.14322,1.05737,0.0626057,0.525141
10,full,5000,14.0279,0.270144,0.0494189,3.33644,-3.24036,-1.43464,-0.00883347,-1.56693,0.844346,0.381911,0.0387152,0.976183
10,snr_low,1667,18.1852,0.305662,0.0493076,2.53229,-5.8564,-2.02897,-0.0107313,-12.696,0.45457,0.261626,0.0223337,1.79519
10,snr_mid,1666,13.9174,0.262475,0.0499434,3.50668,-2.80574,-1.30401,-0.00757612,-22.3848,0.690715,0.358215,0.033495,2.05941
10,snr_high,1667,9.98091,0.242291,0.049006,3.97044,-1.13196,-0.986504,-0.00931056,-29.3285,0.904388,0.425912,0.0433359,2.33139
10,mchirp_low,2500,10.9544,0.345675,0.0493594,3.12556,-9.80996,-2.30967,-0.00846075,-1.349,1.00464,0.387936,0.0324407,0.997988
10,mchirp_high,2500,17.1013,0.194614,0.0494784,3.54731,-14.8077,-1.03443,-0.00950268,-1.78245,1.47679,0.449985,0.0386824,0.944704
10,merger_early,2500,14.0615,0.272755,0.0443138,3.32783,-3.28847,-1.43374,-2.45176,-1.60236,0.845812,0.381578,0.0784917,0.988079
10,merger_late,2500,13.9942,0.267534,0.054524,3.34505,-3.19329,-1.43594,-3.51133,-1.53265,0.842769,0.382252,0.0757384,0.964473
10,q_low,1667,11.8205,0.479929,0.0494923,3.37692,-7.76768,-29.5528,-0.0104812,-1.61293,1.05377,0.955917,0.0303285,0.946291
10,q_mid,1666,14.153,0.247823,0.0496635,3.30469,-4.01613,-14.742,-0.0124765,-1.49627,0.936179,1.15231,0.0376562,0.987724
10,q_high,1667,16.1102,0.0826674,0.0491011,3.32768,-3.1249,-1.57012,-0.00465856,-1.59525,0.838813,1.12967,0.0424693,0.993325
10,q_low_mchirp_low,1241,10.9147,0.506794,0.0495415,3.26654,-15.3912,-32.9456,-0.0133759,-1.47274,1.26893,0.967806,0.0297863,0.93914
10,q_low_mchirp_high,426,14.459,0.401669,0.0493489,3.69847,-67.3188,-52.5781,-0.00343518,-2.02359,2.84818,1.43031,0.0283992,0.951021
10,q_high_mchirp_low,544,10.8399,0.0893812,0.0481913,3.0179,-6.79102,-1.79626,0.00198978,-1.34381,0.777429,1.17854,0.0350516,1.0463
10,q_high_mchirp_high,1123,18.6633,0.0794151,0.0495418,3.47774,-15.9312,-1.45439,-0.0123566,-1.71214,1.50273,1.10373,0.0413468,0.957979
15,full,5000,1.88094,0.153829,0.0493226,1.33027,0.857407,0.228455,0.000159244,0.491593,0.86905,0.461802,0.0194741,0.827425
15,snr_low,1667,2.74412,0.157993,0.0491614,0.749849,0.691041,0.187206,-0.000401723,-0.477255,0.825054,0.37784,0.00618887,1.0576
15,snr_mid,1666,1.51513,0.151253,0.0498277,1.40285,0.928276,0.250738,-0.000570185,-3.58168,0.872717,0.488033,0.0144135,1.63135
15,snr_high,1667,1.38336,0.152239,0.048979,1.83817,0.945707,0.24481,0.000372837,-6.26495,0.898362,0.504982,0.0200068,1.54022
15,mchirp_low,2500,1.16328,0.18145,0.0493567,1.29788,0.786325,0.0715182,0.000414947,0.508428,0.909082,0.30659,0.0230547,0.827207
15,mchirp_high,2500,2.59861,0.126208,0.0492885,1.36267,0.384352,0.152097,-0.000389864,0.47492,0.965485,0.59187,0.0137322,0.826912
15,merger_early,2500,1.90789,0.15644,0.0498195,1.33303,0.851006,0.229863,-3.13096,0.482243,0.868085,0.452608,0.0392271,0.834813
15,merger_late,2500,1.854,0.151218,0.0488257,1.32751,0.863725,0.226871,-2.80759,0.500657,0.869969,0.471232,0.0383465,0.82016
