epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
5,full,5000,6.88712,0.0498017,2.04431,1.58005,0.54383,1.57065,-0.437961,-0.0221902,-0.0319427,-0.0226048,0.0873206,-0.0086874,1.61706,0.0883941,0.914775,0.13887,0.381855,0.203409
5,snr_low,1667,6.54176,0.04924,2.53055,1.57972,0.550468,1.52781,-0.305345,-0.00390985,-12.3547,-0.0174296,0.0500599,-0.0206619,1.4435,0.0530533,1.79936,0.132182,0.296586,0.199855
5,snr_mid,1666,6.75326,0.050299,2.19527,1.58853,0.538642,1.58858,-0.329338,-0.024508,-8.69521,-0.0375737,0.0704942,-0.00902605,1.60484,0.0576662,1.75124,0.125995,0.385226,0.176212
5,snr_high,1667,7.36625,0.0498664,1.4072,1.57191,0.542378,1.59556,-0.684645,-0.0390595,-3.22305,-0.0130552,0.136839,0.0024696,1.7757,0.0650794,1.2094,0.111451,0.436385,0.166801
5,mchirp_low,2500,3.81731,0.049878,2.21637,1.56778,0.536685,1.57257,-1.2215,-0.0214771,-0.201736,0.0115468,0.0982963,-0.0166849,1.63323,0.0970015,0.914889,0.159659,0.399485,0.179248
5,mchirp_high,2500,9.95692,0.0497255,1.87226,1.59233,0.550975,1.56873,-5.17099,-0.023205,0.135725,-0.058059,0.0761111,-0.00125875,1.97357,0.0788074,0.908535,0.112517,0.342505,0.224019
5,merger_early,2500,6.81615,0.0571493,2.05353,1.57649,0.541059,1.59438,-0.421031,-4.14056,-0.061019,-0.00965432,0.10078,-0.0261983,1.61272,0.179568,0.927187,0.140451,0.38708,0.203945
5,merger_late,2500,6.95809,0.0424541,2.0351,1.58362,0.546601,1.54692,-0.454919,-2.03545,-0.00369577,-0.0362537,0.0726339,0.00902189,1.62114,0.172538,0.902537,0.13726,0.376564,0.202863
5,q_low,1667,5.33069,0.0501067,2.13174,1.57315,0.529728,1.59966,-1.45967,-0.0179902,-0.0973628,0.0115564,0.127304,-0.0221437,1.75159,0.0874527,0.894332,0.125988,0.399319,0.168095
5,q_mid,1666,7.01411,0.0495785,2.05969,1.57816,0.546022,1.56007,-0.695719,-0.0156838,-0.0385479,-0.0518261,0.0681756,-0.00962537,1.66919,0.0899166,0.924896,0.145866,0.381798,0.201241
5,q_high,1667,8.31663,0.0497198,1.94152,1.58885,0.555742,1.55222,-0.522913,-0.0341889,0.0401433,-0.0295503,0.0658242,0.00560813,1.62417,0.0878406,0.92458,0.144107,0.360708,0.233574
5,q_low_mchirp_low,1241,4.28478,0.0499855,2.1949,1.5662,0.522124,1.58539,-2.70409,-0.0106272,-0.159417,0.0485161,0.121092,-0.0252357,1.89957,0.0905169,0.884551,0.131391,0.406393,0.161946
5,q_low_mchirp_high,426,8.37758,0.0504596,1.94773,1.5934,0.55188,1.64122,-24.1175,-0.0416553,0.0844209,-0.112659,0.141624,-0.0145637,2.8683,0.0775471,0.916648,0.106856,0.363479,0.184105
5,q_high_mchirp_low,544,3.11505,0.0496695,2.18484,1.57005,0.568505,1.58552,-0.364291,-0.062394,-0.229477,-0.0151703,0.0442777,-0.0141957,1.36357,0.10319,0.926753,0.191831,0.38281,0.203738
5,q_high_mchirp_high,1123,10.8364,0.0497442,1.82365,1.59796,0.54956,1.53608,-5.75631,-0.0256361,0.165376,-0.0365678,0.076259,0.015027,2.05858,0.0798284,0.917828,0.111895,0.328345,0.245509
10,full,5000,2.5971,0.049897,3.33256,1.55928,0.565477,1.57329,0.759106,-0.0277232,-1.75551,-0.000638631,-0.00876746,-0.0155316,1.13362,0.0364916,0.333841,0.186596,0.351754,0.0638858
10,snr_low,1667,3.78668,0.0496711,5.4034,1.57745,0.565464,1.60948,0.524152,-0.0282239,-49.4561,-0.0115164,-0.0168985,-0.10712,0.953707,0.0212199,0.776928,0.156715,0.292489,0.0578873
10,snr_mid,1666,2.024,0.0504303,3.33751,1.55266,0.555701,1.56871,0.879013,-0.0324727,-18.2147,-0.00539794,-0.0167734,0.00627222,1.10567,0.0321823,0.779861,0.161567,0.357561,0.060288
10,snr_high,1667,1.98027,0.04959,1.25677,1.54772,0.575259,1.54167,0.862749,-0.023542,-2.59155,0.0150119,0.00545969,0.0468783,1.25918,0.04481,0.808502,0.152251,0.386813,0.0655505
10,mchirp_low,2500,2.01076,0.0501839,3.64984,1.57715,0.550788,1.57457,0.428291,-0.0361811,-2.17852,-0.00599032,0.0412992,-0.0243868,0.96049,0.0422025,0.333893,0.211987,0.340756,0.0649362
10,mchirp_high,2500,3.18343,0.0496102,3.01528,1.5414,0.580166,1.572,0.0781762,-0.0195328,-1.3378,0.0047272,-0.0583098,-0.00725594,1.44589,0.016879,0.275282,0.150765,0.327198,0.0614151
10,merger_early,2500,2.64323,0.0586734,3.35043,1.58304,0.560154,1.55779,0.743026,-4.34606,-1.81025,-0.0159679,0.013504,0.0048994,1.13262,0.0731621,0.333926,0.188719,0.358084,0.0641648
10,merger_late,2500,2.55096,0.0411206,3.31469,1.53551,0.5708,1.58878,0.774994,-1.88582,-1.70241,0.0145253,-0.0325053,-0.0364236,1.13441,0.0721833,0.333772,0.184441,0.345378,0.0635942
10,q_low,1667,1.88627,0.0502576,3.47655,1.58442,0.553307,1.5532,0.616969,-0.0256832,-1.94119,0.00205368,0.0316182,0.0185279,1.17494,0.0361059,0.312194,0.187634,0.345484,0.0589023
10,q_mid,1666,2.70786,0.0496189,3.34079,1.52497,0.5675,1.56689,0.71269,-0.021781,-1.74699,-0.00543745,-0.0347952,-0.0227776,1.17772,0.0371686,0.33808,0.19118,0.359023,0.0634421
10,q_high,1667,3.19722,0.0498144,3.18034,1.56842,0.575624,1.59976,0.740048,-0.0369563,-1.5786,0.000978726,-0.0241141,-0.0434151,1.14084,0.0359442,0.344617,0.180887,0.348354,0.0672351
10,q_low_mchirp_low,1241,1.70316,0.0502732,3.60808,1.60502,0.54323,1.56448,0.30408,-0.0236462,-2.10227,-0.000923514,0.0440533,-0.00434346,1.1413,0.0374537,0.308381,0.197726,0.338317,0.0609127
10,q_low_mchirp_high,426,2.4197,0.0502121,3.09339,1.52442,0.582663,1.52037,-2.11879,-0.0334211,-1.46929,0.00600199,-0.00403668,0.0812832,2.14604,0.0178086,0.257664,0.151003,0.329528,0.0516677
10,q_high_mchirp_low,544,2.37007,0.0501648,3.64246,1.5668,0.565216,1.58069,0.465217,-0.0861562,-2.26594,-0.00368706,0.0377302,-0.0165749,0.793056,0.0465756,0.355392,0.221538,0.32669,0.0663808
10,q_high_mchirp_high,1123,3.59791,0.0496446,2.95649,1.56921,0.580665,1.60899,-0.0523763,-0.0185461,-1.25936,0.00321703,-0.0543605,-0.0567273,1.48036,0.0170989,0.288752,0.147619,0.326466,0.0670338
15,full,5000,1.32412,0.0492983,0.965102,1.59002,0.537839,1.57316,0.922233,0.000116946,0.713705,-0.0271896,0.103219,-0.0110659,0.950877,0.0135313,0.951327,1.03493,0.370081,1.46102
15,snr_low,1667,2.11025,0.0491448,0.756239,1.59914,0.551817,1.63924,0.827064,-3.8236e-05,-0.555498,-0.0231646,0.0345496,-0.135339,0.914599,0.00983183,1.28288,1.10989,0.295841,1.51174
15,snr_mid,1666,1.09813,0.0498227,1.08982,1.60765,0.529332,1.55813,0.954178,-0.000352762,-1.96983,-0.0552258,0.0939525,0.0259162,0.958036,0.0132681,1.87257,1.01486,0.380974,1.43025
15,snr_high,1667,0.76386,0.0489275,1.04932,1.56327,0.532363,1.52209,0.981866,-0.00033354,-1.98805,-0.00357819,0.175241,0.0663834,0.977941,0.0162101,1.54976,0.936414,0.415313,1.33612
15,mchirp_low,2500,1.29473,0.0493052,0.9898,1.58,0.538444,1.55859,0.656741,0.00024807,0.69724,0.00181235,0.0905779,0.000298986,0.986637,0.0132361,0.962605,1.06385,0.350007,1.4916
15,mchirp_high,2500,1.35352,0.0492914,0.940404,1.60003,0.537234,1.58772,0.791453,-0.000307108,0.729949,-0.0573237,0.115147,-0.0228346,1.01326,0.0123299,0.939914,0.968889,0.388794,1.3932
