epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
5,full,5000,3.19888,0.0511459,3.06284,1.33076,1.55565,0.68034,-0.0972977,-1.15119,0.207661,0.0145618,1.08798,0.0889962,0.672431,0.269465,0.219624
5,snr_low,1667,4.41454,0.0501074,4.24517,1.32859,1.54122,0.379728,-0.0572897,-31.8471,0.209978,-0.0249324,0.931245,0.0491284,1.64344,0.265315,0.14765
5,snr_mid,1666,2.76078,0.0516695,3.19741,1.32187,1.57397,0.794923,-0.102041,-16.9952,0.212469,0.018964,1.08136,0.0612219,1.24512,0.270069,0.188933
5,snr_high,1667,2.42107,0.051661,1.74601,1.34181,1.55177,0.854143,-0.133321,-5.15844,0.200564,0.046312,1.20556,0.0661644,1.06577,0.27245,0.268118
5,mchirp_low,2500,2.67582,0.0512842,3.38156,1.34211,1.55894,0.173512,-0.097421,-1.53307,0.188759,0.00925965,0.992023,0.0924704,0.678469,0.273891,0.128735
5,mchirp_high,2500,3.72194,0.0510076,2.74411,1.3194,1.55236,-0.18517,-0.0974948,-0.774079,0.226781,0.0193297,1.41322,0.0849151,0.639359,0.261814,0.254741
5,merger_early,2500,3.27752,0.0665666,3.07459,1.34552,1.55363,0.65903,-5.61345,-1.19527,0.206694,0.0260704,1.09187,0.180942,0.686748,0.266944,0.220469
5,merger_late,2500,3.12025,0.0357251,3.05108,1.31599,1.55768,0.701394,-1.23495,-1.10844,0.208654,0.00275016,1.0839,0.173628,0.658197,0.272062,0.218763
5,q_low,1667,2.49889,0.0515216,3.21287,1.33247,1.56303,0.4418,-0.0880219,-1.31583,0.198216,0.0260351,1.13505,0.0865762,0.653349,0.272042,0.169143
5,q_mid,1666,3.29973,0.0504398,3.06433,1.32774,1.53832,0.622649,-0.0814155,-1.13227,0.208689,0.0226785,1.14234,0.0903567,0.680863,0.269849,0.2308
5,q_high,1667,3.79808,0.0514758,2.91131,1.33206,1.56559,0.664381,-0.123976,-1.00565,0.215992,-0.00553394,1.09443,0.0885713,0.679992,0.265826,0.229608
5,q_low_mchirp_low,1241,2.32445,0.0513302,3.33166,1.34989,1.5548,0.000522406,-0.0749428,-1.4566,0.184425,0.0233759,1.14899,0.0877693,0.650205,0.2716,0.127484
5,q_low_mchirp_high,426,3.00708,0.0520791,2.86682,1.28172,1.58703,-3.64292,-0.128906,-0.903432,0.240054,0.0324578,2.2063,0.0829739,0.638641,0.271197,0.242141
5,q_high_mchirp_low,544,3.09614,0.0519418,3.40546,1.34425,1.55248,0.243118,-0.175428,-1.65535,0.195835,0.00106374,0.833036,0.0929772,0.676609,0.274158,0.127015
5,q_high_mchirp_high,1123,4.13811,0.0512501,2.67193,1.32616,1.57194,-0.336502,-0.104903,-0.70387,0.225869,-0.00897754,1.43474,0.086056,0.654627,0.25873,0.242006
10,full,5000,3.14263,0.0496746,2.08971,1.52879,1.57196,0.703866,-0.0157105,-0.126814,0.110574,-0.0140763,0.982969,0.0500693,0.697697,0.155741,1.01397
10,snr_low,1667,4.47864,0.0493982,3.04416,1.5126,1.61906,0.384745,-0.0118455,-16.8916,0.102905,-0.108204,0.92277,0.0316897,1.64405,0.145926,1.22189
10,snr_mid,1666,2.66116,0.0501857,2.33884,1.52673,1.5773,0.832525,-0.0189769,-9.10093,0.114512,-0.00530736,0.976693,0.0382687,1.28531,0.158354,1.03379
10,snr_high,1667,2.28781,0.0494403,0.886276,1.54705,1.51952,0.880951,-0.0173375,-0.870146,0.114267,0.0635192,1.02115,0.0508032,0.718894,0.155603,0.670366
10,mchirp_low,2500,2.74682,0.0498911,2.24708,1.51987,1.56462,0.159887,-0.0207713,-0.266983,0.0736825,-0.00953989,0.916676,0.0594776,0.698789,0.124687,0.646434
10,mchirp_high,2500,3.53844,0.0494582,1.93233,1.53772,1.5793,-0.0561694,-0.010927,0.0115774,0.147949,-0.0190767,1.17278,0.0326457,0.689877,0.140869,1.25027
10,merger_early,2500,3.21797,0.0563135,2.09017,1.55012,1.55387,0.68488,-4.00606,-0.145635,0.105351,0.0117076,0.982069,0.100915,0.705106,0.15428,1.00842
10,merger_late,2500,3.06729,0.0430358,2.08925,1.50747,1.59005,0.722623,-2.11145,-0.10858,0.11599,-0.0404141,0.983621,0.0985276,0.690377,0.157229,1.01957
10,q_low,1667,2.54969,0.050059,2.17743,1.53576,1.53989,0.444984,-0.0140709,-0.191722,0.0772983,0.036192,1.04275,0.052142,0.697004,0.125757,0.803239
10,q_mid,1666,3.16177,0.0494217,2.08836,1.5271,1.59744,0.647085,-0.00950299,-0.119882,0.115246,-0.0516486,1.03146,0.0509235,0.694362,0.156928,1.09809
10,q_high,1667,3.71644,0.0495431,2.00333,1.52352,1.57857,0.700061,-0.0247874,-0.0691987,0.139042,-0.028385,0.982319,0.0469296,0.701439,0.171723,1.10448
10,q_low_mchirp_low,1241,2.43862,0.0500368,2.25841,1.53995,1.53855,-0.05094,-0.0113287,-0.257801,0.0640272,0.0254061,1.06024,0.0548638,0.690969,0.115618,0.650147
10,q_low_mchirp_high,426,2.87328,0.0501237,1.94155,1.52356,1.5438,-3.23602,-0.0239007,0.00185312,0.1173,0.0652778,1.78014,0.0297538,0.702963,0.114184,1.09767
10,q_high_mchirp_low,544,3.13117,0.0496787,2.16985,1.5021,1.57154,0.240191,-0.0632982,-0.255182,0.0893792,-0.00451618,0.768176,0.0639429,0.70463,0.134303,0.58726
10,q_high_mchirp_high,1123,3.99996,0.0494774,1.92267,1.5339,1.58198,-0.166549,-0.011347,0.0171756,0.16338,-0.0402465,1.17954,0.0327712,0.696024,0.150109,1.2666
