epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,4.95286,0.0348399,6.01267,1.7344,1.56314,0.77984,1.5769,0.261137,0.424439,-6.41419,-0.162071,-0.00175274,0.754365,-0.00582027,0.544981,0.701939,0.440986,0.955839,0.20197,0.0546226,0.046945
5,snr_low,1667,6.00743,0.0390001,7.94084,1.65674,1.51533,0.780035,1.58199,-0.103192,0.273861,-106.811,-0.0269701,-0.0123006,0.752544,-0.011663,0.41516,0.607143,0.917252,0.738319,0.2113,0.0645888,0.0414402
5,snr_mid,1666,4.74732,0.0343848,5.93495,1.77725,1.58326,0.773835,1.58849,0.357591,0.455628,-57.5485,-0.215622,-0.00118119,0.760143,-0.0267439,0.530466,0.717673,1.00752,0.963955,0.161768,0.0379036,0.0446244
5,snr_high,1667,4.10369,0.0311345,4.16217,1.76924,1.59084,0.785647,1.56022,0.516544,0.541486,-29.0274,-0.243348,0.00719809,0.750169,0.0199639,0.640166,0.769522,1.13666,1.1131,0.120536,0.0226054,0.048594
5,mchirp_low,2500,2.13245,0.0359106,6.23282,1.6991,1.56353,0.778224,1.57324,0.428345,0.37828,-6.92012,-0.113857,-0.00312029,0.753015,0.00554917,0.698093,0.665476,0.466,0.901839,0.200985,0.0551968,0.0485791
5,mchirp_high,2500,7.77326,0.0337692,5.79252,1.7697,1.56275,0.781457,1.58055,-2.49054,0.47061,-5.91495,-0.211116,-0.000893709,0.755681,-0.017238,0.661549,0.736592,0.395327,1.00238,0.194658,0.0540467,0.0408927
5,merger_early,2500,4.86843,0.0506273,6.0412,1.75907,1.58202,0.788467,1.56499,0.28109,-3.01574,-6.57232,-0.172367,-0.0114806,0.746809,0.0130284,0.552016,1.16066,0.448061,0.930657,0.197079,0.0524136,0.0458778
5,merger_late,2500,5.03728,0.0190525,5.98414,1.70973,1.54426,0.771213,1.58881,0.241283,0.33875,-6.26077,-0.151383,0.0080391,0.761644,-0.0254467,0.537897,0.676216,0.433944,0.980697,0.206689,0.0565867,0.0456249
5,q_low,1667,2.65376,0.0358414,6.13773,1.70841,1.5876,0.772517,1.5934,0.356617,0.407259,-6.66574,-0.140315,-0.0102384,0.753854,-0.0280978,0.665476,0.687703,0.447059,0.93097,0.195145,0.0532832,0.04666
5,q_mid,1666,5.06258,0.0341177,6.0247,1.71103,1.54984,0.777578,1.56475,0.210225,0.436463,-6.36979,-0.130794,0.00113475,0.751488,0.00142746,0.593721,0.705257,0.43428,0.967189,0.204469,0.0547189,0.0470206
5,q_high,1667,7.1423,0.0345601,5.87559,1.78376,1.55196,0.789424,1.57253,0.0210865,0.429247,-6.21213,-0.214737,0.00368152,0.757404,0.00483516,0.530277,0.712372,0.438881,0.967792,0.205636,0.0557842,0.0466466
5,q_low_mchirp_low,1241,1.86451,0.0358491,6.21735,1.70274,1.56706,0.774728,1.58965,0.316614,0.402307,-6.82219,-0.119813,-0.00451033,0.751624,-0.0193765,0.795631,0.675242,0.453252,0.912185,0.195399,0.0527272,0.0473651
5,q_low_mchirp_high,426,4.95298,0.035819,5.90578,1.72492,1.64744,0.766076,1.60434,-7.47011,0.421131,-6.20742,-0.2065,-0.0272315,0.759925,-0.0534922,1.16379,0.72408,0.411956,0.986725,0.187381,0.0548701,0.0399785
5,q_high_mchirp_low,544,2.43746,0.0371041,6.18557,1.73491,1.58215,0.806536,1.5561,0.454412,0.323656,-7.09258,-0.135284,-0.00937904,0.750775,0.0376535,0.607835,0.658741,0.470977,0.852725,0.201275,0.0566769,0.0512248
5,q_high_mchirp_high,1123,9.4214,0.0333278,5.72543,1.80742,1.53734,0.781135,1.58049,-3.45362,0.476289,-5.80329,-0.253674,0.00981537,0.760129,-0.0115992,0.668443,0.734495,0.406004,1.01214,0.200732,0.0553757,0.040848
10,full,5000,3.39341,0.0886736,5.25143,1.25167,1.56842,0.777279,1.57728,0.620258,-2.18967,-4.51163,0.377216,0.000215553,0.755834,-0.00300063,1.13596,0.206171,0.743278,1.17948,0.00541008,0.00216187,0.395894
10,snr_low,1667,3.88533,0.0928247,4.0896,1.24212,1.56868,0.774067,1.58434,0.487719,-2.54763,-28.2885,0.391263,-0.0566637,0.756336,-0.0125274,0.713666,0.0974225,0.818843,1.15696,0.00269756,0.00179354,0.444279
10,snr_mid,1666,2.90949,0.090303,5.50785,1.24145,1.57341,0.768097,1.58289,0.747289,-2.26057,-49.6322,0.384283,0.0193978,0.762357,-0.0166102,1.10045,0.170945,1.31273,1.1817,0.0034975,0.00184069,0.40154
10,snr_high,1667,3.38513,0.082894,6.15699,1.27142,1.56318,0.789668,1.56463,0.615531,-1.76701,-63.8095,0.356221,0.0333488,0.748571,0.0192764,1.40484,0.281214,1.79973,1.19912,0.00482876,0.0019877,0.334252
10,mchirp_low,2500,2.06383,0.0889893,5.27983,1.26152,1.56848,0.781511,1.57815,0.412353,-2.21954,-4.61083,0.378653,-0.00596782,0.751906,0.00337635,1.05044,0.196555,0.755302,1.17988,0.00560172,0.00221854,0.368174
10,mchirp_high,2500,4.72299,0.0883578,5.22303,1.24182,1.56836,0.773047,1.57641,-0.629106,-2.16062,-4.41407,0.375704,0.00585006,0.759687,-0.00940915,1.54496,0.215209,0.730759,1.17903,0.00519817,0.00210378,0.421484
10,merger_early,2500,3.38043,0.131445,5.29573,1.23706,1.56344,0.776183,1.56944,0.61555,-21.5658,-4.67916,0.396749,0.0138701,0.752952,0.0158233,1.1409,0.480727,0.741823,1.16018,0.00540369,0.00217425,0.347302
