epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,2.33795,0.0503279,1.72596,1.28224,1.57546,0.778037,1.57028,0.811909,-0.0514091,0.236843,0.265008,-0.0121353,0.754879,-0.00106006,1.08233,0.0671289,0.872766,0.322726,0.0268244,0.017006,0.185353
5,snr_low,1667,2.61493,0.0496738,2.22315,1.28109,1.62989,0.775461,1.57049,0.761246,-0.030679,-9.4341,0.264651,-0.124231,0.754734,-0.00580734,0.93721,0.0367868,1.70094,0.320893,0.020726,0.0157207,0.183656
5,snr_mid,1666,2.118,0.0508436,1.92768,1.27289,1.55835,0.772214,1.57536,0.852148,-0.0564224,-6.34874,0.268748,0.0203673,0.760211,-0.0201578,1.0694,0.0444296,1.56692,0.323535,0.0180565,0.0127958,0.183107
5,snr_high,1667,2.2808,0.0504665,1.02718,1.29274,1.53813,0.786432,1.56498,0.818898,-0.068016,-1.39631,0.261633,0.0585518,0.749468,0.0218848,1.21533,0.0493373,1.02463,0.323671,0.0149068,0.00940279,0.187973
5,mchirp_low,2500,1.76355,0.0504528,1.78814,1.29804,1.57334,0.777006,1.57932,0.461034,-0.0506555,0.182002,0.243969,-0.0139296,0.753765,-0.0100055,1.02177,0.0721351,0.887402,0.324151,0.0291366,0.0146787,0.216485
5,mchirp_high,2500,2.91235,0.0502029,1.66379,1.26644,1.57759,0.779068,1.56123,0.332178,-0.0524732,0.290963,0.286304,-0.0108583,0.755963,0.00790518,1.26004,0.0606011,0.857457,0.319054,0.0227521,0.0171439,0.14741
5,merger_early,2500,2.34863,0.0619986,1.73104,1.29568,1.56069,0.783446,1.58029,0.810454,-4.86179,0.218983,0.263854,0.0116217,0.749021,0.00243387,1.07813,0.13594,0.884968,0.31953,0.0269738,0.0172909,0.188969
5,merger_late,2500,2.32728,0.0386571,1.72088,1.2688,1.59023,0.772628,1.56027,0.813324,-1.5855,0.25418,0.266198,-0.0364107,0.760511,-0.00491869,1.08635,0.131476,0.860708,0.326017,0.0266725,0.0167265,0.181503
5,q_low,1667,2.11002,0.0506697,1.79832,1.28923,1.5543,0.769429,1.57703,0.60439,-0.0454254,0.189742,0.253954,0.0239198,0.754687,-0.0250687,1.13103,0.0650907,0.86895,0.322585,0.0275651,0.0151703,0.171419
5,q_mid,1666,2.27077,0.0498688,1.7198,1.27649,1.58693,0.778767,1.54371,0.783668,-0.0406119,0.242117,0.267469,-0.0335433,0.750875,0.0285969,1.11555,0.068148,0.872862,0.323728,0.0269935,0.0162816,0.184704
