epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,6.76162,0.03725,1.45279,1.26487,1.57016,0.794303,1.56983,-0.145514,0.396479,0.372594,0.397506,-0.0113856,0.747024,0.00293936,0.64928,0.39121,0.716344,0.687828,0.197488,0.0635886,0.514363
5,snr_low,1667,5.87483,0.0412767,0.872421,1.27333,1.61528,0.79712,1.56286,0.0916309,0.261167,-1.05427,0.389297,-0.115791,0.743738,0.000950449,0.380495,0.302196,1.32681,0.680899,0.256251,0.0575337,0.553205
5,snr_mid,1666,6.35136,0.037424,1.28562,1.24884,1.55278,0.802583,1.57731,0.0217455,0.411707,-3.07786,0.403982,0.0248133,0.745855,-0.0216059,0.537285,0.382128,1.61813,0.688279,0.156419,0.0599781,0.506323
5,snr_high,1667,8.05841,0.0330493,2.20023,1.27243,1.54243,0.783211,1.56933,-0.557005,0.514482,-9.33982,0.39923,0.0485969,0.751338,0.0284835,0.725886,0.469932,1.58057,0.694207,0.148555,0.0586792,0.477931
5,mchirp_low,2500,8.85638,0.0393622,1.72191,1.27707,1.56905,0.790513,1.57234,-6.6801,0.340165,0.14312,0.389913,-0.0163897,0.746923,0.000182946,0.986612,0.3536,0.660691,0.680513,0.200218,0.0649551,0.527082
5,mchirp_high,2500,4.66685,0.0351377,1.18367,1.25267,1.57128,0.798094,1.56732,-0.599616,0.452835,0.599258,0.405163,-0.00692595,0.747111,0.0056949,1.10511,0.415941,0.704063,0.695203,0.191653,0.0590505,0.500992
5,merger_early,2500,6.32417,0.0405206,1.42126,1.26722,1.55545,0.795675,1.5559,0.000987362,-1.89688,0.388124,0.399831,0.0111092,0.742352,0.0260976,0.598315,0.526236,0.74201,0.676676,0.188649,0.0661987,0.510389
5,merger_late,2500,7.19906,0.0339793,1.48433,1.26252,1.58488,0.792931,1.58376,-0.290718,-0.921356,0.357378,0.395081,-0.0343769,0.751502,-0.0211098,0.67655,0.701573,0.689112,0.699235,0.20604,0.0598143,0.518243
5,q_low,1667,7.50594,0.0380835,1.51055,1.28019,1.55054,0.805665,1.6106,-3.05061,0.378186,0.330328,0.389377,0.0215343,0.738013,-0.0517825,0.914233,0.371781,0.685099,0.684927,0.17641,0.0646474,0.520599
5,q_mid,1666,6.31447,0.0369462,1.43675,1.25095,1.57175,0.791625,1.5152,-0.255588,0.409913,0.39576,0.402384,-0.0222922,0.742982,0.0641143,0.70625,0.395042,0.717769,0.690431,0.198339,0.0626679,0.487443
5,q_high,1667,6.46417,0.03672,1.41107,1.26347,1.58821,0.785618,1.58365,0.219829,0.400974,0.391149,0.400739,-0.0344731,0.759281,-0.00814963,0.623414,0.40343,0.735859,0.688163,0.21553,0.0631648,0.533607
5,q_low_mchirp_low,1241,8.5608,0.0385363,1.61376,1.29781,1.55566,0.802363,1.60651,-9.89532,0.366537,0.247804,0.381955,0.0047083,0.738984,-0.047659,1.22295,0.364691,0.660483,0.677428,0.191863,0.0647617,0.535955
5,q_low_mchirp_high,426,4.433,0.0367646,1.20988,1.22887,1.53561,0.815284,1.62252,-8.45024,0.412054,0.572077,0.411586,0.0674417,0.734842,-0.0637981,2.3269,0.389666,0.706527,0.708471,0.121522,0.0626001,0.472298
5,q_high_mchirp_low,544,9.25607,0.0404803,1.92982,1.262,1.56691,0.7628,1.56593,-5.09143,0.279713,-0.0925859,0.399997,0.00135735,0.770413,0.020156,0.77332,0.338564,0.646243,0.676983,0.252299,0.0669082,0.520687
5,q_high_mchirp_high,1123,5.11172,0.0348984,1.15978,1.26418,1.59852,0.796671,1.59224,-0.65922,0.455254,0.615864,0.401102,-0.0521623,0.75333,-0.022328,1.1165,0.417766,0.711408,0.693575,0.191811,0.0577062,0.538423
10,full,5000,2.55641,0.0194181,0.973588,1.23526,1.5626,0.776812,1.57085,0.791166,0.799607,0.715743,0.325779,0.00650725,0.755703,0.00288951,0.899548,0.975757,0.867664,0.441143,0.0986758,0.0406925,0.442452
