epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,6.85038,0.0466929,1.85346,1.25084,1.57323,0.787533,1.57441,-0.175192,0.0952899,-0.0105902,0.452839,-0.000817363,0.75181,-0.00754614,0.545184,0.187436,0.688981,0.810165,0.103777,0.683618,0.414137
5,snr_low,1667,6.07607,0.0482459,0.785886,1.26027,1.59212,0.787171,1.57672,0.0333002,0.0322176,-0.682523,0.447298,-0.0755609,0.75062,-0.0130601,0.283013,0.149109,1.14729,0.807958,0.0780729,0.727034,0.433411
5,snr_mid,1666,6.48635,0.0470739,1.82156,1.23426,1.57229,0.797413,1.56251,-0.0169235,0.0999909,-6.22651,0.460166,0.0206884,0.750627,-0.017228,0.420123,0.177359,1.60523,0.812057,0.0928173,0.682115,0.40801
5,snr_high,1667,7.9885,0.0447591,2.95291,1.25798,1.55528,0.77802,1.584,-0.548987,0.152041,-16.5761,0.451068,0.0464246,0.754057,0.00700533,0.596014,0.227028,1.87625,0.81049,0.105788,0.638049,0.400237
5,mchirp_low,2500,9.14666,0.0477406,2.26655,1.26251,1.56437,0.790527,1.58135,-7.0927,0.0589371,-0.425671,0.447793,0.00502451,0.748114,-0.0158984,0.83325,0.165878,0.550481,0.806585,0.0900121,0.700861,0.420566
5,mchirp_high,2500,4.5541,0.0456451,1.44036,1.23916,1.58209,0.784539,1.56747,-0.5212,0.13152,0.399416,0.457916,-0.00710542,0.755434,0.000823882,0.973595,0.206576,0.725628,0.813817,0.110532,0.664179,0.407563
5,merger_early,2500,6.76467,0.0522039,1.85267,1.25012,1.57543,0.780728,1.57203,-0.145056,-3.4985,-0.0309705,0.459466,0.00626981,0.752599,0.0123377,0.530826,0.310348,0.688728,0.802177,0.10344,0.706346,0.416923
5,merger_late,2500,6.93609,0.0411818,1.85424,1.25155,1.57104,0.794338,1.5768,-0.205189,-1.73448,0.00917716,0.445943,-0.00813239,0.750991,-0.0282359,0.557655,0.39424,0.689227,0.818392,0.104112,0.660485,0.410888
5,q_low,1667,7.45307,0.0472849,2.03593,1.2692,1.56089,0.790911,1.61143,-2.99268,0.083602,-0.181116,0.444055,0.0261903,0.745422,-0.0579729,0.786387,0.174231,0.60387,0.8095,0.0947051,0.696177,0.417582
5,q_mid,1666,6.31258,0.0466447,1.81086,1.23182,1.58923,0.787301,1.52976,-0.26213,0.0992251,0.0517614,0.459372,-0.0271002,0.749539,0.0409921,0.596121,0.187696,0.690172,0.812997,0.104898,0.684035,0.429712
5,q_high,1667,6.78517,0.0461489,1.71356,1.25147,1.56958,0.784387,1.58202,0.145222,0.102229,0.0977386,0.455095,-0.00261396,0.759873,-0.0103228,0.517976,0.199218,0.744215,0.808053,0.10949,0.670102,0.394977
5,q_low_mchirp_low,1241,8.68936,0.0476687,2.18781,1.28468,1.56238,0.789252,1.61761,-10.0261,0.0732729,-0.335973,0.439375,0.0170531,0.746309,-0.0659611,1.03637,0.167762,0.54673,0.801987,0.088819,0.698526,0.421967
5,q_low_mchirp_high,426,3.85157,0.0461668,1.59348,1.22413,1.55657,0.795745,1.59345,-6.4078,0.113048,0.272529,0.457766,0.0506703,0.742502,-0.0347446,2.1501,0.19224,0.689814,0.833273,0.105321,0.684309,0.404523
5,q_high_mchirp_low,544,9.83914,0.0475113,2.46164,1.25179,1.56227,0.778119,1.56813,-5.82897,0.0176145,-0.695661,0.458391,-0.004136,0.761827,0.0270179,0.667252,0.162536,0.530443,0.803889,0.0894125,0.69336,0.36883
5,q_high_mchirp_high,1123,5.30577,0.045489,1.35118,1.25132,1.57312,0.787424,1.58875,-0.766086,0.137922,0.466308,0.453479,-0.00210186,0.758408,-0.0290188,0.968702,0.214616,0.750664,0.810087,0.113217,0.657726,0.407369
10,full,5000,4.63283,0.0301449,1.17546,1.14829,1.57,0.783438,1.54887,0.36996,0.565985,0.59607,0.483241,0.000655982,0.752327,0.015297,0.589479,0.822392,0.729325,0.664178,0.091448,0.0762414,0.835933
10,snr_low,1667,5.59278,0.0337442,1.48522,1.15775,1.55855,0.784108,1.55095,0.0633202,0.457685,-4.30963,0.474631,-0.0437607,0.74906,0.00644838,0.349518,0.658143,1.45039,0.659592,0.0657519,0.0407076,0.946106
10,snr_mid,1666,4.59051,0.0282987,0.972977,1.13186,1.57088,0.779181,1.53217,0.419879,0.62112,-1.34068,0.489465,0.0210057,0.75794,0.0147768,0.53015,0.825457,1.59284,0.667206,0.079875,0.0574806,0.856175
10,snr_high,1667,3.71518,0.0283906,1.06806,1.15524,1.58057,0.787023,1.56349,0.618093,0.617142,-2.04923,0.485616,0.0211968,0.749738,0.0242118,0.703166,0.954828,1.33107,0.665635,0.0890945,0.0687571,0.683882
10,mchirp_low,2500,3.46953,0.0338508,1.16314,1.15888,1.57195,0.789502,1.54897,-0.537283,0.459013,0.603435,0.476938,-0.0054878,0.747334,0.0163886,0.783719,0.768373,0.732077,0.659835,0.0767959,0.071276,0.908946
10,mchirp_high,2500,5.79613,0.026439,1.18777,1.1377,1.56805,0.777374,1.54877,-1.38738,0.673248,0.588761,0.489596,0.00625145,0.757227,0.0141916,0.972281,0.869249,0.692214,0.668585,0.0973098,0.0785807,0.753229
10,merger_early,2500,4.62078,0.0234109,1.19966,1.14704,1.56725,0.78342,1.5512,0.350493,-0.0648979,0.575257,0.489868,0.0131524,0.748386,0.0243136,0.577274,0.757259,0.740666,0.655259,0.0914251,0.0672379,0.79565
10,merger_late,2500,4.64488,0.0368788,1.15125,1.14953,1.57275,0.783457,1.54654,0.38915,-1.33345,0.616326,0.476345,-0.012162,0.756099,0.00577193,0.592889,1.28441,0.717413,0.673236,0.0889988,0.0825419,0.87547
10,q_low,1667,3.26761,0.0314387,1.13197,1.16485,1.57531,0.768301,1.55282,0.101578,0.543894,0.625462,0.475452,0.0100763,0.756331,-0.00205835,0.770056,0.80285,0.727347,0.663324,0.0833847,0.0736219,0.86917
10,q_mid,1666,4.57257,0.030043,1.18614,1.13068,1.55541,0.78656,1.52434,0.322093,0.564305,0.59287,0.489155,0.00607772,0.748161,0.0372982,0.622735,0.824787,0.735922,0.666467,0.0904781,0.0789098,0.828741
10,q_high,1667,6.05827,0.0289529,1.20827,1.14933,1.57927,0.795456,1.56944,0.250311,0.589726,0.569054,0.485119,-0.0146772,0.752297,0.00651705,0.584648,0.838969,0.721799,0.662787,0.0978557,0.0758353,0.809437
10,q_low_mchirp_low,1241,3.12202,0.0329453,1.12905,1.1775,1.56969,0.77419,1.54456,-0.901845,0.50489,0.629432,0.469451,0.00740189,0.752748,0.0079226,0.960696,0.78744,0.72133,0.656832,0.076322,0.071028,0.891004
10,q_low_mchirp_high,426,3.69175,0.0270497,1.14046,1.128,1.59169,0.751146,1.57689,-4.5216,0.659895,0.613831,0.493357,0.0165251,0.766302,-0.0311176,1.99159,0.847514,0.7205,0.683817,0.0966861,0.079153,0.798431
10,q_high_mchirp_low,544,3.93065,0.0346436,1.25394,1.1527,1.57679,0.801132,1.66221,-0.406165,0.398444,0.533433,0.48467,-0.0257283,0.749171,-0.0661373,0.659836,0.719372,0.720083,0.656765,0.0739909,0.0651424,0.92517
