epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,5.29634,0.0466467,2.35228,1.28765,1.58256,0.79808,1.57003,0.230258,0.05963,-0.495399,0.376982,-0.018238,0.746013,-0.00196642,0.551088,0.218565,0.574731,0.682957,1.32775,0.278093,0.408768
5,snr_low,1667,5.87553,0.0480049,0.970514,1.29198,1.63153,0.801241,1.56908,-0.00636483,0.00565697,-1.43294,0.372213,-0.122611,0.743222,-0.0147147,0.275022,0.179054,1.2381,0.676722,1.3997,0.185355,0.409289
5,snr_mid,1666,5.13366,0.047064,2.21312,1.27078,1.56203,0.802307,1.57695,0.316204,0.0545097,-9.0311,0.385051,0.0121025,0.74642,-0.0199362,0.424089,0.213853,1.42298,0.683978,1.35218,0.249265,0.413054
5,snr_high,1667,4.87975,0.0448713,3.87312,1.30019,1.5541,0.790694,1.56406,0.371207,0.117242,-25.7357,0.373704,0.0474899,0.748233,0.0276838,0.629103,0.25464,1.29791,0.688089,1.2277,0.367703,0.401425
5,mchirp_low,2500,4.59341,0.0478647,2.73442,1.29938,1.58335,0.796037,1.56567,-1.53563,0.0238775,-0.932439,0.370961,-0.0206367,0.745565,0.00179924,0.804809,0.199633,0.528468,0.677651,1.37133,0.24118,0.431885
5,mchirp_high,2500,5.99927,0.0454286,1.97014,1.27593,1.58176,0.800122,1.57438,-1.54784,0.0952469,-0.0637373,0.383041,-0.016365,0.746442,-0.00575486,0.974248,0.235969,0.549013,0.688327,1.2819,0.310145,0.384033
5,merger_early,2500,5.2592,0.0618897,2.38626,1.28954,1.57853,0.791823,1.56804,0.225611,-4.90297,-0.557735,0.380573,-0.00339555,0.745472,0.0156667,0.526362,0.369256,0.574196,0.67448,1.29388,0.256801,0.42351
5,merger_late,2500,5.33348,0.0314036,2.3183,1.28577,1.58658,0.804337,1.57201,0.234754,-0.695394,-0.434762,0.37324,-0.0334449,0.746483,-0.0203436,0.571049,0.441288,0.574118,0.691663,1.36048,0.297123,0.393007
5,q_low,1667,4.01832,0.0475195,2.47547,1.30208,1.56504,0.810823,1.58692,-0.323979,0.0493671,-0.624413,0.369399,0.0136754,0.736036,-0.0265933,0.755518,0.204872,0.54735,0.680933,1.32449,0.237969,0.422323
5,q_mid,1666,5.16986,0.0460723,2.30775,1.27503,1.59628,0.794021,1.5518,0.172642,0.0713387,-0.429521,0.380947,-0.0471014,0.743266,0.0168676,0.600426,0.223169,0.569521,0.685455,1.31169,0.317891,0.401554
