epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,5.97225,0.048293,2.20288,1.28307,1.56024,0.786745,1.57974,0.0923114,0.0292115,-0.335251,0.423312,0.00508251,0.751029,-0.00573398,0.532291,0.154085,0.654876,0.792022,0.117038,0.0417967,1.0452
5,snr_low,1667,5.67105,0.0485362,0.922523,1.28515,1.51266,0.789781,1.61172,0.128849,0.0122143,-1.19647,0.423651,-0.00179936,0.746283,-0.0469049,0.268361,0.138506,1.12528,0.791897,0.1125,0.0387935,1.02442
5,snr_mid,1666,5.69311,0.0488822,2.20351,1.26509,1.58103,0.788371,1.56046,0.206822,0.0241622,-8.94474,0.432801,0.00331716,0.753969,0.00244502,0.395958,0.142951,1.51639,0.793954,0.113947,0.0399849,1.0565
5,snr_high,1667,6.55241,0.0474611,3.48259,1.29896,1.58704,0.782083,1.56703,-0.0657658,0.0500957,-21.8458,0.413548,0.0129734,0.752626,0.0262442,0.592048,0.168395,1.675,0.790129,0.11706,0.0432943,1.04838
5,mchirp_low,2500,7.17254,0.0486847,2.64998,1.29174,1.55873,0.778783,1.56299,-4.3306,0.0205853,-0.826821,0.421131,0.00723229,0.752507,0.0116168,0.782668,0.144952,0.554392,0.78968,0.116133,0.0406358,1.04004
5,mchirp_high,2500,4.77196,0.0479014,1.75577,1.2744,1.56175,0.794706,1.5965,-0.691148,0.0375874,0.150299,0.425477,0.0024578,0.749565,-0.0231531,0.944894,0.16146,0.665088,0.79439,0.117953,0.0425852,1.04559
5,merger_early,2500,5.91903,0.0569349,2.21755,1.28117,1.56341,0.791296,1.57359,0.104026,-4.12087,-0.374398,0.430614,0.0132469,0.744936,0.0103426,0.523334,0.291913,0.658241,0.784227,0.117694,0.0418914,1.05083
5,merger_late,2500,6.02547,0.0396512,2.1882,1.28497,1.55707,0.782194,1.58589,0.0805906,-1.65962,-0.297214,0.415713,-0.00332782,0.75689,-0.0225139,0.540133,0.306899,0.651238,0.80005,0.116319,0.0416465,1.03952
5,q_low,1667,5.8488,0.0488742,2.39157,1.29828,1.57163,0.792273,1.57651,-1.59056,0.0234159,-0.533588,0.416996,0.00924322,0.742315,-0.0174977,0.748448,0.14529,0.593688,0.792063,0.114531,0.04199,1.04931
5,q_mid,1666,5.56146,0.0479526,2.14574,1.2669,1.54889,0.786375,1.60122,0.0377659,0.0378292,-0.247064,0.428179,0.00365949,0.750235,-0.0252202,0.58576,0.158033,0.656076,0.794533,0.118061,0.0411269,1.03777
5,q_high,1667,6.50623,0.048052,2.07128,1.28403,1.5602,0.781585,1.56151,0.21595,0.0253586,-0.225452,0.424752,0.0019056,0.759894,0.0211933,0.510195,0.158496,0.692998,0.789513,0.11849,0.0421918,1.04887
5,q_low_mchirp_low,1241,6.74801,0.0489653,2.56565,1.314,1.56054,0.786401,1.56023,-6.11623,0.0241237,-0.72242,0.412255,0.0114483,0.744378,-0.000847409,0.970602,0.141825,0.548326,0.785214,0.113998,0.0421775,1.05224
5,q_low_mchirp_high,426,3.22928,0.0486088,1.88446,1.25248,1.60393,0.80938,1.62393,-4.05787,0.0197348,0.0195847,0.430853,0.00208988,0.736008,-0.0659644,2.00654,0.154259,0.648288,0.813782,0.116056,0.0411826,1.03889
5,q_high_mchirp_low,544,7.79571,0.0483913,2.87577,1.27709,1.56056,0.774951,1.54226,-3.55687,-0.0144651,-1.1758,0.434078,0.00706771,0.764876,0.0610984,0.613888,0.149131,0.526776,0.787541,0.115941,0.0378742,1.00922
5,q_high_mchirp_high,1123,5.88159,0.0478877,1.68157,1.2874,1.56002,0.784799,1.57083,-1.19038,0.0396445,0.216024,0.420181,-0.00083704,0.75695,0.001216,0.950016,0.161641,0.681401,0.790442,0.119617,0.0437243,1.06404
10,full,5000,2.98754,0.0238588,1.03355,1.24887,1.57069,0.7792,1.57801,0.720598,0.705567,0.684756,0.393066,-0.0135182,0.755154,-0.00377997,0.922893,0.901562,0.792746,0.64692,0.0969375,0.580619,0.931088
10,snr_low,1667,3.79075,0.0271119,0.899536,1.24818,1.61785,0.778604,1.56529,0.54928,0.627351,-1.24847,0.395718,-0.116295,0.753045,-0.00358275,0.667251,0.788561,1.39683,0.648898,0.0896058,0.664382,0.998844
10,snr_mid,1666,2.70506,0.022205,0.884817,1.23162,1.55746,0.776493,1.57875,0.789315,0.739681,-1.03047,0.400897,0.0151743,0.761255,-0.0183428,0.917786,0.914865,1.56305,0.647649,0.0935655,0.56816,0.955711
10,snr_high,1667,2.46662,0.0222586,1.31622,1.26682,1.53675,0.7825,1.59001,0.815954,0.748292,-3.02536,0.382646,0.0523706,0.750916,0.00994203,1.10493,0.989038,1.31872,0.644087,0.0966905,0.436122,0.832416
10,mchirp_low,2500,2.48959,0.0265079,1.04533,1.25309,1.56925,0.779678,1.57576,0.145634,0.635019,0.663688,0.393429,-0.0178964,0.753779,0.0032977,1.07706,0.868561,0.835289,0.643245,0.0965014,0.518913,0.974305
