epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,3.88961,0.0246992,1.06096,1.27917,1.57758,0.782402,1.57534,0.565138,0.687326,0.665433,0.428983,-0.0135277,0.753225,-0.00794423,0.860073,0.844797,0.80658,0.801311,0.0123685,0.00138418,0.413561
5,snr_low,1667,4.45576,0.0296158,1.14274,1.28666,1.63211,0.784773,1.58824,0.428592,0.559094,-2.38441,0.423191,-0.124698,0.749107,-0.0232071,0.56991,0.719787,1.46571,0.795963,0.00807661,0.00108381,0.4321
5,snr_mid,1666,3.66549,0.0235946,0.910491,1.26371,1.55915,0.781401,1.54543,0.635384,0.719859,-1.14604,0.436335,0.0203243,0.757137,0.00331508,0.816494,0.863657,1.6241,0.803772,0.00884284,0.00122345,0.405551
5,snr_high,1667,3.54746,0.0208865,1.12956,1.28714,1.54146,0.781032,1.59233,0.624568,0.781167,-2.30562,0.427435,0.0549792,0.75321,-0.00421472,1.08547,0.935078,1.51481,0.804173,0.00823613,0.00138476,0.388384
5,mchirp_low,2500,3.95096,0.0260897,1.08908,1.28822,1.57625,0.77643,1.58328,-0.971351,0.642324,0.636788,0.425189,-0.0145117,0.753911,-0.0187189,0.974834,0.801501,0.833733,0.795371,0.0114143,0.00140185,0.391098
5,mchirp_high,2500,3.82827,0.0233087,1.03283,1.27012,1.5789,0.788375,1.5674,-0.137035,0.732412,0.693706,0.432786,-0.0130549,0.75254,0.00285634,1.22383,0.866355,0.771743,0.807323,0.0124914,0.00121679,0.434935
5,merger_early,2500,3.7891,0.0273312,1.08036,1.28109,1.56588,0.78643,1.57561,0.576595,-0.496974,0.648827,0.431654,0.00811099,0.747109,0.00757272,0.891433,1.07839,0.80378,0.788159,0.0124789,0.00144473,0.405814
5,merger_late,2500,3.99013,0.0220672,1.04156,1.27726,1.58927,0.778375,1.57507,0.553735,0.000983823,0.681593,0.426198,-0.0356483,0.759108,-0.0241502,0.826077,1.11073,0.809199,0.814732,0.012203,0.00132292,0.42012
5,q_low,1667,3.66647,0.0239891,1.02796,1.29574,1.55792,0.785547,1.58376,-0.130675,0.710245,0.685032,0.421083,0.0216281,0.746563,-0.0313382,1.01962,0.844703,0.814678,0.799941,0.0116912,0.00137603,0.400832
5,q_mid,1666,3.74621,0.0248579,1.06555,1.26146,1.59064,0.779882,1.54423,0.516808,0.676666,0.665607,0.43499,-0.0377768,0.752227,0.02677,0.898698,0.841111,0.819942,0.804062,0.0126253,0.00139158,0.410205
5,q_high,1667,4.25608,0.0252507,1.08936,1.28031,1.58418,0.781776,1.59801,0.612125,0.674265,0.644986,0.430877,-0.0256535,0.76033,-0.0235339,0.858128,0.847187,0.784636,0.79998,0.0126627,0.00135806,0.429264
5,q_low_mchirp_low,1241,3.81107,0.0243027,1.03938,1.31149,1.56923,0.782451,1.59319,-1.69812,0.700397,0.677562,0.416107,-0.00196605,0.747064,-0.0450742,1.17201,0.825589,0.820517,0.792084,0.0113241,0.00138598,0.399868
5,q_low_mchirp_high,426,3.24521,0.0230755,0.994671,1.24984,1.52494,0.794567,1.55628,-3.92171,0.739257,0.706916,0.435682,0.0864015,0.744759,0.00861621,2.1861,0.889641,0.793197,0.824728,0.0121962,0.00121592,0.403182
5,q_high_mchirp_low,544,4.14827,0.0286689,1.19848,1.27349,1.56404,0.784442,1.61079,-0.640309,0.561823,0.547707,0.437417,0.00920188,0.760402,-0.00812938,0.821496,0.758189,0.804925,0.791012,0.0106876,0.00135513,0.36634
5,q_high_mchirp_high,1123,4.3083,0.0235949,1.0365,1.28361,1.59394,0.780485,1.59182,-0.288773,0.725644,0.69017,0.427671,-0.0428657,0.759787,-0.0312621,1.27638,0.857204,0.762811,0.804333,0.012677,0.0012218,0.457426
10,full,5000,1.93905,0.022047,0.991817,1.17222,1.5779,0.784467,1.55524,0.871729,0.755391,0.714307,0.42685,-0.0139911,0.752201,0.0165787,0.999088,0.953156,0.852708,0.557774,0.00713547,0.00164552,0.703926
10,snr_low,1667,2.59483,0.0244075,0.865293,1.17872,1.63209,0.787189,1.5709,0.772264,0.693037,-1.0164,0.415949,-0.124483,0.747916,-0.00598804,0.844589,0.872121,1.50126,0.547768,0.00495457,0.00132873,0.755903
10,snr_mid,1666,1.68462,0.0205965,0.887517,1.156,1.55951,0.784001,1.54194,0.914528,0.784766,-1.04887,0.433712,0.0204402,0.755839,0.0252109,1.01502,0.970834,1.62609,0.559093,0.00482607,0.00156136,0.697047
10,snr_high,1667,1.53753,0.0211361,1.22258,1.18192,1.5421,0.782211,1.55288,0.924037,0.78724,-2.4569,0.430869,0.0533213,0.75263,0.0299843,1.11235,1.01067,1.2707,0.566258,0.00383409,0.00171078,0.653297
10,mchirp_low,2500,1.56038,0.0234697,0.973595,1.18045,1.57736,0.778087,1.53605,0.636726,0.714758,0.721756,0.420449,-0.0151404,0.75337,0.0415643,1.03094,0.940948,0.881621,0.545439,0.00735994,0.00134445,0.723867
10,mchirp_high,2500,2.31772,0.0206244,1.01004,1.16399,1.57844,0.790847,1.57444,0.542171,0.796111,0.706923,0.4333,-0.0133544,0.75104,-0.00850063,1.14341,0.96492,0.81902,0.569987,0.00687251,0.00127737,0.671057
10,merger_early,2500,1.91232,0.0196929,1.00012,1.18026,1.5669,0.787601,1.56884,0.875921,0.239375,0.707047,0.423118,0.00671621,0.746469,0.0147619,1.00614,0.886108,0.862696,0.541489,0.00698853,0.00161714,0.658281
10,merger_late,2500,1.96577,0.0244012,0.983514,1.16417,1.5889,0.781334,1.54165,0.867562,-0.165169,0.721356,0.430723,-0.035164,0.757711,0.018178,0.991852,1.23345,0.84284,0.574215,0.00726372,0.00165608,0.747704
10,q_low,1667,1.6247,0.0208168,0.948034,1.18246,1.55895,0.78901,1.53457,0.743009,0.786807,0.736458,0.421668,0.0207856,0.745207,0.026695,1.07886,0.970394,0.859916,0.555774,0.00715134,0.00141773,0.708866
10,q_mid,1666,1.93537,0.0221656,0.991703,1.15919,1.59126,0.782039,1.53832,0.852083,0.749662,0.715876,0.431618,-0.0394187,0.751426,0.0312655,1.05499,0.953005,0.855474,0.559555,0.00724654,0.00161011,0.707388
10,q_high,1667,2.25707,0.0231587,1.03571,1.17499,1.5835,0.782351,1.59283,0.870922,0.728783,0.689893,0.427259,-0.0245607,0.759407,-0.0119168,0.992228,0.933883,0.841699,0.558004,0.00700762,0.00165531,0.695895
10,q_low_mchirp_low,1241,1.56546,0.0213234,0.947421,1.19581,1.57052,0.784647,1.51222,0.456809,0.778022,0.735402,0.413707,-0.00264101,0.746804,0.0492848,1.16829,0.963825,0.86637,0.547418,0.00727076,0.00131731,0.711892
10,q_low_mchirp_high,426,1.79725,0.0193408,0.949819,1.14358,1.52524,0.801722,1.59969,-0.584948,0.812758,0.739554,0.445623,0.0850912,0.740245,-0.0390542,1.66852,0.990319,0.838362,0.581593,0.00677834,0.00118696,0.690403
10,q_high_mchirp_low,544,1.60972,0.0268075,1.01002,1.17646,1.56558,0.782899,1.6269,0.709192,0.612024,0.69554,0.426763,0.0077786,0.761036,-0.0264337,0.880412,0.891402,0.887514,0.536387,0.00700103,0.00131025,0.731758
10,q_high_mchirp_high,1123,2.57065,0.0213912,1.04816,1.17428,1.59219,0.782085,1.57632,0.485891,0.782439,0.687261,0.427501,-0.0405471,0.7581,-0.00468411,1.16267,0.950843,0.815763,0.568239,0.00697404,0.00125602,0.666274
15,full,5000,1.51039,0.0153258,0.909675,1.23285,1.57759,0.785182,1.57578,0.919694,0.87518,0.754323,0.409523,-0.0137686,0.751869,-0.0042816,0.942018,0.974628,0.851946,0.905546,0.00644365,0.00207314,0.144212
15,snr_low,1667,2.0759,0.0182266,1.07188,1.23336,1.6322,0.787991,1.58003,0.846716,0.812386,-2.01168,0.418758,-0.124948,0.747496,-0.0277822,0.890131,0.905531,1.4378,0.873648,0.00470909,0.00148897,0.145602
15,snr_mid,1666,1.33084,0.014304,0.913764,1.23179,1.55903,0.785067,1.59366,0.94672,0.898511,-1.04672,0.412943,0.0204038,0.755313,-0.0285659,0.957021,0.997019,1.62377,0.907061,0.00442286,0.00171529,0.138262
15,snr_high,1667,1.12432,0.0134461,0.743382,1.23341,1.54154,0.782488,1.55367,0.962724,0.913693,-0.434756,0.396931,0.0544301,0.752583,0.0419799,0.975146,1.01718,1.14825,0.934547,0.00327589,0.00181723,0.144445
15,mchirp_low,2500,1.29566,0.0169232,0.934504,1.248,1.57664,0.778619,1.58994,0.734607,0.842945,0.738313,0.399313,-0.0147283,0.75313,-0.016524,0.994558,0.952424,0.867315,0.889176,0.00671302,0.00197136,0.144525
15,mchirp_high,2500,1.72511,0.0137284,0.884847,1.21771,1.57855,0.791746,1.56162,0.734667,0.907503,0.77012,0.419838,-0.0133198,0.750618,0.00799168,1.01108,0.996467,0.835909,0.921108,0.00615032,0.00152287,0.142845
15,merger_early,2500,1.48519,0.0163988,0.932655,1.30462,1.56603,0.78826,1.57037,0.92162,0.41217,0.737523,0.394488,0.00764644,0.746172,0.0210306,0.942476,1.14461,0.868015,0.792851,0.0062162,0.00213664,0.142944
15,merger_late,2500,1.53559,0.0142528,0.886696,1.16109,1.58915,0.782104,1.58119,0.917776,0.592061,0.770681,0.425146,-0.0356616,0.757345,-0.0305445,0.941292,0.977226,0.835984,1.00352,0.0064508,0.0019736,0.1449
15,q_low,1667,1.22568,0.0157442,0.91731,1.24024,1.55809,0.790526,1.6109,0.838158,0.871561,0.750001,0.395991,0.0215766,0.744406,-0.0482002,1.01443,0.969717,0.856175,0.905663,0.00638973,0.00193798,0.138893
