epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,5.41679,0.0261409,1.0762,1.31007,1.57715,0.782416,1.57414,0.243395,0.657799,0.654372,0.404022,-0.0133943,0.753225,-0.00159925,0.883589,0.809228,0.838765,0.794989,0.00883921,0.00142002,0.803969
5,snr_low,1667,5.29598,0.0316098,1.14575,1.31808,1.63174,0.784766,1.54815,0.239343,0.511942,-2.4123,0.397789,-0.12475,0.749108,0.01296,0.56731,0.679528,1.51202,0.789795,0.00603353,0.00111724,0.719461
5,snr_mid,1666,5.17772,0.0254751,0.948303,1.29442,1.55868,0.781387,1.60045,0.34063,0.685383,-1.31892,0.412351,0.0205598,0.757177,-0.03517,0.830601,0.824994,1.68203,0.797424,0.00617248,0.00116989,0.84019
5,snr_high,1667,5.77654,0.0213376,1.13447,1.3177,1.54102,0.781094,1.57382,0.14367,0.77406,-2.39349,0.401944,0.0551822,0.753168,0.0165712,1.11556,0.904753,1.63728,0.797726,0.00551802,0.00130738,0.828693
5,mchirp_low,2500,6.10674,0.0267885,1.11522,1.31668,1.57606,0.776426,1.57423,-3.02134,0.631325,0.621932,0.402951,-0.0143691,0.753915,-0.000862244,1.05947,0.760502,0.866315,0.789934,0.00916737,0.00136122,0.860848
5,mchirp_high,2500,4.72685,0.0254933,1.03718,1.30346,1.57825,0.788406,1.57404,-0.646434,0.684277,0.686394,0.405059,-0.0129304,0.752535,-0.00234889,1.29603,0.836673,0.801864,0.800076,0.00839156,0.00147236,0.742484
5,merger_early,2500,5.01121,0.0303438,1.10111,1.30389,1.56511,0.786496,1.56636,0.325769,-0.788394,0.635042,0.413343,0.00847489,0.747085,0.0266925,0.907157,1.06229,0.853407,0.783709,0.00878554,0.00144006,0.871458
5,merger_late,2500,5.82238,0.0219381,1.05128,1.31625,1.58919,0.778336,1.58192,0.161735,0.046882,0.673189,0.394324,-0.0357492,0.75913,-0.0309209,0.852038,1.03398,0.823692,0.806541,0.00889337,0.00139483,0.721715
5,q_low,1667,5.64877,0.0250199,1.05858,1.32435,1.55731,0.785416,1.59192,-1.41165,0.691409,0.669546,0.397885,0.0221291,0.74663,-0.0314245,1.09115,0.799482,0.847854,0.793904,0.00884726,0.00138921,0.825689
5,q_mid,1666,5.19965,0.0264683,1.08013,1.29498,1.59003,0.779956,1.54273,0.148422,0.642897,0.65537,0.409139,-0.0375396,0.752192,0.0248871,0.928957,0.820941,0.850055,0.797681,0.00907547,0.00144986,0.792496
5,q_high,1667,5.40183,0.0269348,1.08989,1.31088,1.58412,0.781874,1.58774,0.436429,0.638047,0.637567,0.405036,-0.0259975,0.760299,-0.00265457,0.874735,0.805007,0.81792,0.793425,0.00859142,0.00141931,0.795053
5,q_low_mchirp_low,1241,6.01954,0.0248476,1.07206,1.33949,1.56876,0.782373,1.60691,-4.83325,0.693576,0.659188,0.394107,-0.00159558,0.74709,-0.049979,1.29715,0.780942,0.852619,0.786276,0.00904997,0.001345,0.849639
5,q_low_mchirp_high,426,4.56867,0.0255217,1.01931,1.28023,1.52398,0.794281,1.54826,-8.97616,0.684431,0.699889,0.408693,0.0872667,0.744943,0.0225511,2.43257,0.843929,0.828537,0.817959,0.00818688,0.00150287,0.751406
5,q_high_mchirp_low,544,6.31957,0.029732,1.20208,1.29976,1.56418,0.784558,1.53484,-2.22111,0.540633,0.542914,0.415953,0.00904828,0.76037,0.0680125,0.873637,0.712886,0.843033,0.786515,0.00869983,0.00130247,0.919375
5,q_high_mchirp_high,1123,4.95726,0.0255799,1.03554,1.31626,1.59378,0.780574,1.61337,-0.592592,0.682196,0.681531,0.399685,-0.0433026,0.759756,-0.0380134,1.34496,0.823964,0.792728,0.796747,0.00838346,0.00147384,0.723632
10,full,5000,2.22631,0.0187856,0.992641,1.2753,1.57782,0.784514,1.56034,0.832338,0.817103,0.707726,0.370009,-0.0140529,0.752171,0.0113326,0.9274,0.969012,0.859952,0.645015,0.00611032,0.00240092,0.628331
10,snr_low,1667,3.00402,0.0219841,1.2553,1.27718,1.63226,0.787218,1.56016,0.684531,0.742021,-2.9374,0.367107,-0.124987,0.747896,0.0047186,0.786883,0.888208,1.47875,0.639083,0.00422046,0.00179463,0.60993
10,snr_mid,1666,1.96416,0.0181038,0.971556,1.25877,1.55916,0.784067,1.56182,0.887343,0.837919,-1.30835,0.378641,0.0204711,0.755817,-0.00629101,0.95121,0.991925,1.61293,0.648174,0.00424572,0.00196115,0.67748
10,snr_high,1667,1.71061,0.0162685,0.751058,1.28993,1.54201,0.782258,1.55905,0.919204,0.870262,-0.488919,0.364317,0.0535739,0.752583,0.0346693,1.02193,1.02133,1.34341,0.647717,0.00354028,0.00194168,0.591312
10,mchirp_low,2500,1.74608,0.0201971,1.04559,1.27296,1.57711,0.778139,1.56871,0.601636,0.784104,0.676256,0.375681,-0.015118,0.753331,0.00343612,0.998582,0.941146,0.890714,0.639442,0.00629807,0.00225853,0.599575
10,mchirp_high,2500,2.70655,0.0173741,0.939696,1.27763,1.57852,0.79089,1.55198,0.358666,0.850176,0.738794,0.364198,-0.0134998,0.75102,0.0192455,1.03064,0.995839,0.82674,0.650294,0.00587938,0.00205445,0.654777
10,merger_early,2500,2.22686,0.0197782,1.02473,1.26713,1.5665,0.787636,1.55948,0.834369,0.165148,0.684156,0.379688,0.00710759,0.746445,0.0232322,0.949751,1.11383,0.865427,0.631453,0.00566477,0.00238455,0.594362
10,merger_late,2500,2.22577,0.0177929,0.960552,1.28346,1.58914,0.781393,1.56121,0.830304,0.3775,0.730684,0.359938,-0.0356869,0.757675,-0.00115373,0.904501,0.998528,0.854544,0.658723,0.00628556,0.00238293,0.659453
10,q_low,1667,1.63857,0.0190466,1.00729,1.28328,1.55851,0.789021,1.56017,0.748378,0.818117,0.698387,0.368534,0.021111,0.745144,-0.00173138,1.03263,0.967623,0.868409,0.643768,0.00611518,0.00223792,0.633818
10,q_mid,1666,2.19427,0.0187895,0.989543,1.26585,1.59086,0.782073,1.52789,0.818909,0.812947,0.709148,0.371743,-0.0389347,0.751428,0.0425149,0.984557,0.970417,0.862813,0.646766,0.00620033,0.00241796,0.633223
10,q_high,1667,2.84609,0.0185206,0.981088,1.27676,1.58408,0.782448,1.59295,0.803874,0.820027,0.71544,0.369717,-0.0255589,0.759379,-0.0108175,0.914429,0.968559,0.847507,0.644491,0.00601474,0.00242782,0.619
10,q_low_mchirp_low,1241,1.5571,0.0192351,1.03197,1.29616,1.57008,0.784658,1.55386,0.50042,0.814679,0.68621,0.365493,-0.00244095,0.746747,0.00497668,1.12741,0.954166,0.87082,0.637427,0.00621996,0.00219872,0.617036
10,q_low_mchirp_high,426,1.8759,0.0184976,0.935386,1.24575,1.5248,0.801732,1.57857,-0.766524,0.828116,0.734061,0.376982,0.0857661,0.740165,-0.0212669,1.5607,1.00706,0.860674,0.663487,0.00579635,0.00208733,0.675881
10,q_high_mchirp_low,544,2.01552,0.0218364,1.06218,1.25266,1.56533,0.78297,1.61565,0.631012,0.736637,0.667134,0.390917,0.00804234,0.761025,-0.023617,0.85352,0.915618,0.899159,0.635417,0.00604976,0.00216869,0.55895
10,q_high_mchirp_high,1123,3.24843,0.0169144,0.941804,1.28843,1.59317,0.782195,1.58195,0.194491,0.858411,0.737875,0.359328,-0.0421603,0.758064,-0.00444346,1.04449,0.989815,0.820907,0.648534,0.005935,0.00201127,0.646934
15,full,5000,1.50428,0.0167975,0.944105,1.16018,1.57726,0.785245,1.57176,0.918125,0.853773,0.733805,0.494689,-0.0135221,0.751817,0.000186545,0.987461,0.978728,0.876263,0.742083,0.00566518,0.00405034,0.18505
15,snr_low,1667,2.11181,0.018235,1.15516,1.14823,1.63169,0.788009,1.56664,0.838564,0.815604,-2.4309,0.500504,-0.124702,0.747456,-0.00630988,0.90175,0.912464,1.45827,0.726519,0.00437027,0.00290853,0.186024
15,snr_mid,1666,1.32031,0.0161318,0.970433,1.1437,1.55869,0.785268,1.58894,0.947636,0.868634,-1.28749,0.501638,0.0204358,0.755185,-0.0302963,1.00433,0.998957,1.63998,0.750526,0.0040472,0.00333895,0.182406
15,snr_high,1667,1.08061,0.0160251,0.706734,1.18859,1.54138,0.78246,1.5597,0.964991,0.876424,-0.319756,0.482,0.0548893,0.752595,0.0358878,1.0482,1.0187,1.25987,0.748123,0.00295259,0.0034243,0.18502
15,mchirp_low,2500,1.3136,0.0182661,0.972786,1.13119,1.57624,0.778657,1.58023,0.720488,0.823779,0.715604,0.510596,-0.0146031,0.753089,-0.0099368,0.991247,0.955151,0.900595,0.701028,0.00590858,0.0037488,0.187244
15,mchirp_high,2500,1.69496,0.0153288,0.915425,1.18916,1.57827,0.791833,1.56329,0.734496,0.883842,0.751766,0.478496,-0.012953,0.750555,0.0103337,1.07167,1.00135,0.851422,0.779333,0.00528036,0.00320677,0.181356
15,merger_early,2500,1.5028,0.0178531,0.971935,1.11985,1.56537,0.788312,1.56214,0.921042,0.332904,0.715185,0.51184,0.00816832,0.746143,0.0230826,0.988733,1.1951,0.888013,0.660966,0.0053452,0.00399513,0.188632
15,merger_late,2500,1.50575,0.0157418,0.916275,1.20051,1.58914,0.782178,1.58138,0.915225,0.501967,0.751938,0.47685,-0.0356952,0.757269,-0.0235942,0.985331,0.923976,0.864688,0.817216,0.00566143,0.00398683,0.180799
15,q_low,1667,1.27117,0.0169311,0.951276,1.15456,1.55755,0.790491,1.59746,0.826635,0.856391,0.727686,0.499229,0.021963,0.744325,-0.037834,1.04632,0.973237,0.886326,0.723318,0.00572323,0.00369169,0.179099
15,q_mid,1666,1.5353,0.0170759,0.949619,1.14488,1.58992,0.782877,1.52542,0.903973,0.847147,0.731416,0.50212,-0.0375293,0.751225,0.0487935,1.02908,0.977633,0.876399,0.749373,0.00573072,0.00405052,0.182121
