epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,5.60112,0.0331222,1.48506,1.26223,1.56268,0.77596,1.58429,0.188835,0.511393,0.368951,0.440006,0.00115255,0.75607,-0.00791129,0.743341,0.526104,0.748857,0.796368,0.082159,0.0544032,0.791566
5,snr_low,1667,5.40807,0.036951,0.958429,1.2714,1.50998,0.77419,1.5932,0.206375,0.388632,-1.39143,0.434366,-0.0017828,0.754151,-0.0272254,0.422763,0.448159,1.56025,0.794392,0.0731374,0.0420692,0.844973
5,snr_mid,1666,5.22265,0.0328687,1.27672,1.2469,1.5819,0.771233,1.57313,0.315798,0.5339,-3.08941,0.446979,0.0014071,0.761075,-0.0037678,0.6564,0.522188,1.58478,0.798602,0.0783756,0.0472888,0.801556
5,snr_high,1667,6.17241,0.0295466,2.2199,1.26837,1.59618,0.782453,1.58654,0.0362954,0.609742,-9.09432,0.438683,0.00342787,0.752758,0.00667475,0.916662,0.596009,1.46832,0.796124,0.0810858,0.0529135,0.723131
5,mchirp_low,2500,6.54126,0.0355886,1.62713,1.27258,1.56403,0.783805,1.56468,-3.52261,0.446781,0.244459,0.436262,-0.00377273,0.750532,0.0136121,0.943262,0.494866,0.768596,0.793457,0.0764922,0.0550214,0.787123
5,mchirp_high,2500,4.66097,0.0306557,1.34298,1.25188,1.56133,0.768114,1.6039,-0.646607,0.576114,0.491894,0.443758,0.00554021,0.761505,-0.0295171,1.24917,0.54817,0.710707,0.799335,0.0840731,0.0532902,0.794969
5,merger_early,2500,5.11444,0.0325453,1.4692,1.25946,1.57448,0.77489,1.59017,0.306213,-0.979509,0.373904,0.44695,-0.000462539,0.753242,0.00316784,0.690035,0.664993,0.769777,0.785482,0.0781367,0.0588111,0.794587
5,merger_late,2500,6.0878,0.0336991,1.50092,1.26499,1.55088,0.777029,1.57842,0.0725122,-0.897376,0.36405,0.432778,0.00269108,0.758762,-0.0195604,0.770821,0.928652,0.727687,0.807535,0.0860493,0.049659,0.783796
5,q_low,1667,5.70226,0.0332247,1.45275,1.27899,1.57974,0.762635,1.56693,-1.4767,0.520133,0.398845,0.432946,0.000907403,0.758496,-0.00114711,0.944821,0.518209,0.754528,0.796347,0.0785297,0.0544574,0.811711
5,q_mid,1666,5.35747,0.0335758,1.46896,1.24435,1.55323,0.779061,1.59995,0.0833046,0.496672,0.380266,0.445989,0.00138806,0.750519,-0.0238125,0.801715,0.51927,0.758186,0.798932,0.0840514,0.0557816,0.791607
5,q_high,1667,5.74349,0.0325663,1.53346,1.26333,1.55507,0.786185,1.586,0.372478,0.51668,0.326333,0.441085,0.000819532,0.758874,-0.00277007,0.736969,0.54047,0.733353,0.793875,0.0830789,0.0526326,0.770808
5,q_low_mchirp_low,1241,6.32591,0.0339825,1.51074,1.29492,1.57025,0.771716,1.55343,-5.37857,0.50246,0.354809,0.428185,-0.00482255,0.753458,0.00854722,1.16573,0.512045,0.755067,0.789516,0.0760808,0.0537424,0.811232
5,q_low_mchirp_high,426,3.88546,0.031017,1.28381,1.23259,1.60741,0.736177,1.60624,-6.66338,0.572259,0.527848,0.446893,0.0158642,0.772661,-0.0293723,2.46113,0.53502,0.740037,0.818036,0.0826774,0.0562541,0.810854
5,q_high_mchirp_low,544,6.73118,0.0370406,1.83932,1.25888,1.57903,0.805373,1.54785,-2.51869,0.376275,0.0241232,0.447079,-0.00666145,0.750605,0.0553207,0.731349,0.468453,0.758146,0.790015,0.072555,0.054825,0.76021
5,q_high_mchirp_high,1123,5.26503,0.0303989,1.3853,1.26549,1.54346,0.77689,1.60449,-0.796011,0.580487,0.466713,0.438147,0.00423497,0.762403,-0.0318408,1.27185,0.559053,0.700421,0.79575,0.0841978,0.051182,0.775355
10,full,5000,2.27192,0.0194287,1.01856,1.16951,1.55573,0.788054,1.585,0.819204,0.800479,0.697206,0.443124,0.0108434,0.750079,-0.0167127,0.896372,0.969027,0.816355,0.598749,0.129925,0.3331,0.951097
10,snr_low,1667,3.16472,0.0219925,0.872623,1.17231,1.52754,0.794949,1.56114,0.655611,0.74153,-1.03588,0.439469,-0.0135523,0.744722,-0.00575302,0.730005,0.863543,1.42939,0.597164,0.107951,0.357719,0.964534
10,snr_mid,1666,2.00699,0.0175311,0.886377,1.15325,1.57037,0.781678,1.57604,0.878308,0.835199,-1.04397,0.449703,0.0152151,0.755377,-0.0122101,0.892373,0.994648,1.56874,0.601432,0.123009,0.315924,0.945104
10,snr_high,1667,1.64388,0.0187614,1.2966,1.18297,1.56931,0.787532,1.61782,0.917234,0.823609,-2.89222,0.440219,0.028762,0.749886,-0.0319918,1.03208,1.03745,1.31931,0.597647,0.123388,0.235739,0.91856
10,mchirp_low,2500,1.81732,0.020928,1.01616,1.17914,1.55426,0.792895,1.57577,0.536655,0.760212,0.692924,0.438316,0.00974781,0.746009,0.000178355,1.00248,0.949978,0.842672,0.596616,0.113566,0.356127,1.00643
10,mchirp_high,2500,2.72652,0.0179295,1.02096,1.15988,1.5572,0.783214,1.59424,0.327376,0.840844,0.701412,0.447958,0.0114391,0.75407,-0.0336707,1.01687,0.987518,0.789086,0.600927,0.138821,0.271815,0.877946
10,merger_early,2500,2.2576,0.0184478,1.03831,1.17703,1.55251,0.794185,1.58369,0.8193,0.286432,0.683889,0.439245,0.0250235,0.742064,-0.00576368,0.907286,0.939297,0.822138,0.580653,0.130606,0.323692,0.907507
10,merger_late,2500,2.28624,0.0204096,0.998808,1.16199,1.55896,0.781923,1.58632,0.819084,0.136653,0.710163,0.44715,-0.0036865,0.757804,-0.0282306,0.884415,1.26074,0.810428,0.61699,0.12787,0.31989,0.987378
10,q_low,1667,1.70515,0.0187284,0.973515,1.18259,1.5576,0.786116,1.58304,0.719407,0.821369,0.724252,0.437869,0.0254374,0.748238,-0.0228649,1.03303,0.979418,0.823056,0.599005,0.118925,0.350944,0.99617
10,q_mid,1666,2.17994,0.0198098,1.01606,1.15531,1.55032,0.7839,1.57472,0.81196,0.787755,0.696056,0.447743,0.00409763,0.746584,-0.00831548,0.9704,0.96288,0.822951,0.600859,0.131826,0.330048,0.940697
10,q_high,1667,2.93062,0.0197483,1.06611,1.17063,1.55928,0.794144,1.59725,0.786212,0.79169,0.670586,0.443755,0.00231552,0.754977,-0.0230932,0.871625,0.963583,0.802221,0.596418,0.137886,0.31667,0.913322
10,q_low_mchirp_low,1241,1.68178,0.0190939,0.977443,1.19657,1.54689,0.797584,1.57679,0.392716,0.811214,0.719961,0.430704,0.0268779,0.742178,-0.0161596,1.16355,0.972203,0.827508,0.59435,0.112724,0.361947,1.01497
10,q_low_mchirp_high,426,1.77322,0.0176635,0.962072,1.14189,1.58878,0.752711,1.60125,-0.635945,0.851475,0.736822,0.459356,0.0204318,0.765331,-0.0423926,1.62173,1.0009,0.809733,0.613861,0.12911,0.280167,0.932526
