epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,6.7639,0.0277335,1.40749,1.34635,1.57119,0.792409,1.55745,-0.146923,0.615182,0.418179,0.224427,-0.00890651,0.747424,0.0159837,0.693733,0.658345,0.73099,0.479442,0.0558485,0.0607132,0.951145
5,snr_low,1667,5.79232,0.0336579,0.881804,1.35138,1.62321,0.798754,1.55806,0.110065,0.449784,-1.07241,0.216189,-0.119004,0.743108,0.011585,0.376902,0.525263,1.35606,0.472589,0.0470607,0.0502018,0.973082
5,snr_mid,1666,6.34622,0.0271177,1.25268,1.32945,1.55363,0.798974,1.5726,0.02225,0.645049,-2.83688,0.231214,0.0240905,0.746572,-0.00635032,0.568569,0.649374,1.60114,0.480593,0.0513078,0.054288,0.947609
5,snr_high,1667,8.15291,0.0224247,2.0879,1.35822,1.5367,0.779501,1.5417,-0.579958,0.748446,-8.36881,0.225865,0.0594594,0.752441,0.0417337,0.824667,0.774542,1.5786,0.485038,0.0581933,0.0490514,0.924348
5,mchirp_low,2500,8.72989,0.0298539,1.6519,1.35887,1.57201,0.792006,1.55177,-6.47469,0.562068,0.215681,0.216199,-0.0152014,0.745789,0.0295029,0.961146,0.618721,0.683281,0.47489,0.0471357,0.0632858,0.954184
5,mchirp_high,2500,4.79791,0.0256132,1.16309,1.33384,1.57036,0.792811,1.56313,-0.722138,0.66839,0.618195,0.232713,-0.003166,0.74902,0.00240921,1.20186,0.692558,0.721994,0.484039,0.0594944,0.0567425,0.946047
5,merger_early,2500,6.38241,0.0346324,1.38707,1.35293,1.55187,0.789918,1.56626,-0.0255091,-1.28347,0.425304,0.226511,0.0182174,0.745145,0.0243628,0.648877,0.758513,0.742098,0.473422,0.0553473,0.0629813,0.915466
5,merger_late,2500,7.14539,0.0208346,1.42792,1.33977,1.5905,0.794899,1.54864,-0.267288,0.182713,0.411167,0.222249,-0.0366069,0.749581,0.00711347,0.723261,1.03013,0.718728,0.485624,0.0563547,0.0584272,0.979348
5,q_low,1667,7.42089,0.0274293,1.46774,1.35489,1.54685,0.802159,1.5438,-2.96666,0.626837,0.373941,0.218418,0.0309748,0.740236,0.0218246,0.923898,0.654858,0.697037,0.477797,0.0500118,0.0607607,0.96978
5,q_mid,1666,6.41996,0.0280215,1.38146,1.34246,1.57857,0.793909,1.56615,-0.283083,0.605677,0.445288,0.224337,-0.0280418,0.741016,0.0063215,0.753515,0.649011,0.740349,0.481233,0.0553716,0.0624552,0.947144
