epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,6.21959,0.0381698,1.5677,1.25994,1.57778,0.78153,1.57232,0.0242587,0.334733,0.282402,0.441868,-0.0143104,0.754132,0.00359622,0.605888,0.381006,0.711901,0.796315,1.27797,0.033284,0.903923
5,snr_low,1667,5.63446,0.0428541,0.858474,1.26992,1.63304,0.784448,1.57941,0.155711,0.17842,-0.988255,0.434878,-0.127106,0.749723,-0.0115283,0.326088,0.295392,1.37456,0.790784,1.52309,0.0270231,0.888041
5,snr_mid,1666,5.83539,0.0386272,1.41103,1.24357,1.55812,0.781625,1.57594,0.168874,0.33284,-3.83807,0.449429,0.0208819,0.757822,-0.00618748,0.488144,0.367862,1.61215,0.798584,1.10385,0.0275637,0.907032
5,snr_high,1667,7.18868,0.0330283,2.4335,1.26632,1.54217,0.778517,1.56163,-0.259149,0.490749,-11.0027,0.441305,0.0543662,0.754631,0.0276186,0.666009,0.460757,1.51883,0.799539,1.13613,0.0309654,0.915057
5,mchirp_low,2500,7.84181,0.0399348,1.87536,1.27305,1.5756,0.776606,1.57357,-5.19429,0.289193,0.0123908,0.435358,-0.0150379,0.754102,0.00503476,0.909375,0.347779,0.666741,0.791502,1.26641,0.0306493,0.902735
5,mchirp_high,2500,4.59737,0.0364047,1.26003,1.24683,1.57996,0.786454,1.57108,-0.557566,0.380256,0.549108,0.448429,-0.0140922,0.75415,0.00214274,1.04781,0.409435,0.690223,0.801203,1.2895,0.0341007,0.904843
5,merger_early,2500,5.97346,0.052029,1.53314,1.25883,1.56929,0.786808,1.57678,0.0976366,-3.31698,0.29797,0.447888,0.00372787,0.747669,0.01857,0.565701,0.52156,0.731691,0.786463,1.24856,0.0327568,0.780552
5,merger_late,2500,6.46572,0.0243105,1.60226,1.26105,1.58627,0.776251,1.56786,-0.0485237,-0.0677245,0.267139,0.435601,-0.0327682,0.760351,-0.0120489,0.633412,0.668412,0.691194,0.806435,1.3068,0.0336093,1.00585
5,q_low,1667,6.51552,0.0390073,1.64169,1.27861,1.55744,0.783761,1.58167,-2.14372,0.324365,0.222093,0.432554,0.0225684,0.747286,-0.0145383,0.851555,0.364443,0.68618,0.795192,1.2177,0.031871,0.905483
5,q_mid,1666,5.81612,0.0377158,1.53488,1.24149,1.59117,0.779567,1.56838,-0.0655116,0.340376,0.321843,0.44817,-0.0418797,0.753399,0.00949518,0.65447,0.386258,0.715801,0.798993,1.27872,0.0334541,0.902064
5,q_high,1667,6.32689,0.0377859,1.52651,1.2597,1.58474,0.78126,1.56692,0.260867,0.338886,0.302538,0.444878,-0.0248977,0.761157,0.0115597,0.585685,0.392082,0.72292,0.794813,1.33342,0.0340365,0.905892
5,q_low_mchirp_low,1241,7.47888,0.0393118,1.76084,1.29555,1.5685,0.781781,1.58796,-7.53169,0.319894,0.122002,0.427048,-0.00159122,0.747203,-0.0244814,1.12444,0.354482,0.662135,0.78763,1.24821,0.030701,0.918657
5,q_low_mchirp_high,426,3.70909,0.03812,1.29459,1.22927,1.52521,0.789531,1.56333,-5.83045,0.336664,0.515305,0.448837,0.0889191,0.747162,0.0143794,2.22679,0.392643,0.708053,0.819089,1.12519,0.0336047,0.86537
5,q_high_mchirp_low,544,8.32979,0.0416359,2.11625,1.25958,1.56463,0.787787,1.55817,-4.0628,0.204208,-0.257601,0.446336,0.00881755,0.758762,0.0341885,0.729114,0.323145,0.652641,0.788038,1.31845,0.0301092,0.876595
5,q_high_mchirp_high,1123,5.35665,0.0359209,1.24082,1.25976,1.59449,0.778098,1.57117,-0.808597,0.399192,0.562746,0.444163,-0.0415545,0.76182,0.000220235,1.06081,0.41763,0.685203,0.79811,1.34076,0.0344615,0.9188
10,full,5000,2.87848,0.02135,1.01943,1.20686,1.57186,0.782185,1.56418,0.730863,0.76136,0.696026,0.367142,-0.0132885,0.752648,0.00467014,0.837182,0.936467,0.76179,0.476554,0.0643728,0.0867688,0.363577
10,snr_low,1667,3.77946,0.0243275,1.20301,1.2155,1.61223,0.781152,1.56764,0.531703,0.690341,-2.64326,0.352203,-0.107533,0.750566,-0.00255723,0.656063,0.792497,1.37792,0.459732,0.0601099,0.0653591,0.393096
10,snr_mid,1666,2.63304,0.0199226,0.837349,1.1926,1.56713,0.776736,1.5432,0.795747,0.792015,-0.779142,0.372712,0.00849144,0.757705,0.0191383,0.831637,0.948299,1.49918,0.477612,0.0624993,0.081061,0.359516
10,snr_high,1667,2.22281,0.0197989,1.01784,1.21247,1.53623,0.788662,1.5817,0.857674,0.800509,-1.62119,0.376455,0.0515838,0.749442,-0.00254619,0.982698,1.04965,1.27673,0.491693,0.0658327,0.0875343,0.335525
10,mchirp_low,2500,2.22781,0.0241762,1.02245,1.22041,1.57139,0.788101,1.57066,0.338882,0.692372,0.685778,0.354909,-0.0194072,0.747519,0.00394622,0.940662,0.900343,0.812207,0.462753,0.0484925,0.0926453,0.370394
10,mchirp_high,2500,3.52916,0.0185238,1.01642,1.19332,1.57234,0.776268,1.55771,-0.0173436,0.830548,0.706126,0.379506,-0.00772469,0.75768,0.00538639,1.03158,0.968338,0.708392,0.490187,0.0542452,0.0801481,0.336907
10,merger_early,2500,2.89319,0.0196198,1.03776,1.21212,1.55189,0.781075,1.56985,0.730033,0.22817,0.681236,0.368586,0.0122678,0.749538,0.00842391,0.855893,0.923091,0.769133,0.466512,0.0647367,0.0611461,0.348406
10,merger_late,2500,2.86378,0.0230801,1.00111,1.2016,1.59184,0.783294,1.55852,0.731648,-0.108914,0.710418,0.365632,-0.0393945,0.755612,0.000546255,0.817033,1.23562,0.754537,0.486722,0.0639465,0.0936909,0.378407
10,q_low,1667,2.04398,0.0211095,0.993901,1.2175,1.55044,0.765498,1.53897,0.617506,0.773336,0.709238,0.358616,0.022684,0.755665,0.0248632,0.971003,0.934408,0.782648,0.470184,0.0552767,0.0925381,0.379946
10,q_mid,1666,2.83955,0.0216124,1.01543,1.1972,1.57369,0.788576,1.57026,0.707224,0.750607,0.69755,0.370943,-0.0264494,0.747073,-0.00339208,0.884822,0.932111,0.760352,0.479408,0.064111,0.0881089,0.355041
10,q_high,1667,3.75189,0.0213282,1.04897,1.20587,1.59146,0.792484,1.58333,0.681422,0.759652,0.680719,0.371831,-0.037251,0.754907,-0.0111376,0.819985,0.942596,0.741366,0.480037,0.0676949,0.079394,0.355297
10,q_low_mchirp_low,1241,1.93886,0.0220668,0.997346,1.2338,1.55856,0.772372,1.53557,0.22804,0.754203,0.707329,0.348475,0.00108149,0.751842,0.0277553,1.11786,0.920384,0.796959,0.462187,0.0485822,0.0939194,0.38022
10,q_low_mchirp_high,426,2.35022,0.0183207,0.983864,1.17002,1.52681,0.745473,1.54888,-1.60186,0.830234,0.714829,0.389292,0.0819068,0.766324,0.0164324,1.68667,0.975525,0.739117,0.494786,0.0528798,0.088269,0.355781
10,q_high_mchirp_low,544,2.65354,0.0265404,1.08535,1.21644,1.56789,0.80574,1.61927,0.346935,0.613649,0.637638,0.362484,-0.00305749,0.749005,-0.019627,0.792578,0.847446,0.815137,0.457744,0.0480557,0.0834888,0.354944
10,q_high_mchirp_high,1123,4.28396,0.0188033,1.03134,1.20076,1.60287,0.786062,1.56592,-0.290491,0.827197,0.700725,0.376412,-0.0541436,0.757272,-0.00691865,1.05506,0.976881,0.703905,0.490589,0.0528571,0.0766104,0.329277
15,full,5000,2.55371,0.0153142,1.02558,1.43585,1.58561,0.789589,1.56998,0.803836,0.873844,0.688768,0.170442,-0.0185814,0.749872,-0.000364459,0.80054,0.975596,0.840088,1.00944,0.74627,0.0307307,0.136622
15,snr_low,1667,2.73561,0.0182457,1.34012,1.51283,1.62579,0.787931,1.57275,0.749017,0.812706,-3.40112,0.0590659,-0.114069,0.747573,-0.0140814,0.778499,0.890199,1.48534,1.06288,1.16995,0.0171263,0.124397
15,snr_mid,1666,2.33521,0.0142329,1.06676,1.43356,1.5744,0.791444,1.57589,0.846823,0.895369,-1.66281,0.181979,0.00960104,0.752157,-0.0228907,0.816489,0.996373,1.61494,1.00703,0.527244,0.0178408,0.137059
15,snr_high,1667,2.59017,0.0134635,0.669887,1.36114,1.55663,0.789392,1.56129,0.81199,0.912541,-0.174004,0.26973,0.0411174,0.749698,0.0346531,0.802024,1.03338,1.14824,0.950165,0.177262,0.0450035,0.144929
15,mchirp_low,2500,1.58743,0.0167846,1.04256,1.49837,1.58936,0.795972,1.57939,0.651201,0.841388,0.675729,0.0952409,-0.020849,0.74437,-0.0135885,0.917009,0.934672,0.86195,1.02927,0.881316,0.0202228,0.12882
15,mchirp_high,2500,3.51998,0.0138438,1.00861,1.37333,1.58186,0.783206,1.56056,0.183831,0.906391,0.701625,0.246713,-0.0168384,0.755272,0.0128937,0.863034,1.01463,0.817918,0.984231,0.567862,0.0383475,0.14027
15,merger_early,2500,2.51455,0.0156108,1.03758,1.54868,1.58196,0.785288,1.56258,0.811575,0.468399,0.676835,0.129648,-0.00408456,0.747562,0.0262849,0.814136,1.06993,0.848507,0.907299,0.675645,0.0381143,0.13084
15,merger_late,2500,2.59286,0.0150177,1.01358,1.32301,1.58925,0.79389,1.57737,0.796147,0.52927,0.700373,0.21284,-0.0334366,0.75206,-0.0279993,0.786631,1.07055,0.831742,1.09764,0.811699,0.0198757,0.141324
15,q_low,1667,1.56154,0.0152042,1.04774,1.45781,1.57815,0.786355,1.60065,0.770948,0.882786,0.676615,0.13532,0.00685478,0.746102,-0.0439137,0.907853,0.965364,0.845158,1.01537,0.739757,0.0206683,0.129174
15,q_mid,1666,2.56841,0.0152841,1.03085,1.41304,1.59278,0.794545,1.52131,0.787604,0.868234,0.686294,0.193721,-0.044122,0.744998,0.0530006,0.84314,0.972957,0.842023,1.01227,0.765687,0.0201747,0.135882
15,q_high,1667,3.53118,0.0154543,0.998155,1.43668,1.58591,0.787869,1.58794,0.755483,0.8702,0.703306,0.182373,-0.019519,0.757932,-0.0146754,0.792582,0.988215,0.832662,1.00009,0.732775,0.0441731,0.144458
15,q_low_mchirp_low,1241,1.35863,0.0154617,1.051,1.46967,1.59181,0.788248,1.6034,0.599769,0.876177,0.678024,0.130479,-0.014988,0.744016,-0.0554134,1.02364,0.950217,0.848754,1.0181,0.772755,0.0209332,0.128119
15,q_low_mchirp_high,426,2.15263,0.0144543,1.03824,1.42326,1.53833,0.78084,1.59264,-0.971024,0.902378,0.672487,0.149008,0.0667312,0.751748,-0.0104671,1.37009,1.00957,0.834366,1.00509,0.63722,0.0198786,0.12911
15,q_high_mchirp_low,544,1.8718,0.0185991,1.02593,1.56849,1.58584,0.786233,1.59185,0.663212,0.796002,0.678919,0.0319085,-0.00984868,0.759623,0.00424969,0.791461,0.902526,0.858071,1.02824,0.999431,0.0180575,0.131679
15,q_high_mchirp_high,1123,4.33502,0.013931,0.984702,1.37283,1.58594,0.788662,1.58605,-0.0454424,0.904491,0.714628,0.256109,-0.0244625,0.756592,-0.0241636,0.866877,1.02438,0.820393,0.980363,0.532875,0.0524278,0.145934
20,full,5000,2.01381,0.0144587,0.871278,1.79991,1.57171,0.786227,1.57094,0.87601,0.890629,0.772627,-0.316829,-0.00994344,0.751283,0.0008012,0.901189,0.96144,0.88874,0.998677,0.106833,0.030479,0.187154
20,snr_low,1667,2.37856,0.0170122,0.967946,1.77272,1.52692,0.790744,1.57651,0.805542,0.838494,-1.51051,-0.327783,-0.0222072,0.746672,-0.0151092,0.885448,0.903579,1.42356,0.591192,0.0919313,0.0219152,0.184454
20,snr_mid,1666,1.85066,0.0133688,0.904241,1.84998,1.59265,0.787508,1.57605,0.908007,0.908976,-1.02364,-0.379016,-0.0124525,0.75428,-0.0177451,0.903955,0.9782,1.68089,1.00478,0.0981488,0.0273746,0.180495
20,snr_high,1667,1.81212,0.0129943,0.741667,1.77706,1.59557,0.78043,1.56026,0.911269,0.923634,-0.46698,-0.244308,0.00361911,0.752688,0.0340944,0.913738,0.9995,1.24356,1.19129,0.0947915,0.0346252,0.191944
20,mchirp_low,2500,1.40643,0.0156609,0.897759,1.77386,1.56938,0.779047,1.58168,0.722533,0.864584,0.756105,-0.306904,-0.0125986,0.752451,-0.00872071,0.972736,0.930942,0.893722,0.741071,0.0947652,0.021288,0.180749
20,mchirp_high,2500,2.6212,0.0132564,0.844797,1.82597,1.57403,0.793407,1.5602,0.516108,0.916744,0.788931,-0.327017,-0.00781192,0.750124,0.0103449,0.960306,0.990919,0.883613,1.16448,0.109355,0.0308297,0.184895
20,merger_early,2500,2.04335,0.0141906,0.894045,1.80397,1.59247,0.791091,1.56567,0.875418,0.566925,0.756898,-0.278382,-0.0207465,0.744948,0.026165,0.913029,1.04786,0.894652,0.705875,0.098317,0.025215,0.188564
20,merger_late,2500,1.98427,0.0147267,0.848511,1.79585,1.55094,0.781363,1.57621,0.87658,0.565921,0.787943,-0.356818,0.000941398,0.757378,-0.0255133,0.888714,1.04175,0.88298,1.22923,0.0996945,0.0327198,0.183502
