epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,1.83111,0.0243614,1.07967,1.83685,1.57186,0.778746,1.5393,0.882617,0.703638,0.645154,-0.284033,-0.0121163,0.754431,0.0328429,0.98822,1.0152,0.942815,1.22809,0.00369149,0.000198725,0.929154
5,snr_low,1667,2.58242,0.0210098,1.28561,1.89012,1.61815,0.77674,1.52156,0.773983,0.746013,-3.35759,-0.389967,-0.113817,0.753666,0.044999,0.929557,1.03798,1.68585,1.18288,0.00109465,0.000110515,0.762342
5,snr_mid,1666,1.63009,0.0228747,1.31827,1.86665,1.56187,0.773111,1.54783,0.922153,0.749111,-2.93909,-0.31321,0.0140131,0.759949,0.00791964,1.00072,1.03482,1.859,1.23275,0.00299591,0.000215913,0.948232
5,snr_high,1667,1.28069,0.0291988,0.635279,1.75379,1.53556,0.786385,1.54851,0.947411,0.615456,-0.0668199,-0.149796,0.0553123,0.749448,0.0449703,1.0285,0.94175,1.00331,1.25204,0.00526522,0.000225846,1.04945
5,mchirp_low,2500,1.63691,0.0213138,1.11112,1.81436,1.57124,0.777294,1.53844,0.554584,0.754517,0.622616,-0.252431,-0.0170713,0.75344,0.0391834,1.12286,1.03393,0.946972,1.04866,0.0049664,0.000266808,0.958268
5,mchirp_high,2500,2.0253,0.027409,1.04823,1.85933,1.57248,0.780199,1.54015,0.644426,0.652475,0.667393,-0.316224,-0.00770571,0.755394,0.0264714,1.02492,0.978965,0.938712,1.3229,0.000466625,8.90338e-05,0.895983
5,merger_early,2500,1.7712,0.0267983,1.12854,1.89028,1.55398,0.784447,1.5265,0.890071,-0.460053,0.609756,-0.287965,0.0119453,0.748204,0.0583507,0.985274,1.44043,0.947378,0.94456,0.00397196,0.000215909,0.48452
5,merger_late,2500,1.89101,0.0219245,1.03081,1.78341,1.58974,0.773046,1.55209,0.875221,0.0915841,0.679642,-0.279964,-0.0367016,0.76042,0.00638935,0.989166,0.968803,0.937771,1.4636,0.00332161,0.000180501,1.07834
5,q_low,1667,1.72274,0.0221661,1.08766,1.89752,1.55087,0.770388,1.50482,0.674084,0.748182,0.641144,-0.369444,0.0242358,0.7544,0.055975,1.16265,1.01966,0.933026,1.21316,0.00253367,0.000139339,1.0107
5,q_mid,1666,1.7939,0.0248614,1.09776,1.80858,1.57388,0.778566,1.55915,0.867449,0.695147,0.638497,-0.253284,-0.0247801,0.750714,0.0120478,1.05337,1.0157,0.9426,1.24699,0.00386844,0.000191342,0.936742
5,q_high,1667,1.97666,0.0260571,1.05361,1.80442,1.59084,0.787285,1.55392,0.901486,0.66634,0.655654,-0.229411,-0.0369588,0.757817,0.0269309,0.960602,1.00983,0.953335,1.21341,0.00442748,0.0002451,0.830485
5,q_low_mchirp_low,1241,1.61703,0.0208377,1.09901,1.87791,1.56003,0.77309,1.49018,0.331188,0.772049,0.634265,-0.323575,0.00121905,0.752291,0.0758468,1.30334,1.02447,0.926821,1.12471,0.00286782,0.000155348,1.0132
5,q_low_mchirp_high,426,2.03068,0.0260359,1.05458,1.95465,1.52419,0.762514,1.5475,-1.14354,0.676349,0.661295,-0.515492,0.0874026,0.760124,-0.00186461,1.71954,1.00167,0.950794,1.38667,0.000451494,7.5782e-05,0.997088
