epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,7.21663,0.057113,7.58097,1.45089,1.57802,0.786871,1.56161,-0.438657,-0.353723,-10.3918,0.160364,-0.00669409,0.751036,0.00682807,0.616933,0.576908,0.512185,1.05155,4.03658e-05,3.90824e-05,0.750602
5,snr_low,1667,9.61485,0.0601961,9.37205,1.4412,1.60955,0.78973,1.56062,-1.39302,-0.553683,-148.79,0.16779,-0.0933181,0.746788,0.00632928,0.3388,0.496278,1.05329,1.01639,5.28893e-05,5.15677e-05,0.702342
5,snr_mid,1666,7.14322,0.057048,7.5087,1.45948,1.56513,0.788287,1.57132,-0.28484,-0.326182,-92.095,0.15572,0.0233565,0.753607,-0.0159401,0.548507,0.585581,1.16598,1.05538,3.12192e-05,2.59247e-05,0.78544
5,snr_high,1667,4.89178,0.054095,5.86211,1.45199,1.55938,0.782596,1.55289,0.335613,-0.184922,-57.454,0.157559,0.0430275,0.752512,0.0291954,0.712459,0.637779,1.31382,1.08157,1.45405e-05,2.0991e-05,0.759804
5,mchirp_low,2500,3.84988,0.0579066,7.82801,1.44665,1.57805,0.779638,1.56023,-0.687713,-0.425959,-11.1124,0.168586,-0.0101628,0.752565,0.014073,0.705812,0.544964,0.547969,1.05167,4.23352e-05,4.28969e-05,0.544074
5,mchirp_high,2500,10.5834,0.0563195,7.33392,1.45512,1.578,0.794103,1.56299,-5.47409,-0.2816,-9.68081,0.151946,-0.00375436,0.749521,-0.000451214,0.977098,0.607362,0.452419,1.05147,3.8309e-05,3.48833e-05,0.910362
5,merger_early,2500,7.12716,0.0820462,7.59205,1.45702,1.5798,0.790001,1.55445,-0.416207,-8.28703,-10.5668,0.171972,0.00322453,0.745619,0.022929,0.627026,1.03891,0.517936,1.04275,3.85626e-05,4.11618e-05,0.888857
5,merger_late,2500,7.3061,0.0321799,7.56988,1.44475,1.57625,0.78374,1.56877,-0.461078,-0.702937,-10.2224,0.148284,-0.0168903,0.756239,-0.00997348,0.606784,0.458885,0.506528,1.06052,4.18631e-05,3.69489e-05,0.563685
5,q_low,1667,4.78755,0.0577615,7.74129,1.45446,1.56914,0.794967,1.58933,-0.823282,-0.374536,-10.7931,0.150549,0.0186716,0.742005,-0.0247339,0.762587,0.564457,0.524513,1.05374,4.01691e-05,3.92915e-05,0.623215
5,q_mid,1666,7.31803,0.0561531,7.5821,1.43997,1.59185,0.785446,1.52787,-0.629989,-0.327807,-10.2877,0.174872,-0.0304089,0.749946,0.0349591,0.686447,0.579751,0.503788,1.05337,4.06458e-05,3.89537e-05,0.78322
5,q_high,1667,9.54437,0.0574239,7.41951,1.45823,1.57309,0.780199,1.5676,-0.71481,-0.360046,-10.1032,0.155745,-0.00936765,0.760486,0.00587673,0.604631,0.586459,0.50346,1.0476,4.02824e-05,3.89776e-05,0.827841
5,q_low_mchirp_low,1241,3.81444,0.0575043,7.83312,1.44891,1.57804,0.788554,1.58731,-1.4569,-0.372636,-11.0214,0.172969,0.000879309,0.744875,-0.0216605,0.861311,0.555694,0.533891,1.04552,4.14129e-05,4.13941e-05,0.550049
5,q_low_mchirp_high,426,7.62237,0.0585105,7.47378,1.47061,1.5432,0.813646,1.59523,-19.5411,-0.382423,-10.1242,0.0788558,0.0672695,0.733373,-0.033693,1.92782,0.589916,0.477159,1.07997,3.64921e-05,3.24842e-05,0.798611
5,q_high_mchirp_low,544,3.79909,0.0599427,7.7415,1.45791,1.57756,0.774618,1.54699,-0.265212,-0.567522,-11.2944,0.160997,-0.0222276,0.764835,0.0501199,0.572572,0.54097,0.556778,1.04996,4.11044e-05,4.50307e-05,0.451938
5,q_high_mchirp_high,1123,12.3275,0.0562037,7.26354,1.45838,1.57093,0.782902,1.57759,-6.6982,-0.268699,-9.5501,0.15317,-0.00333449,0.757852,-0.01627,0.975527,0.606767,0.460357,1.04643,3.98758e-05,3.56105e-05,0.960012
10,full,5000,3.2262,0.0407122,0.996648,1.48919,1.57663,0.786636,1.57759,0.630709,0.243054,0.701642,0.330791,-0.00505156,0.751235,-0.00490937,0.73318,0.869543,0.95018,0.508625,0.214538,0.00642832,0.272474
10,snr_low,1667,4.6318,0.051709,1.04936,1.49649,1.61499,0.789698,1.57588,0.293439,-0.166976,-1.93114,0.324896,-0.0959428,0.746825,-0.006369,0.559758,0.698276,1.626,0.521089,0.0336287,0.00241529,0.171342
10,snr_mid,1666,2.89639,0.0398018,1.02961,1.49448,1.56604,0.787768,1.59016,0.730771,0.315619,-1.65712,0.32665,0.0226624,0.753922,-0.0254384,0.720451,0.879228,1.88717,0.505282,0.117634,0.00396685,0.298968
10,snr_high,1667,2.1502,0.0306253,0.910988,1.47658,1.54886,0.782443,1.56673,0.855937,0.575126,-1.27813,0.340741,0.0508921,0.752754,0.0162187,0.856515,0.97335,1.59363,0.497969,0.344799,0.00837329,0.320903
10,mchirp_low,2500,1.74124,0.0409069,1.00703,1.49977,1.57542,0.779548,1.57515,0.60432,0.202233,0.69506,0.32665,-0.0077798,0.75274,0.00687783,0.869033,0.841365,0.962177,0.498578,0.190611,0.00592815,0.296091
10,mchirp_high,2500,4.71115,0.0405175,0.986268,1.4786,1.57785,0.793724,1.58002,-0.682907,0.283813,0.70812,0.334938,-0.00284514,0.749745,-0.0167463,0.83079,0.896702,0.937557,0.518632,0.235875,0.00668485,0.246514
10,merger_early,2500,3.20913,0.052168,1.02151,1.50991,1.57533,0.789965,1.56637,0.628907,-3.67117,0.682509,0.331244,0.00756544,0.745699,0.0142446,0.747948,1.50902,0.953016,0.499196,0.179936,0.00699423,0.26
10,merger_late,2500,3.24326,0.0292565,0.971788,1.46846,1.57794,0.783307,1.5888,0.632443,-0.439832,0.720271,0.330312,-0.0179929,0.756554,-0.0248491,0.718149,0.61257,0.947239,0.518206,0.244781,0.0057735,0.28473
10,q_low,1667,1.70863,0.0404029,0.982685,1.49567,1.5651,0.794173,1.60305,0.699447,0.257227,0.709019,0.324495,0.0201882,0.742353,-0.0291484,0.893952,0.861633,0.95189,0.506227,0.190218,0.00666348,0.264599
10,q_mid,1666,3.17231,0.0408059,0.966457,1.4758,1.58956,0.785276,1.55549,0.626349,0.235463,0.719706,0.337103,-0.0277038,0.750245,0.0106292,0.794945,0.86736,0.94988,0.513631,0.254245,0.00659288,0.230967
10,q_high,1667,4.79761,0.040928,1.04078,1.49607,1.57526,0.780458,1.57421,0.492741,0.235329,0.675349,0.330776,-0.00865072,0.760448,-0.000573339,0.708278,0.879565,0.948112,0.506035,0.193773,0.0060256,0.315267
10,q_low_mchirp_low,1241,1.4259,0.0401359,0.985486,1.50107,1.57494,0.788203,1.60049,0.589207,0.255859,0.709661,0.330827,0.000419903,0.745042,-0.0238257,1.01491,0.848803,0.954959,0.497753,0.201375,0.00648015,0.276497
