epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,5.2697,0.0247971,1.20285,1.29791,1.57748,0.782159,1.57473,0.283333,0.686318,0.574782,0.412926,-0.0135289,0.753346,-0.00346452,0.832278,0.819418,0.763707,0.794745,0.0128764,0.00141338,0.601183
5,snr_low,1667,5.11312,0.0296337,1.00416,1.30638,1.6321,0.784415,1.54355,0.289317,0.561786,-1.70289,0.408326,-0.124607,0.749285,0.0159055,0.568972,0.710593,1.50879,0.795062,0.0085167,0.00116935,0.624446
5,snr_mid,1666,4.99481,0.0236953,0.999114,1.28195,1.55895,0.781117,1.59704,0.381985,0.719378,-1.5819,0.421162,0.0205136,0.757312,-0.034834,0.766551,0.832237,1.58481,0.797142,0.00921181,0.00131187,0.603639
5,snr_high,1667,5.701,0.0210616,1.60515,1.3054,1.54138,0.780945,1.58359,0.172265,0.775961,-4.91143,0.409317,0.0547049,0.753219,0.00787867,1.01993,0.901952,1.45494,0.792047,0.00844834,0.00152322,0.569888
5,mchirp_low,2500,5.97789,0.0284862,1.28729,1.30774,1.57658,0.776325,1.58149,-2.82745,0.59486,0.505794,0.408774,-0.0145881,0.753907,-0.00762432,0.994937,0.782031,0.787155,0.789502,0.0119004,0.00137062,0.570611
5,mchirp_high,2500,4.56151,0.021108,1.11841,1.28809,1.57838,0.787994,1.56797,-0.549213,0.778041,0.642905,0.417092,-0.0129813,0.752783,0.000699031,1.29811,0.834907,0.725066,0.800059,0.0129389,0.00119214,0.629959
5,merger_early,2500,4.92138,0.0240803,1.20334,1.29807,1.56611,0.786322,1.56747,0.357901,-0.203217,0.570389,0.415425,0.0078542,0.747133,0.018687,0.837083,0.977979,0.769728,0.778196,0.0128069,0.00143234,0.611554
5,merger_late,2500,5.61802,0.0255138,1.20236,1.29776,1.58885,0.777997,1.58198,0.209408,-0.281289,0.579019,0.41032,-0.0353893,0.759322,-0.0264817,0.818473,1.1807,0.757711,0.811564,0.012946,0.00139439,0.589929
5,q_low,1667,5.36313,0.0250923,1.14634,1.31452,1.55826,0.78507,1.59062,-1.19018,0.686888,0.605796,0.404796,0.0215209,0.746698,-0.0368422,1.02177,0.816307,0.775968,0.793371,0.0122555,0.00135399,0.587056
5,q_mid,1666,5.11615,0.0248282,1.22419,1.28115,1.58998,0.779665,1.56701,0.179993,0.683354,0.572627,0.418979,-0.0374991,0.752377,0.0126596,0.880478,0.817574,0.764081,0.797602,0.0130686,0.00140815,0.591457
