epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,4.21862,0.0274523,1.08998,1.27213,1.57195,0.778739,1.56197,0.50771,0.622282,0.639823,0.429545,-0.0121996,0.754434,0.00923014,0.844124,0.821677,0.854244,0.787136,7.37186e-08,9.77785e-09,0.576547
5,snr_low,1667,4.80367,0.0309394,0.959771,1.27904,1.61814,0.776737,1.56902,0.358686,0.532763,-1.54998,0.424934,-0.113851,0.753669,-0.0123545,0.611235,0.695841,1.55208,0.784948,1.15395e-08,1.54861e-08,0.718815
5,snr_mid,1666,4.1377,0.0256579,0.978037,1.25705,1.56162,0.773091,1.56619,0.554158,0.661418,-1.53166,0.436702,0.0143574,0.75996,-0.00355533,0.814263,0.830339,1.71121,0.788926,2.76704e-08,6.46609e-09,0.548108
5,snr_high,1667,3.71446,0.0257584,1.33207,1.2803,1.5361,0.786385,1.55071,0.604624,0.671044,-3.40262,0.427015,0.0547618,0.749443,0.0424655,1.04194,0.921479,1.60653,0.787536,1.21598e-07,2.00799e-09,0.42812
5,mchirp_low,2500,4.75217,0.0312397,1.13317,1.28482,1.57145,0.777287,1.57414,-1.70954,0.513706,0.600453,0.423929,-0.0172761,0.753444,0.00202935,1.02687,0.789788,0.89823,0.783521,4.92404e-16,1.01428e-08,0.636713
5,mchirp_high,2500,3.68508,0.0236648,1.0468,1.25945,1.57245,0.780191,1.54981,-0.0190647,0.731171,0.67869,0.435197,-0.00766865,0.755396,0.016445,1.1482,0.845767,0.804315,0.790821,1.03596e-07,9.39421e-09,0.508804
5,merger_early,2500,4.01367,0.0206601,1.11821,1.272,1.55406,0.784443,1.54911,0.55255,0.164333,0.621181,0.432651,0.0118566,0.748207,0.0380187,0.861462,0.800823,0.85463,0.771641,2.52634e-08,1.19714e-08,0.597986
5,merger_late,2500,4.42358,0.0342445,1.06176,1.27226,1.58985,0.773035,1.57484,0.463248,-1.11592,0.657966,0.426308,-0.0367794,0.760424,-0.0205987,0.822996,1.29618,0.85359,0.80291,1.01382e-07,6.99375e-09,0.55122
5,q_low,1667,4.36688,0.0274039,1.04023,1.29054,1.55098,0.770383,1.59043,-0.545719,0.635147,0.670746,0.421204,0.0241974,0.754404,-0.0181085,1.04107,0.822531,0.877144,0.787499,4.99773e-09,1.29977e-08,0.589343
5,q_mid,1666,4.04638,0.0277212,1.09808,1.25438,1.57376,0.778563,1.54131,0.453516,0.613504,0.639275,0.435893,-0.0247843,0.750712,0.0256115,0.89145,0.81889,0.852325,0.789827,4.19508e-08,7.45189e-09,0.571109
