epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,4.13446,0.0346301,4.01579,1.62469,1.56357,0.786872,1.57492,0.42947,0.397189,-2.59859,-0.225839,0.00719715,0.751035,-0.00642392,0.895462,0.874523,0.560435,0.198204,2.45641e-16,3.35258e-07,0.260535
5,snr_low,1667,5.5776,0.0417639,5.70636,1.58885,1.53204,0.789732,1.57155,0.0162238,0.107718,-56.0413,-0.17392,-0.0147387,0.746786,-0.0107298,0.598411,0.785689,1.33207,0.250232,2.52275e-16,5.52829e-07,0.264821
5,snr_mid,1666,3.72261,0.0334823,3.98305,1.61923,1.57646,0.788289,1.57609,0.576442,0.456919,-26.4988,-0.224077,0.012668,0.753605,-0.01976,0.794316,0.879519,1.26873,0.175661,4.86678e-16,1.26305e-07,0.263628
5,snr_high,1667,3.10292,0.0286435,2.35794,1.66599,1.58221,0.782597,1.57713,0.679492,0.622972,-9.9003,-0.279253,0.0217729,0.752511,0.0104969,1.094,0.940574,1.3131,0.142802,2.41716e-16,1.50615e-08,0.233524
5,mchirp_low,2500,2.37965,0.033838,4.15533,1.60621,1.56355,0.779639,1.58246,0.253353,0.394758,-2.84064,-0.192236,0.00383698,0.752564,-0.0169614,0.999419,0.858246,0.564198,0.165218,2.46202e-16,4.06437e-07,0.256264
5,mchirp_high,2500,5.88927,0.0354222,3.87625,1.64317,1.56359,0.794105,1.56738,-1.52404,0.399454,-2.35974,-0.260057,0.0100361,0.74952,0.00413864,1.37606,0.885202,0.551346,0.223478,2.45143e-16,2.42874e-07,0.26242
5,merger_early,2500,4.21502,0.0447932,4.14771,1.61925,1.56179,0.790001,1.58698,0.400291,-2.77004,-2.82383,-0.191149,0.0203864,0.745619,-0.0110817,0.895272,1.41182,0.574475,0.152142,2.44597e-16,3.75455e-07,0.251801
5,merger_late,2500,4.0539,0.0244671,3.88388,1.63013,1.56535,0.783744,1.56286,0.458283,-0.0998714,-2.37929,-0.261921,-0.00632506,0.756237,-0.0019137,0.894695,0.886253,0.541742,0.23114,2.46711e-16,2.90733e-07,0.268989
5,q_low,1667,2.77973,0.0333805,4.09033,1.60744,1.57246,0.79497,1.55931,0.262023,0.441897,-2.71562,-0.208083,0.0155245,0.742004,-0.00566638,1.08363,0.876789,0.557611,0.177976,2.43811e-16,3.23257e-07,0.261684
5,q_mid,1666,4.11707,0.0350106,4.03662,1.62603,1.54974,0.785446,1.57004,0.374006,0.380687,-2.59448,-0.232331,0.0105222,0.749945,-0.0014961,0.980555,0.87133,0.553484,0.211394,4.94047e-16,3.30193e-07,0.264149
5,q_high,1667,5.50657,0.0354995,3.92043,1.6406,1.56851,0.780199,1.59541,0.310837,0.36741,-2.48782,-0.237214,-0.00493869,0.760485,-0.0161017,0.8806,0.874556,0.570165,0.203287,2.46164e-16,3.50994e-07,0.255316
5,q_low_mchirp_low,1241,2.29982,0.0325707,4.12514,1.61503,1.56356,0.788558,1.56544,-0.0719078,0.458141,-2.77227,-0.204234,0.014751,0.744873,-0.0111671,1.2286,0.870954,0.553853,0.164127,0,3.52462e-07,0.260402
5,q_low_mchirp_high,426,4.17777,0.0357395,3.98895,1.58532,1.59838,0.813649,1.54144,-6.79848,0.39239,-2.54968,-0.222207,0.0166801,0.733371,0.0103245,2.59972,0.892928,0.565928,0.213274,2.39896e-16,2.15967e-07,0.26214
5,q_high_mchirp_low,544,2.48225,0.0357643,4.13864,1.60546,1.56403,0.774618,1.63622,0.397376,0.305139,-2.94597,-0.167943,-0.00921226,0.764834,-0.0423704,0.831325,0.838158,0.575079,0.154026,0,4.4137e-07,0.24172
5,q_high_mchirp_high,1123,6.97159,0.0353712,3.81473,1.65762,1.57067,0.782903,1.57565,-2.06236,0.393805,-2.27506,-0.271162,-0.00308687,0.757851,-0.00299315,1.39692,0.882347,0.561394,0.219673,2.46405e-16,2.94084e-07,0.259786
10,full,5000,5.53106,0.0231361,3.12653,1.29898,1.56357,0.786872,1.58697,0.18606,0.722295,-1.38834,0.333166,0.00719715,0.751035,-0.011429,0.590294,0.903362,0.491973,0.306991,2.45641e-16,6.15231e-06,0.732904
10,snr_low,1667,6.17686,0.0232756,4.80603,1.25058,1.53204,0.789732,1.57786,-0.0969998,0.683883,-39.8503,0.365293,-0.0147387,0.746786,-0.0108321,0.515205,0.880915,1.34196,0.349135,2.52275e-16,9.48749e-06,0.767544
10,snr_mid,1666,5.19971,0.0206839,3.24315,1.28972,1.57646,0.788289,1.58798,0.310939,0.780566,-17.5601,0.341895,0.012668,0.753605,-0.0273047,0.581941,0.898758,1.06346,0.30695,4.86678e-16,3.73623e-06,0.750804
10,snr_high,1667,5.21641,0.0254472,1.3305,1.35662,1.58221,0.782597,1.59507,0.331331,0.701232,-2.99515,0.292542,0.0217729,0.752511,0.00317614,0.65537,0.897961,0.874477,0.257362,2.41716e-16,5.48351e-07,0.666403
10,mchirp_low,2500,2.82113,0.0255603,3.17815,1.31003,1.56355,0.779639,1.59965,0.0659403,0.665047,-1.50147,0.323911,0.00383698,0.752564,-0.0222411,0.620139,0.873374,0.470394,0.300143,2.46202e-16,7.81164e-06,0.677626
10,mchirp_high,2500,8.24098,0.0207118,3.07492,1.28792,1.56359,0.794105,1.5743,-2.67447,0.779685,-1.27676,0.342505,0.0100361,0.74952,-0.000590853,0.752943,0.931751,0.511986,0.313762,2.45143e-16,3.71582e-06,0.780025
10,merger_early,2500,5.64727,0.0211567,3.19203,1.33908,1.56179,0.79,1.58843,0.145061,-0.0441634,-1.48296,0.319321,0.0203864,0.745619,0.00122424,0.582042,1.04794,0.512798,0.278596,2.44597e-16,4.26966e-06,0.741848
10,merger_late,2500,5.41485,0.0251155,3.06104,1.25887,1.56535,0.783744,1.58552,0.226542,-0.154012,-1.29631,0.347551,-0.00632506,0.756237,-0.0246953,0.597036,1.23567,0.469736,0.332875,2.46711e-16,7.51527e-06,0.723583
10,q_low,1667,3.49165,0.0229655,3.15016,1.30975,1.57246,0.79497,1.56849,0.023119,0.737331,-1.42627,0.324533,0.0155245,0.742004,-0.00453237,0.662967,0.907002,0.476106,0.302057,2.43811e-16,6.09025e-06,0.728396
10,q_mid,1666,5.65429,0.0233128,3.16179,1.28837,1.54974,0.785447,1.59899,0.0921843,0.716089,-1.40763,0.338157,0.0105222,0.749945,-0.0186648,0.626004,0.890947,0.490069,0.308674,4.94047e-16,7.65102e-06,0.721523
10,q_high,1667,7.44732,0.02313,3.06767,1.2988,1.56851,0.7802,1.59344,0.00806972,0.712851,-1.33265,0.336785,-0.00493869,0.760485,-0.0150554,0.58838,0.911924,0.509597,0.310193,2.46164e-16,4.30923e-06,0.748164
10,q_low_mchirp_low,1241,2.67874,0.0237525,3.15973,1.32311,1.56356,0.788558,1.56572,-0.277323,0.720702,-1.45205,0.317069,0.014751,0.744873,-0.00305698,0.711414,0.896903,0.464506,0.297561,0,6.76392e-06,0.699722
10,q_low_mchirp_high,426,5.85976,0.0206729,3.12229,1.27083,1.59838,0.81365,1.57657,-10.2653,0.786679,-1.35075,0.346767,0.0166801,0.733371,-0.00884135,1.27938,0.937275,0.508464,0.31593,2.39896e-16,3.3633e-06,0.803027
10,q_high_mchirp_low,544,2.90572,0.0283128,3.15058,1.31031,1.56403,0.774619,1.6584,0.256624,0.570374,-1.55268,0.328389,-0.00921226,0.764834,-0.055916,0.529834,0.835642,0.473181,0.300562,0,5.63932e-06,0.658849
10,q_high_mchirp_high,1123,9.64735,0.0206194,3.0275,1.29323,1.57067,0.782903,1.56197,-3.44917,0.778525,-1.23049,0.340899,-0.00308687,0.757851,0.00534897,0.777999,0.942831,0.524497,0.31475,2.46405e-16,3.35649e-06,0.785377
