epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,3.32254,0.0226693,1.06246,1.33193,1.57195,0.786872,1.57904,0.653902,0.731285,0.663612,0.392015,-0.0121996,0.751035,-0.00501067,0.793759,0.844467,0.849887,0.807444,4.91281e-16,1.2196e-16,0.501922
5,snr_low,1667,4.36288,0.0278179,1.16887,1.34302,1.61814,0.789732,1.58226,0.423376,0.61775,-2.48905,0.383033,-0.113851,0.746786,-0.0180644,0.539983,0.702664,1.41498,0.80117,5.04549e-16,1.22513e-16,0.608378
5,snr_mid,1666,3.10819,0.0210569,0.960804,1.31771,1.56162,0.788289,1.59223,0.719578,0.765378,-1.31294,0.399475,0.0143574,0.753605,-0.0300956,0.76106,0.866415,1.70216,0.809942,4.86678e-16,2.4242e-16,0.502371
5,snr_high,1667,2.49642,0.0191321,1.05764,1.33505,1.5361,0.782597,1.56265,0.810664,0.809041,-2.08174,0.39353,0.0547618,0.752511,0.0318428,0.997059,0.944773,1.71912,0.81117,4.83433e-16,1.22202e-16,0.367874
5,mchirp_low,2500,2.88507,0.0254929,1.10693,1.34161,1.57145,0.779639,1.58355,-0.153887,0.656395,0.630956,0.387016,-0.0172761,0.752564,-0.00513188,0.869825,0.800835,0.870891,0.798361,4.92404e-16,1.22473e-16,0.440103
5,mchirp_high,2500,3.76001,0.0198457,1.01799,1.32224,1.57245,0.794105,1.57453,-0.137839,0.806388,0.695848,0.397037,-0.00766865,0.74952,-0.00489925,1.1285,0.871688,0.818455,0.816595,4.90287e-16,1.21456e-16,0.556569
5,merger_early,2500,3.29627,0.0217471,1.08676,1.33374,1.55406,0.790001,1.57102,0.653292,0.0312306,0.643561,0.395215,0.0118566,0.745619,0.0162134,0.824015,0.909139,0.848414,0.795173,4.89193e-16,1.22889e-16,0.526913
5,merger_late,2500,3.34881,0.0235915,1.03816,1.33012,1.58985,0.783744,1.58706,0.654459,-0.155523,0.683133,0.388679,-0.0367794,0.756237,-0.0270759,0.76081,1.1885,0.851349,0.819981,4.93422e-16,1.21065e-16,0.474546
5,q_low,1667,2.53837,0.0223765,1.05339,1.3481,1.55098,0.79497,1.60436,0.404547,0.746134,0.67423,0.383538,0.0241974,0.742004,-0.0407023,0.894675,0.837908,0.854994,0.804923,4.87623e-16,1.23078e-16,0.481667
5,q_mid,1666,3.21685,0.0230731,1.0652,1.31652,1.57376,0.785447,1.54955,0.635003,0.722259,0.667858,0.39762,-0.0247843,0.749945,0.0260492,0.82763,0.847325,0.859825,0.81016,4.94047e-16,2.4544e-16,0.48135
