epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,2.07417,0.0193629,1.75001,1.7109,1.58499,0.778601,1.56932,0.838167,0.798124,0.155032,-0.168854,-0.0208615,0.756073,0.00205522,0.942618,0.893931,0.779314,1.05059,0.271746,0.0706224,0.378496
5,snr_low,1667,3.12025,0.0198171,2.51677,1.66913,1.61175,0.776601,1.56855,0.664007,0.75904,-12.3097,-0.0864737,-0.11295,0.755042,-0.00118573,0.889234,0.938477,1.80257,0.83064,0.229264,0.07905,0.266417
5,snr_mid,1666,1.81852,0.0173686,1.94616,1.75752,1.56423,0.775506,1.55057,0.898105,0.841273,-6.5227,-0.232594,0.0210451,0.760855,0.0104769,0.949424,0.915413,1.46514,1.06797,0.17162,0.0662322,0.362947
5,snr_high,1667,1.2836,0.0209018,0.787231,1.70608,1.57898,0.783694,1.58883,0.945717,0.79307,-0.559231,-0.187602,0.0221827,0.752105,-0.0031792,0.969677,0.812129,0.87914,1.15631,0.112823,0.0539857,0.414196
5,mchirp_low,2500,1.53437,0.0207965,2.04355,1.83944,1.59009,0.777639,1.57678,0.634508,0.766299,-0.0943016,-0.387151,-0.0310262,0.753996,-0.00252102,1.01392,0.893202,0.746679,0.832186,0.248072,0.0442634,0.410013
5,mchirp_high,2500,2.61397,0.0179293,1.45648,1.58237,1.57989,0.779562,1.56186,0.370291,0.830013,0.401299,0.0526558,-0.0112902,0.758106,0.00663667,1.08343,0.894031,0.786174,1.15434,0.284746,0.0598033,0.337089
5,merger_early,2500,2.09542,0.0181342,1.78251,1.78141,1.57866,0.784335,1.5728,0.837619,0.217559,0.109621,-0.209735,-0.00785914,0.749152,0.0156681,0.950383,1.00836,0.786019,0.922586,0.274005,0.0686105,0.263336
5,merger_late,2500,2.05292,0.0205916,1.71752,1.6404,1.59133,0.772867,1.56584,0.838688,0.182959,0.199233,-0.12637,-0.0341965,0.762738,-0.0121929,0.934717,1.12412,0.772642,1.13652,0.264637,0.0724338,0.452183
5,q_low,1667,1.60841,0.0188488,1.89679,1.84574,1.5973,0.7739,1.56869,0.71803,0.811383,0.0400667,-0.36197,-0.013411,0.754174,-0.00956084,1.06812,0.906274,0.751977,1.04577,0.252789,0.0519347,0.423162
5,q_mid,1666,2.0944,0.0193899,1.75086,1.678,1.55869,0.776532,1.56066,0.80681,0.798187,0.15989,-0.128922,-0.0146921,0.753833,0.0100696,1.00686,0.888086,0.782673,1.06629,0.27752,0.0691128,0.375817
