epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,11.6426,0.0233053,4.5285,1.65593,1.57521,0.792166,1.56749,-1.86277,0.719784,-3.20955,-0.035415,-0.00626333,0.748475,0.0029992,1.05846,0.842618,0.606584,0.589445,0.0227447,0.00719583,0.140354
5,snr_low,1667,13.8169,0.0300544,5.85917,1.69249,1.5789,0.793608,1.5673,-3.03271,0.554647,-58.2011,-0.0570032,-0.0663949,0.745704,-0.00109677,0.691605,0.69214,1.07022,0.566949,0.0139128,0.00537722,0.0966648
5,snr_mid,1666,12.0132,0.0220974,4.49063,1.65093,1.56627,0.797859,1.57579,-1.7866,0.761966,-32.8752,-0.0351806,0.02674,0.74885,-0.0196197,1.03505,0.854289,1.11851,0.568509,0.0168795,0.00612031,0.115927
5,snr_high,1667,9.09791,0.0177634,3.23566,1.62436,1.58047,0.785036,1.55938,-0.795106,0.840476,-17.3709,-0.0142105,0.0162254,0.750711,0.0287277,1.27233,0.94909,1.14142,0.624866,0.0247759,0.00715819,0.137938
5,mchirp_low,2500,12.4423,0.0237542,4.35718,1.66484,1.57561,0.794183,1.57392,-14.2825,0.701525,-2.953,-0.0592192,-0.0124792,0.745508,-0.00555644,1.53393,0.806754,0.596485,0.537865,0.0223733,0.00726546,0.139412
5,mchirp_high,2500,10.8429,0.0228565,4.69981,1.64701,1.57481,0.79015,1.56106,-5.19206,0.738033,-3.46335,-0.0113378,-0.000599845,0.751382,0.0115734,1.31643,0.869201,0.605825,0.637492,0.0230932,0.00692211,0.140734
5,merger_early,2500,11.8487,0.0282445,4.54723,1.6484,1.57973,0.786272,1.57,-1.9611,-0.59644,-3.29592,-0.0281715,-0.00129128,0.747604,0.014105,1.08389,1.20075,0.615157,0.554243,0.0239417,0.00738625,0.126474
5,merger_late,2500,11.4365,0.0183662,4.50976,1.66345,1.57069,0.798061,1.56498,-1.76579,0.342879,-3.12576,-0.0429599,-0.0114271,0.749266,-0.00867433,1.03236,0.919847,0.598137,0.623932,0.0214254,0.00700209,0.147502
5,q_low,1667,11.9375,0.0227294,4.51379,1.65991,1.57749,0.799411,1.57192,-8.21132,0.73599,-3.16633,-0.0577918,0.00378108,0.740486,-0.0217814,1.38638,0.834046,0.601005,0.563544,0.0233,0.00744401,0.142335
5,q_mid,1666,11.7491,0.0235099,4.55419,1.65614,1.58658,0.793404,1.54866,-2.42373,0.7086,-3.20584,-0.0343058,-0.0254221,0.744703,0.0300341,1.0972,0.844973,0.608687,0.603689,0.0225241,0.00719984,0.140389
5,q_high,1667,11.2412,0.0236768,4.51752,1.65173,1.56157,0.783684,1.58188,-0.987338,0.71414,-3.26179,-0.0142968,0.00216001,0.759501,-0.00354162,0.991375,0.848387,0.609567,0.600342,0.0221846,0.00694241,0.138581
5,q_low_mchirp_low,1241,12.1465,0.0228578,4.45573,1.67727,1.57879,0.796046,1.58258,-20.8189,0.732157,-3.06441,-0.0674823,-0.00676706,0.74094,-0.0292548,1.85425,0.823131,0.595861,0.539352,0.023178,0.00749347,0.142149
5,q_low_mchirp_high,426,11.3287,0.0223556,4.68293,1.60933,1.57371,0.809212,1.54086,-40.1741,0.74704,-3.46493,-0.0292387,0.0321712,0.738809,-5.05094e-05,2.45028,0.864688,0.610028,0.633678,0.0236366,0.00712894,0.142442
5,q_high_mchirp_low,544,12.9926,0.0256538,4.12501,1.65181,1.57842,0.769381,1.58312,-11.4218,0.652706,-2.73905,-0.0406569,-0.0238644,0.767518,0.0129816,1.32477,0.767564,0.575892,0.523083,0.0215321,0.00685648,0.12788
5,q_high_mchirp_high,1123,10.3928,0.0227191,4.70766,1.6517,1.5534,0.790613,1.58128,-4.26077,0.741721,-3.50475,-0.00137958,0.0146081,0.755073,-0.0118287,1.30597,0.870259,0.608894,0.6347,0.0224949,0.00673791,0.142117
10,full,5000,6.06551,0.0395695,2.9635,1.65143,1.56977,0.792336,1.56071,0.067268,0.267292,-1.03328,-0.0343737,0.00121852,0.748717,0.0102441,0.715626,0.749121,0.668472,1.09242,0.153378,0.0122369,0.136705
10,snr_low,1667,7.44371,0.0502616,4.23762,1.64588,1.56112,0.796305,1.5555,-0.454241,-0.119261,-31.027,-0.0468552,-0.048954,0.745554,0.00115468,0.50463,0.602698,1.27807,1.09887,0.163473,0.00983447,0.111539
10,snr_mid,1666,5.97784,0.0395384,2.9145,1.67134,1.57002,0.802204,1.54717,0.18191,0.313038,-14.2992,-0.0526565,0.0202319,0.746118,0.00781301,0.69474,0.757563,1.28645,1.09547,0.117229,0.0115651,0.133075
10,snr_high,1667,4.77492,0.0289086,1.73834,1.63709,1.57816,0.778506,1.57944,0.457805,0.603202,-5.59886,-0.00386242,0.0283614,0.754364,0.0212474,0.853893,0.830151,1.44197,1.08137,0.117803,0.0138539,0.16033
10,mchirp_low,2500,3.89875,0.0440334,3.24778,1.7226,1.57245,0.785316,1.54673,-0.520356,0.103653,-1.33402,-0.117821,-0.0060783,0.749822,0.0210805,0.806549,0.680013,0.72062,1.13476,0.168803,0.0125733,0.13599
10,mchirp_high,2500,8.23227,0.0351057,2.67921,1.58026,1.56708,0.799356,1.57468,-2.95827,0.431354,-0.736335,0.0502523,0.00795741,0.747619,-0.000638649,0.892254,0.807721,0.588624,1.04759,0.130985,0.0106413,0.127446
10,merger_early,2500,6.17691,0.0553886,2.99261,1.69207,1.56723,0.795245,1.56742,0.0436576,-3.93907,-1.0949,-0.0515403,0.013086,0.743967,0.0224195,0.723663,1.26824,0.673861,1.08321,0.160121,0.0124116,0.142445
10,merger_late,2500,5.9541,0.0237505,2.93438,1.61079,1.57231,0.789428,1.55399,0.0905183,-0.00357406,-0.97341,-0.0165411,-0.0109595,0.753273,-0.00252577,0.706818,0.601852,0.663154,1.10144,0.146134,0.0119722,0.129167
10,q_low,1667,4.28428,0.0408786,3.12082,1.68549,1.57365,0.804247,1.52219,-0.301202,0.234506,-1.18803,-0.0772183,0.0123155,0.739086,0.0372069,0.856533,0.72644,0.682695,1.114,0.163526,0.0122149,0.138771
10,q_mid,1666,6.08941,0.0388157,2.97039,1.64316,1.54601,0.788212,1.60327,-0.0351429,0.280081,-1.01703,-0.0229021,0.0152502,0.746404,-0.0256751,0.78083,0.752605,0.66984,1.08947,0.136893,0.0123117,0.135185
