epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,2.23434,0.0500954,2.4921,1.3296,1.57869,0.779764,1.56602,0.825989,-0.0380554,-0.410768,0.213451,-0.0134821,0.755234,0.00288668,0.703278,0.0728313,0.787192,0.263027,0.169723,0.0347901,0.0668241
5,snr_low,1667,3.13976,0.0494762,3.31275,1.32762,1.57887,0.78048,1.56397,0.679101,-0.0178859,-19.3177,0.209766,-0.0683152,0.752122,-0.00170118,0.560206,0.0326683,1.51168,0.265005,0.130812,0.0317084,0.0498468
5,snr_mid,1666,2.10676,0.0505604,2.53674,1.3224,1.56474,0.775631,1.56555,0.859609,-0.039895,-10.6164,0.217197,0.0265069,0.760696,-0.00866741,0.704829,0.0473217,1.28483,0.263413,0.138277,0.0227046,0.0584874
5,snr_high,1667,1.45644,0.0502497,1.62682,1.33879,1.59246,0.783178,1.56854,0.934638,-0.0572955,-4.42251,0.213378,-0.00274757,0.752642,0.0183548,0.816876,0.0502592,1.26835,0.260583,0.105013,0.0138212,0.0843116
5,mchirp_low,2500,2.18818,0.0501907,2.50653,1.33929,1.58164,0.775991,1.57562,0.267464,-0.0375297,-0.435416,0.199968,-0.026029,0.754566,-0.0100861,0.798579,0.0723707,0.814276,0.264999,0.189306,0.0363299,0.0742834
5,mchirp_high,2500,2.28051,0.05,2.47766,1.31991,1.57574,0.783536,1.55642,0.51342,-0.0388867,-0.386532,0.227072,-0.00154545,0.755879,0.0158928,0.7165,0.0731679,0.759518,0.259929,0.147377,0.0316496,0.0533835
5,merger_early,2500,2.23779,0.0600611,2.49095,1.34442,1.58335,0.786615,1.5666,0.824281,-4.565,-0.429575,0.212327,-0.00932154,0.74766,0.0130757,0.701587,0.147775,0.801117,0.260485,0.171453,0.0354722,0.065705
5,merger_late,2500,2.2309,0.0401297,2.49325,1.31479,1.57403,0.772913,1.56545,0.827656,-1.76045,-0.39258,0.214609,-0.017821,0.762531,-0.00784555,0.704906,0.142368,0.773331,0.265645,0.167947,0.0341147,0.0679419
5,q_low,1667,1.94205,0.0504465,2.54948,1.33242,1.59582,0.774415,1.57222,0.670407,-0.0341473,-0.453078,0.205336,-0.018593,0.752775,-0.0264858,0.803065,0.0694106,0.788318,0.262439,0.165727,0.0347621,0.0661694
5,q_mid,1666,1.87318,0.0497394,2.51688,1.32697,1.57407,0.776778,1.53807,0.842223,-0.0288303,-0.427167,0.214197,-0.0169494,0.754568,0.0370688,0.737205,0.0741098,0.787398,0.263805,0.170066,0.0347766,0.0683638
5,q_high,1667,2.88758,0.0501,2.40994,1.32942,1.56618,0.788096,1.58776,0.793884,-0.0525031,-0.352547,0.220738,-0.00518529,0.758011,-0.00625411,0.693204,0.0747931,0.786099,0.262711,0.167569,0.033932,0.0655492
5,q_low_mchirp_low,1241,2.20293,0.0502974,2.56035,1.34833,1.59323,0.776501,1.58345,0.104058,-0.0250558,-0.463858,0.194383,-0.0274229,0.750204,-0.0366187,0.886282,0.0680531,0.791749,0.261458,0.173174,0.0352078,0.0679338
5,q_low_mchirp_high,426,1.18208,0.050881,2.51782,1.28605,1.60336,0.768341,1.53952,0.293628,-0.0630112,-0.421498,0.238297,0.00498509,0.759827,0.00298353,0.981133,0.073258,0.777971,0.264723,0.141677,0.0321129,0.0519595
5,q_high_mchirp_low,544,2.34602,0.0501194,2.34351,1.33816,1.5923,0.797134,1.60287,0.239564,-0.0858259,-0.337105,0.208466,-0.0443083,0.754612,-0.00365761,0.700962,0.0760561,0.822665,0.267054,0.197111,0.0362,0.0753792
5,q_high_mchirp_high,1123,3.14992,0.0500907,2.44212,1.32519,1.55353,0.783718,1.58044,0.277984,-0.0416278,-0.359758,0.226752,0.0136413,0.759159,-0.00757791,0.741122,0.074242,0.768277,0.25951,0.149218,0.0316492,0.0532653
10,full,5000,1.93154,0.049719,2.22354,1.50542,1.5814,0.782653,1.54199,0.857851,-0.0182908,-0.181778,0.102913,-0.0183192,0.754008,0.0300807,0.833305,0.0342427,0.800568,0.12656,0.393437,0.134252,0.283191
10,snr_low,1667,2.8046,0.0494657,2.96382,1.4888,1.59695,0.784728,1.54222,0.727017,-0.0161849,-16.0394,0.105414,-0.0940981,0.750337,0.0271273,0.7162,0.0291548,1.69254,0.132699,0.212088,0.161273,0.22682
10,snr_mid,1666,1.76053,0.0503329,2.39241,1.50643,1.56548,0.783365,1.53102,0.891765,-0.0261408,-9.60792,0.103442,0.0207208,0.756475,0.034338,0.836719,0.0335699,1.39947,0.126388,0.319525,0.118719,0.27688
10,snr_high,1667,1.2294,0.0493587,1.31449,1.52101,1.58175,0.779865,1.55272,0.950422,-0.0135524,-2.63273,0.0998764,0.0125796,0.755016,0.0286142,0.931239,0.0355984,1.03921,0.118288,0.312387,0.0630866,0.333092
10,mchirp_low,2500,1.77955,0.0499925,2.17726,1.51091,1.58493,0.777269,1.53296,0.401504,-0.0259096,-0.15279,0.0794071,-0.0243638,0.754114,0.0401981,0.929961,0.0386619,0.798684,0.121286,0.452013,0.0791004,0.303318
10,mchirp_high,2500,2.08353,0.0494454,2.26981,1.49993,1.57787,0.788036,1.55102,0.602564,-0.0109402,-0.210513,0.1267,-0.0128315,0.753893,0.0199195,0.89192,0.023239,0.801534,0.121703,0.303495,0.147702,0.242535
10,merger_early,2500,1.92411,0.0568006,2.22106,1.52496,1.57255,0.787617,1.56199,0.857731,-4.07378,-0.196234,0.100289,0.000753411,0.74811,0.0259571,0.831383,0.070736,0.810207,0.125433,0.391562,0.137681,0.282082
10,merger_late,2500,1.93897,0.0426373,2.22601,1.48587,1.59024,0.777688,1.52199,0.85795,-2.06795,-0.167808,0.10563,-0.0378296,0.759679,0.0340523,0.835194,0.0657018,0.790983,0.127721,0.395324,0.130852,0.284344
10,q_low,1667,1.56001,0.0500904,2.28795,1.51606,1.60503,0.777942,1.51927,0.72735,-0.0174883,-0.227035,0.080453,-0.0286467,0.750663,0.0455172,0.940611,0.0302804,0.786897,0.113494,0.428053,0.0974886,0.294677
10,q_mid,1666,1.78586,0.0494555,2.24446,1.50392,1.52419,0.784206,1.55794,0.851807,-0.0124324,-0.190009,0.105525,0.022121,0.752534,0.0108988,0.870098,0.0356114,0.801057,0.12847,0.379141,0.131002,0.27877
10,q_high,1667,2.44868,0.0496108,2.13822,1.49626,1.61494,0.78581,1.54878,0.844368,-0.0261656,-0.12867,0.122641,-0.0482827,0.758406,0.0301156,0.822191,0.0365813,0.813876,0.135236,0.344015,0.156026,0.26625
10,q_low_mchirp_low,1241,1.63578,0.0500798,2.26808,1.52937,1.59794,0.774342,1.50677,0.321675,-0.0148783,-0.209261,0.068611,-0.0327073,0.751286,0.0539198,1.05274,0.0312821,0.779459,0.111119,0.450875,0.0801367,0.301837
10,q_low_mchirp_high,426,1.33925,0.0501216,2.34582,1.47729,1.62569,0.78843,1.55568,-0.00246089,-0.026928,-0.279106,0.115983,-0.0183732,0.748511,0.0210517,1.28072,0.0227713,0.807894,0.111837,0.343243,0.121996,0.247489
10,q_high_mchirp_low,544,2.01657,0.0499392,1.97477,1.49543,1.61059,0.795062,1.56392,0.396707,-0.0711318,-0.0332901,0.0971843,-0.0372842,0.755901,0.0326573,0.796807,0.0463738,0.806968,0.133067,0.437673,0.0632934,0.301728
10,q_high_mchirp_high,1123,2.658,0.0494518,2.2174,1.49666,1.61705,0.781329,1.54144,0.464556,-0.00969668,-0.173011,0.135116,-0.0538796,0.759118,0.02882,0.906384,0.0236987,0.814889,0.126587,0.276554,0.158777,0.238406
15,full,5000,2.13378,0.0493198,3.08316,1.52197,1.58126,0.777449,1.56036,0.771572,-0.00155686,-1.08425,0.120971,-0.0187883,0.756125,0.0103061,1.03662,0.0167495,0.892247,0.642701,0.735825,0.430112,0.285032
15,snr_low,1667,4.0027,0.0491753,2.28755,1.58474,1.62921,0.787043,1.58684,0.388739,-0.00141257,-9.04967,-0.0529742,-0.122112,0.749291,-0.0317854,1.04782,0.0139711,1.03357,0.526911,0.159921,0.175382,0.244046
15,snr_mid,1666,1.42301,0.049833,3.33381,1.56354,1.56096,0.781074,1.55622,0.936019,-0.00115948,-19.0453,0.0870266,0.0188868,0.757424,0.00605064,1.01083,0.016788,1.62342,0.684252,0.697619,0.379058,0.283014
15,snr_high,1667,0.975205,0.0489514,3.62829,1.41765,1.55361,0.764232,1.53802,0.973382,-0.00318084,-23.5985,0.327579,0.0387436,0.761469,0.0552547,0.996698,0.0187995,2.00678,0.599004,0.899713,0.510577,0.32134
15,mchirp_low,2500,1.82887,0.0493029,2.94733,1.49622,1.59108,0.769304,1.55972,0.408807,-0.00121131,-0.946501,0.0938132,-0.0323205,0.757528,0.00979239,1.20863,0.0162313,0.936954,0.624871,0.94917,0.42166,0.289523
15,mchirp_high,2500,2.43869,0.0493367,3.219,1.54772,1.57144,0.785594,1.561,0.153411,-0.00219666,-1.22052,0.148465,-0.00587753,0.754734,0.0108115,1.23251,0.0163982,0.842481,0.627279,0.330416,0.382699,0.278933
