epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,20.0241,0.037385,13.1675,1.27629,1.56216,0.790998,1.56918,-6.8624,0.260973,-33.499,0.363755,-0.000969796,0.747824,-0.000152457,0.324358,1.17141,1.94936,0.31819,0.438007,0.154805,0.173011
5,snr_low,1667,20.0778,0.042594,12.106,1.27747,1.52702,0.793425,1.57983,-7.29822,0.0133394,-255.94,0.364966,-0.0246482,0.742975,-0.0183102,0.230012,0.961461,3.23956,0.319553,0.405199,0.13878,0.0916408
5,snr_mid,1666,19.9627,0.0327064,12.7897,1.27186,1.57987,0.791855,1.5741,-6.50523,0.43848,-278.452,0.367919,0.00641601,0.750386,-0.0226791,0.299605,1.13214,4.00245,0.319113,0.420113,0.143339,0.134172
5,snr_high,1667,20.0317,0.0368518,14.6065,1.27954,1.57959,0.787716,1.55362,-6.81834,0.326307,-370.763,0.358402,0.013316,0.749905,0.039195,0.415306,1.22947,4.75427,0.315626,0.410236,0.13174,0.229757
5,mchirp_low,2500,15.1056,0.0412999,12.3885,1.28866,1.54639,0.785275,1.5781,-18.6569,0.104392,-29.5547,0.357213,0.00854185,0.74818,-0.012502,0.390578,1.11644,1.75297,0.313027,0.486294,0.146111,0.122706
5,mchirp_high,2500,24.9426,0.0334701,13.9464,1.26392,1.57792,0.796721,1.56027,-28.5273,0.417949,-37.3987,0.370342,-0.0108962,0.747463,0.0122284,0.543046,1.22428,2.06953,0.323343,0.371684,0.145038,0.206024
5,merger_early,2500,20.264,0.0434284,13.689,1.29384,1.56278,0.790759,1.55932,-7.0945,-2.87412,-36.7648,0.3592,0.00729548,0.744259,0.0284551,0.299271,1.85348,2.01649,0.31137,0.54441,0.146324,0.112206
5,merger_late,2500,19.7842,0.0313416,12.646,1.25874,1.56153,0.791238,1.57905,-6.63366,-1.04731,-30.3174,0.368481,-0.00948339,0.75123,-0.029798,0.342748,1.78634,1.85638,0.325129,0.287893,0.142678,0.202011
5,q_low,1667,17.1249,0.0375034,12.9408,1.28424,1.56081,0.794146,1.59502,-16.0432,0.26572,-32.0726,0.358269,0.0203251,0.741996,-0.0401897,0.388098,1.16026,1.84685,0.315653,0.441569,0.150519,0.146558
5,q_mid,1666,20.1834,0.0368889,13.1491,1.26751,1.57139,0.794399,1.53405,-8.29824,0.263154,-33.0681,0.368115,-0.0312405,0.741674,0.0376075,0.351133,1.16465,1.95799,0.319925,0.420274,0.159138,0.193954
5,q_high,1667,22.7641,0.0377624,13.4125,1.27711,1.55427,0.784451,1.57846,-6.46494,0.253086,-35.4259,0.364864,0.00701489,0.759068,-0.00238437,0.321278,1.18897,2.03305,0.318999,0.451222,0.153088,0.174041
5,q_low_mchirp_low,1241,15.5679,0.039145,12.6467,1.29853,1.55598,0.785383,1.60809,-30.3785,0.202205,-30.4831,0.351555,0.0132477,0.745227,-0.0584683,0.489696,1.1413,1.76543,0.311329,0.46052,0.148283,0.130062
5,q_low_mchirp_high,426,21.6609,0.032721,13.7974,1.2426,1.57487,0.819675,1.55693,-135.022,0.454632,-36.7289,0.378206,0.0390574,0.732325,0.0129826,0.958874,1.21592,2.02168,0.329082,0.374886,0.144651,0.181971
5,q_high_mchirp_low,544,14.3151,0.0451074,12.0828,1.29073,1.53341,0.767956,1.56808,-12.2706,-0.0469085,-29.0965,0.359547,0.0276141,0.768956,0.0331446,0.324799,1.0781,1.6665,0.311476,0.536841,0.135335,0.103925
5,q_high_mchirp_high,1123,26.8569,0.0342044,14.0567,1.27051,1.56438,0.792441,1.58349,-29.9179,0.390719,-38.3674,0.367469,-0.00324586,0.753725,-0.0201742,0.554891,1.23954,2.12819,0.3226,0.384291,0.140001,0.194341
10,full,5000,2.54294,0.0204421,1.59236,1.22904,1.5675,0.789235,1.55907,0.775061,0.771657,0.299907,0.355555,-0.00716551,0.749678,0.0143349,0.775391,0.960629,0.79727,0.473167,0.310165,0.151986,0.565216
10,snr_low,1667,3.46458,0.0237385,2.30237,1.27054,1.51591,0.787544,1.5419,0.592327,0.678182,-10.0688,0.297567,-0.00929789,0.747267,0.0232485,0.652972,0.90974,1.57805,0.487621,0.433947,0.12373,0.557805
10,snr_mid,1666,2.37766,0.0191749,1.65045,1.21071,1.58322,0.790121,1.56474,0.827009,0.804144,-4.75267,0.368023,-0.00479769,0.752588,-0.000248688,0.766257,0.976351,1.54898,0.478118,0.268051,0.128299,0.561882
10,snr_high,1667,1.78648,0.0184122,0.824294,1.20587,1.60338,0.79004,1.57057,0.899477,0.831208,-0.739264,0.400838,-0.0077127,0.748979,0.0195834,0.882221,0.993506,1.18958,0.431544,0.188039,0.193139,0.548028
10,mchirp_low,2500,1.77847,0.0234899,1.60779,1.24666,1.5683,0.795307,1.55078,0.512731,0.697084,0.279254,0.330623,-0.0140894,0.744401,0.0220073,0.872633,0.932505,0.812168,0.460747,0.302394,0.172567,0.604601
10,mchirp_high,2500,3.30741,0.0173944,1.57692,1.21143,1.5667,0.783163,1.56736,0.113097,0.846454,0.320254,0.380811,-0.000800561,0.754856,0.00662689,0.917934,0.985421,0.782304,0.484157,0.31765,0.128446,0.516224
