epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,6.41436,0.0279537,1.34492,1.28846,1.57068,0.779211,1.57695,-0.0196294,0.613312,0.45966,0.420087,-0.0120857,0.754677,-0.0039516,0.662973,0.661224,0.742025,0.793842,0.0858074,0.49554,0.484002
5,snr_low,1667,5.7442,0.0342562,0.88016,1.28908,1.61457,0.782469,1.5907,0.129203,0.438011,-1.09365,0.421894,-0.107364,0.749889,-0.028017,0.353791,0.524247,1.38457,0.79507,0.0862875,0.279488,0.520126
5,snr_mid,1666,5.98581,0.0266695,1.16182,1.27251,1.56561,0.781493,1.5599,0.135886,0.656662,-2.46421,0.42761,0.00733093,0.758689,0.00430908,0.556441,0.664229,1.61425,0.795409,0.0816983,0.487047,0.477453
5,snr_high,1667,7.51281,0.0229347,1.99267,1.30379,1.53184,0.773675,1.58025,-0.331725,0.742777,-7.63635,0.410814,0.0560664,0.755227,0.0112711,0.787909,0.770761,1.54455,0.790952,0.0892514,0.604261,0.444447
5,mchirp_low,2500,8.21005,0.0301742,1.53156,1.29901,1.57042,0.787324,1.57876,-5.58523,0.555017,0.301332,0.41604,-0.0185414,0.747984,-0.00603986,0.885276,0.621948,0.728151,0.790123,0.0769767,0.322157,0.507383
5,mchirp_high,2500,4.61867,0.0257332,1.15828,1.27791,1.57094,0.771099,1.57515,-0.564595,0.671722,0.61604,0.424147,-0.00618722,0.761248,-0.00186654,1.14078,0.689535,0.717629,0.797625,0.0918278,0.601659,0.459011
5,merger_early,2500,6.13286,0.0335908,1.3272,1.28413,1.55132,0.771905,1.57672,0.0692457,-1.15026,0.467703,0.428496,0.0130296,0.753373,0.0165239,0.648845,0.764236,0.754806,0.784357,0.0828395,0.534541,0.548953
5,merger_late,2500,6.69586,0.0223166,1.36264,1.29279,1.59003,0.786518,1.57719,-0.107761,0.0438824,0.451755,0.411337,-0.0377429,0.755889,-0.025248,0.668494,1.02775,0.728633,0.803582,0.0887115,0.450058,0.402944
5,q_low,1667,6.96898,0.0280538,1.35055,1.30552,1.54957,0.779273,1.60564,-2.46822,0.619079,0.453169,0.412178,0.0242156,0.749896,-0.0461016,0.881383,0.648204,0.732549,0.792762,0.0815523,0.398496,0.488936
5,q_mid,1666,6.02349,0.0279494,1.33014,1.27197,1.57656,0.782833,1.53444,-0.133714,0.6025,0.482449,0.425218,-0.0312148,0.750771,0.0427536,0.722736,0.660604,0.744634,0.796725,0.0861995,0.506804,0.472529
5,q_high,1667,6.25037,0.0278579,1.35406,1.28788,1.5859,0.775531,1.59076,0.28324,0.617831,0.442358,0.422853,-0.0304599,0.762776,-0.0130244,0.643978,0.67374,0.745994,0.792093,0.0889164,0.555749,0.491062
5,q_low_mchirp_low,1241,7.89698,0.0287413,1.42802,1.32202,1.55786,0.782791,1.61127,-8.20047,0.603468,0.396622,0.40708,0.00207995,0.747958,-0.0547491,1.1028,0.639159,0.724665,0.785586,0.077531,0.350654,0.512998
5,q_low_mchirp_high,426,4.26558,0.0260512,1.12485,1.25744,1.52543,0.769023,1.58923,-7.94565,0.66519,0.618822,0.427147,0.0849262,0.755122,-0.0209547,2.3741,0.672592,0.723749,0.815489,0.0905683,0.506177,0.407975
5,q_high_mchirp_low,544,8.65282,0.0318671,1.74253,1.28372,1.57185,0.784446,1.54196,-4.32998,0.501252,0.0707477,0.429206,-0.00701361,0.757931,0.0528061,0.674975,0.58597,0.697515,0.787804,0.0742412,0.274126,0.526286
5,q_high_mchirp_high,1123,5.08659,0.0259157,1.16588,1.2899,1.5927,0.771212,1.61439,-0.613364,0.670897,0.614984,0.41974,-0.0421159,0.76464,-0.0459652,1.14615,0.697099,0.727217,0.794175,0.0927003,0.630975,0.471086
10,full,5000,2.89807,0.0194564,0.990661,1.21002,1.57527,0.784069,1.5693,0.731428,0.797222,0.707209,0.430777,-0.0170133,0.752414,0.00170645,0.817515,0.947496,0.820314,0.660678,0.100943,0.0185481,0.947014
10,snr_low,1667,3.78516,0.0230609,0.841193,1.20543,1.60269,0.786539,1.60743,0.529321,0.714792,-0.936487,0.434531,-0.101607,0.748291,-0.0499422,0.652227,0.804638,1.38826,0.657722,0.0945726,0.0163637,1.03925
10,snr_mid,1666,2.6403,0.0181271,0.872711,1.19327,1.56701,0.784028,1.52832,0.797921,0.828829,-1.0163,0.437111,0.0126224,0.755929,0.0302216,0.814531,0.963734,1.56924,0.661581,0.0923907,0.0164275,0.944268
10,snr_high,1667,2.26861,0.0171803,1.25801,1.23134,1.5561,0.781639,1.57213,0.85943,0.846751,-2.7546,0.420745,0.0312515,0.752807,0.0241623,0.951537,1.05266,1.36304,0.662497,0.0865681,0.0163445,0.842402
10,mchirp_low,2500,1.95845,0.0216208,1.00306,1.21887,1.57286,0.777285,1.56358,0.507755,0.743784,0.693449,0.42286,-0.0220171,0.753443,0.00906219,0.95581,0.911583,0.8494,0.647041,0.0951173,0.0185677,0.967638
10,mchirp_high,2500,3.83769,0.0172919,0.97826,1.20116,1.57768,0.790853,1.57502,-0.109184,0.85081,0.720779,0.438765,-0.0125569,0.751391,-0.00568406,0.914558,0.981021,0.790461,0.674266,0.09576,0.0185197,0.925433
10,merger_early,2500,2.89027,0.0198622,1.01164,1.20646,1.56773,0.787656,1.57919,0.729868,0.14779,0.692885,0.438113,-0.00660401,0.746548,0.00517866,0.84086,0.96358,0.816364,0.64986,0.100755,0.0176924,0.936087
10,merger_late,2500,2.90587,0.0190505,0.969681,1.21357,1.58281,0.780481,1.55942,0.732937,0.241252,0.721147,0.423143,-0.0277099,0.758053,-0.00212912,0.793104,1.25031,0.82416,0.671679,0.094785,0.0179175,0.955328
10,q_low,1667,1.82819,0.019094,0.955981,1.22429,1.55992,0.786601,1.55408,0.693217,0.811448,0.727404,0.422206,0.00966488,0.745888,0.00987333,0.964924,0.95126,0.824304,0.655973,0.0935432,0.018214,0.947921
10,q_mid,1666,2.85306,0.0196822,0.981581,1.19645,1.56873,0.78176,1.57735,0.723176,0.787955,0.712239,0.435403,-0.0268557,0.751578,-0.0119127,0.875092,0.940223,0.823982,0.663476,0.104418,0.0186553,0.95111
10,q_high,1667,4.01294,0.019593,1.03442,1.2093,1.59715,0.783844,1.57648,0.654981,0.791766,0.681235,0.434702,-0.0347962,0.759233,0.00323659,0.796088,0.950402,0.811776,0.662603,0.104158,0.0186712,0.942131
10,q_low_mchirp_low,1241,1.65441,0.0195674,0.962909,1.23934,1.55887,0.782218,1.56847,0.453896,0.79873,0.722815,0.414212,-0.000812712,0.747369,-0.00390781,1.10434,0.937936,0.83148,0.646311,0.0918664,0.0181733,0.961932
10,q_low_mchirp_high,426,2.33441,0.0177148,0.935799,1.18047,1.56298,0.799367,1.51217,-1.57304,0.84921,0.740847,0.446263,0.0378643,0.741258,0.0499595,1.51446,0.990767,0.802854,0.685898,0.088895,0.0182715,0.905842
10,q_high_mchirp_low,544,2.33235,0.0243612,1.08845,1.20404,1.57896,0.784676,1.58011,0.498239,0.664019,0.62945,0.434277,-0.0176469,0.760218,0.0189698,0.80701,0.854362,0.850241,0.640731,0.0928241,0.0188851,0.954874
10,q_high_mchirp_high,1123,4.82705,0.0172833,1.00824,1.21184,1.60596,0.783441,1.57473,-0.466268,0.850874,0.705285,0.434909,-0.0433861,0.758241,-0.00465531,0.932038,0.987673,0.793214,0.673057,0.0969619,0.018562,0.934687
15,full,5000,1.75165,0.0156376,0.915891,1.09081,1.56058,0.790441,1.56736,0.89502,0.869941,0.749863,0.554198,0.0099397,0.750158,0.00307102,0.909098,1.00989,0.852542,0.824209,0.0924464,0.606113,0.188227
15,snr_low,1667,2.35073,0.0183617,1.05941,1.08111,1.53151,0.787357,1.5797,0.807345,0.814329,-1.98829,0.555543,-0.0146869,0.748902,-0.02272,0.81996,0.915635,1.50946,0.806777,0.0979327,0.787873,0.176758
15,snr_mid,1666,1.59807,0.0147312,0.901552,1.07341,1.57611,0.795989,1.57093,0.925035,0.887221,-0.995639,0.561211,0.0109947,0.751868,-0.0133926,0.924833,1.03365,1.60656,0.821674,0.0909451,0.483084,0.186642
15,snr_high,1667,1.30604,0.0138193,0.786708,1.11791,1.57412,0.787979,1.55145,0.949314,0.907444,-0.626669,0.545893,0.0313408,0.74953,0.0439761,0.973404,1.07163,1.19216,0.840865,0.0885721,0.210648,0.189164
15,mchirp_low,2500,1.44086,0.0172367,0.932652,1.08912,1.55867,0.794985,1.58041,0.691568,0.835422,0.738033,0.554644,0.0073168,0.746612,-0.00943781,0.960421,0.985316,0.865853,0.786273,0.0942138,0.528636,0.18314
15,mchirp_high,2500,2.06243,0.0140384,0.89913,1.09251,1.56248,0.785897,1.55431,0.63154,0.904557,0.761531,0.553708,0.0120491,0.753634,0.0156116,0.96936,1.03278,0.838765,0.860636,0.0879135,0.67345,0.191945
15,merger_early,2500,1.74454,0.0149237,0.935196,1.07134,1.56153,0.787669,1.56324,0.896652,0.539848,0.736571,0.571074,0.0179117,0.747098,0.0235222,0.909896,0.993977,0.862517,0.749496,0.0828703,0.556836,0.190505
15,merger_late,2500,1.75876,0.0163514,0.896586,1.11028,1.55963,0.793213,1.57147,0.89339,0.432561,0.762801,0.536647,0.00172562,0.753073,-0.0181985,0.90789,1.18788,0.842598,0.894865,0.0904471,0.650019,0.183669
15,q_low,1667,1.33078,0.0157066,0.914679,1.09902,1.56388,0.784132,1.59436,0.81953,0.874836,0.749883,0.54734,0.0194569,0.750046,-0.0359801,1.00816,1.01204,0.852764,0.81281,0.0874771,0.556741,0.18273
15,q_mid,1666,1.70496,0.0157245,0.920287,1.07005,1.55488,0.790301,1.5291,0.888241,0.865253,0.747491,0.56548,0.0103664,0.746369,0.0482024,0.959699,1.00796,0.853571,0.830862,0.0925036,0.620552,0.18425
15,q_high,1667,2.21918,0.0154817,0.91271,1.10335,1.56296,0.796889,1.5786,0.881582,0.869499,0.751999,0.549851,-0.000531563,0.753687,-0.00745305,0.89709,1.00938,0.851672,0.828896,0.096627,0.634258,0.197576
15,q_low_mchirp_low,1241,1.29956,0.0160721,0.923003,1.10356,1.55725,0.783526,1.59874,0.610924,0.867856,0.746624,0.546905,0.0159198,0.749909,-0.0444405,1.07348,1.00255,0.85267,0.794108,0.0897031,0.530993,0.182101
15,q_low_mchirp_high,426,1.42172,0.0146419,0.890431,1.0858,1.58322,0.785896,1.58159,-0.0622782,0.895525,0.759431,0.54793,0.0283198,0.750084,-0.0113774,1.43304,1.04061,0.852227,0.869195,0.0809887,0.625236,0.184548
15,q_high_mchirp_low,544,1.61812,0.0187232,0.946704,1.10317,1.55627,0.796501,1.60187,0.720462,0.789627,0.733401,0.554056,-0.00557513,0.756613,0.000885264,0.841499,0.946641,0.862273,0.758921,0.0965493,0.496191,0.185696
15,q_high_mchirp_high,1123,2.51034,0.0139114,0.896242,1.10344,1.56621,0.797077,1.56732,0.532608,0.906455,0.760632,0.547789,0.00169632,0.751735,-0.0116478,0.982479,1.03326,0.845737,0.860549,0.0907804,0.69189,0.19972
20,full,5000,1.87195,0.0146238,0.932309,1.27099,1.57201,0.780691,1.57675,0.895028,0.888258,0.737719,0.37601,-0.0118807,0.754668,-0.00239542,0.900483,0.979159,0.936975,0.590697,0.0469036,0.0206329,0.125721
20,snr_low,1667,2.13025,0.0172756,1.06276,1.2722,1.61855,0.780976,1.58451,0.842628,0.835284,-2.05376,0.378331,-0.111678,0.751448,-0.0231606,0.852114,0.917467,1.53631,0.571378,0.0431028,0.0140023,0.115662
20,snr_mid,1666,1.72976,0.0139169,1.03996,1.27513,1.56365,0.780089,1.58816,0.919804,0.902449,-1.59333,0.365491,0.0127661,0.75862,-0.0182732,0.914816,1.00621,1.77101,0.594588,0.0384839,0.0159681,0.129824
20,snr_high,1667,1.75574,0.0126784,0.694277,1.26566,1.53385,0.781009,1.55758,0.920192,0.926285,-0.274953,0.384114,0.0552628,0.753721,0.03304,0.930452,1.01068,1.2908,0.605183,0.0354324,0.0146967,0.130588
20,mchirp_low,2500,1.40166,0.0161074,0.95045,1.31842,1.57046,0.776053,1.5832,0.735065,0.859028,0.723211,0.296126,-0.0162574,0.754204,-0.00426611,0.910957,0.959693,0.948665,0.486836,0.0396465,0.0206354,0.125214
20,mchirp_high,2500,2.34223,0.0131402,0.914168,1.22357,1.57356,0.78533,1.57029,0.607175,0.917569,0.752031,0.457052,-0.00804344,0.755114,-0.000528624,0.962159,0.99843,0.92515,0.665413,0.0451044,0.0204564,0.122991
20,merger_early,2500,1.80894,0.0148232,0.96118,1.26814,1.55324,0.786189,1.56512,0.900319,0.538959,0.718384,0.396306,0.0126469,0.74772,0.0280992,0.899712,1.05585,0.949071,0.408159,0.0467904,0.0205067,0.12968
20,merger_late,2500,1.93495,0.0144244,0.903438,1.27385,1.59079,0.775194,1.58837,0.889776,0.573872,0.756549,0.354901,-0.0369402,0.761359,-0.0339791,0.901252,1.03613,0.925053,0.699502,0.0462411,0.0187982,0.115928
20,q_low,1667,1.28055,0.0148135,0.934367,1.31097,1.55188,0.778948,1.6129,0.842027,0.889697,0.737257,0.328494,0.0238579,0.749994,-0.0430734,0.976334,0.982223,0.935694,0.540498,0.0425962,0.0211642,0.121507
20,q_mid,1666,1.89605,0.0148566,0.943229,1.25519,1.57431,0.778174,1.53368,0.884847,0.886116,0.732229,0.387663,-0.0245385,0.754207,0.0369028,0.940238,0.979523,0.938793,0.599838,0.0472343,0.0207762,0.125328
20,q_high,1667,2.43925,0.0142015,0.919337,1.24681,1.58985,0.784952,1.58364,0.878406,0.88881,0.74352,0.411791,-0.0361038,0.759364,-0.00553746,0.894915,0.97481,0.936859,0.622794,0.0489091,0.0199715,0.128099
20,q_low_mchirp_low,1241,1.16731,0.0152234,0.936946,1.33136,1.5596,0.779064,1.6116,0.701255,0.883035,0.736144,0.300623,0.00155221,0.748063,-0.0469713,1.01801,0.970353,0.936156,0.505074,0.0395094,0.021127,0.122604
20,q_low_mchirp_high,426,1.61045,0.0136193,0.926854,1.25156,1.52937,0.778608,1.61668,-0.208221,0.90946,0.74052,0.414669,0.0850421,0.755199,-0.0317476,1.39213,1.0165,0.934208,0.626575,0.0457082,0.0212819,0.116186
20,q_high_mchirp_low,544,1.64978,0.0171025,0.94241,1.31699,1.56701,0.791344,1.57916,0.7422,0.820541,0.727706,0.290157,0.00283458,0.757452,0.0302476,0.787654,0.929296,0.942743,0.44181,0.0374694,0.0187396,0.128917
20,q_high_mchirp_high,1123,2.82168,0.0127961,0.908161,1.21281,1.60092,0.781855,1.58581,0.510303,0.920398,0.75086,0.471399,-0.0553073,0.759788,-0.0234554,0.977246,0.99515,0.933218,0.683648,0.0450697,0.0202017,0.125807
25,full,5000,1.394,0.0140943,0.866302,1.21445,1.57684,0.78033,1.54846,0.935607,0.896857,0.774866,0.486839,-0.00766362,0.754985,0.0238343,0.970533,0.974516,0.907621,0.693786,0.148581,0.0298187,0.870473
25,snr_low,1667,1.74678,0.0160778,0.823869,1.21084,1.58544,0.780754,1.56619,0.884693,0.853815,-0.882266,0.488837,-0.0727524,0.751777,0.00491035,0.938621,0.9356,1.41778,0.69181,0.177042,0.0226699,0.595822
25,snr_mid,1666,1.25434,0.0132945,0.902163,1.21414,1.56209,0.77892,1.56937,0.956944,0.912258,-1.06326,0.483338,0.0311323,0.759522,-0.0114573,0.982219,0.98684,1.72676,0.692216,0.122751,0.0236701,0.841817
25,snr_high,1667,1.1808,0.01291,0.872895,1.21837,1.58299,0.781316,1.50984,0.96299,0.923834,-0.9819,0.488308,0.0136636,0.753431,0.0763242,0.988836,0.999336,1.29674,0.697034,0.0854391,0.0212271,1.05561
25,mchirp_low,2500,1.17513,0.0149314,0.875366,1.23199,1.57694,0.774361,1.55252,0.798722,0.878501,0.765834,0.475942,-0.0163292,0.755122,0.0222577,0.942684,0.961709,0.926734,0.628227,0.174255,0.031107,0.67995
25,mchirp_high,2500,1.61287,0.0132571,0.857238,1.19691,1.57675,0.786299,1.54441,0.780779,0.915253,0.783771,0.497857,0.000427899,0.754839,0.0254063,1.02848,0.98592,0.886606,0.749903,0.116863,0.0279699,0.976422
25,merger_early,2500,1.36573,0.0145308,0.886849,1.30202,1.57755,0.78574,1.53393,0.93864,0.554805,0.761486,0.453851,8.81018e-05,0.748104,0.0512917,0.969177,1.06722,0.912333,0.511514,0.133859,0.0293092,0.794354
25,merger_late,2500,1.42227,0.0136577,0.845755,1.12688,1.57614,0.77492,1.563,0.932596,0.625011,0.787892,0.521127,-0.0156555,0.761611,-0.00462368,0.971886,1.01678,0.90277,0.829117,0.159323,0.0284277,0.894202
25,q_low,1667,1.0616,0.0138207,0.839284,1.23481,1.5856,0.775672,1.52901,0.872155,0.902054,0.787335,0.475372,-0.00368357,0.751859,0.0312972,1.04201,0.97687,0.910699,0.677255,0.136242,0.0308441,0.791501
25,q_mid,1666,1.42714,0.0143612,0.878023,1.18646,1.5806,0.778016,1.55159,0.926628,0.89209,0.770202,0.502067,-0.0183653,0.754132,0.0235751,1.00968,0.972863,0.911459,0.701225,0.161306,0.0303011,0.875806
25,q_high,1667,1.69328,0.0141011,0.881606,1.22207,1.56433,0.787302,1.56478,0.934381,0.896216,0.766729,0.48318,-0.00145219,0.75858,0.0128495,0.966226,0.97345,0.900686,0.70084,0.145894,0.0283016,0.918219
25,q_low_mchirp_low,1241,0.97263,0.0137883,0.847591,1.24035,1.58691,0.775081,1.50784,0.757334,0.901235,0.78292,0.476067,-0.0163547,0.750353,0.0517128,1.05926,0.970227,0.913833,0.651786,0.142602,0.0309503,0.726333
25,q_low_mchirp_high,426,1.32079,0.0139149,0.815084,1.21869,1.58178,0.777391,1.59071,0.0281726,0.904348,0.800271,0.4723,0.0306167,0.755843,-0.028125,1.45324,0.99725,0.898611,0.747134,0.116387,0.030036,0.937725
25,q_high_mchirp_low,544,1.42249,0.0165033,0.903689,1.27178,1.58517,0.793859,1.58091,0.809866,0.841908,0.749466,0.457563,-0.0345318,0.756796,0.0229781,0.804046,0.938985,0.920342,0.573435,0.18718,0.0286916,0.583494
25,q_high_mchirp_high,1123,1.82445,0.0129374,0.870909,1.19799,1.55423,0.784126,1.55697,0.752779,0.921274,0.774742,0.495733,0.0144316,0.758939,0.00776007,1.04133,0.984724,0.89095,0.752592,0.117639,0.0275639,0.990324
30,full,5000,1.23109,0.0138977,0.864115,1.64374,1.58205,0.781654,1.56595,0.945479,0.899778,0.776234,-0.0164315,-0.0161394,0.75402,-0.00119986,0.951263,0.984718,0.90858,1.30388,0.906362,0.0332163,0.202919
30,snr_low,1667,1.70356,0.0152885,0.770278,1.71779,1.62592,0.782222,1.56201,0.89376,0.866297,-0.659414,-0.118965,-0.111232,0.750381,-0.00794025,0.938687,0.943891,1.39275,1.37218,0.810919,0.0247097,0.232684
30,snr_mid,1666,1.05299,0.0132391,0.912662,1.65597,1.56927,0.782141,1.55843,0.966385,0.913452,-1.11218,-0.0261928,0.0101606,0.757516,-0.013816,0.96066,0.998975,1.74302,1.28428,0.907612,0.0259808,0.19518
30,snr_high,1667,0.936623,0.0131651,0.909435,1.55745,1.55096,0.780598,1.5774,0.974116,0.919033,-1.11408,0.0951789,0.045054,0.753953,0.0173968,0.951789,1.00797,1.25119,1.25171,0.972405,0.0217141,0.176863
30,mchirp_low,2500,1.07395,0.0149312,0.881563,1.83228,1.58605,0.776451,1.55523,0.797081,0.879812,0.763505,-0.240243,-0.0177853,0.754059,0.00574668,1.01299,0.963127,0.907828,1.36585,0.39214,0.0322847,0.192795
30,mchirp_high,2500,1.38824,0.0128642,0.846667,1.45519,1.57806,0.786857,1.57666,0.832622,0.919794,0.788791,0.210689,-0.0150116,0.753971,-0.00817984,0.993258,1.00599,0.909228,1.21685,1.19291,0.0323387,0.203481
30,merger_early,2500,1.19264,0.0143775,0.882496,1.55775,1.5785,0.786918,1.57087,0.949303,0.570856,0.763779,0.0620892,0.00069908,0.74724,0.00796774,0.949713,1.09259,0.913562,1.08254,0.556278,0.0318412,0.199634
30,merger_late,2500,1.26955,0.0134179,0.845734,1.72972,1.5856,0.776389,1.56103,0.941686,0.632417,0.788358,-0.0980782,-0.0333767,0.760547,-0.0108843,0.952546,0.993676,0.903701,1.49787,1.13914,0.0319955,0.20458
30,q_low,1667,1.13208,0.0141336,0.836949,1.76806,1.57258,0.780707,1.54377,0.847623,0.899194,0.786226,-0.15615,0.0137549,0.748742,0.000505034,1.02042,0.978371,0.901057,1.37067,0.451202,0.0326921,0.18833
