epoch,circular_loss_coa_phase,circular_loss_polarization_angle,kappa_sky_position,loss,mae_coa_phase,mae_inclination,mae_mchirp,mae_merger_time,mae_polarization_angle,mae_snr,r2_coa_phase,r2_inclination,r2_mchirp,r2_merger_time,r2_polarization_angle,r2_snr,std_ratio_coa_phase,std_ratio_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_polarization_angle,std_ratio_snr,val_circular_loss_coa_phase,val_circular_loss_polarization_angle,val_kappa_sky_position,val_loss,val_mae_coa_phase,val_mae_inclination,val_mae_mchirp,val_mae_merger_time,val_mae_polarization_angle,val_mae_snr,val_r2_coa_phase,val_r2_inclination,val_r2_mchirp,val_r2_merger_time,val_r2_polarization_angle,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_inclination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_polarization_angle,val_std_ratio_snr,val_weight_coa_phase,val_weight_inclination,val_weight_mchirp,val_weight_merger_time,val_weight_polarization_angle,val_weight_sky_position,val_weight_snr,weight_coa_phase,weight_inclination,weight_mchirp,weight_merger_time,weight_polarization_angle,weight_sky_position,weight_snr
0,1.0042277574539185,0.9965220093727112,0.221980482339859,6.410101413726807,1.0020231008529663,0.7933461666107178,0.9579325914382935,0.2749844491481781,0.9972391724586487,1.2469148635864258,-2.0075173377990723,-0.8920180797576904,-0.40731096267700195,-0.2925478219985962,-1.988063097000122,-3.1044793128967285,0.04791044816374779,0.8891493678092957,0.6580060124397278,0.5492481589317322,0.025348488241434097,1.8105381727218628,0.9948163032531738,1.0019274950027466,0.15851843357086182,7.2448272705078125,0.9822390675544739,0.6736286878585815,0.9002302289009094,0.25384193658828735,0.9924689531326294,2.4967992305755615,-1.934438705444336,-0.2344604730606079,-0.23585140705108643,-0.09064328670501709,-1.990838885307312,-6.33042573928833,0.022365489974617958,0.3861328959465027,0.27254799008369446,0.2306170016527176,0.008008423261344433,0.25760334730148315,0.9978405237197876,1.0433402061462402,1.041656494140625,1.0400989055633545,1.002241611480713,0.9671589136123657,1.0056684017181396,0.9994766712188721,1.0211288928985596,1.0207175016403198,1.0200248956680298,1.000648856163025,0.9839204549789429,1.000063180923462
1,1.0039881467819214,0.9965028762817383,0.10002563148736954,5.213932037353516,1.0028198957443237,0.6532226204872131,0.6992411613464355,0.24264822900295258,0.997377872467041,0.6458867788314819,-2.011197090148926,-0.27122294902801514,0.2039671540260315,-0.028565168380737305,-1.9905309677124023,0.3393977880477905,0.0,0.6978762149810791,0.7212929129600525,0.5329052805900574,0.0,0.8330804705619812,0.9948914051055908,1.001969575881958,0.1000639796257019,5.691391944885254,0.9938212633132935,0.6960175037384033,0.8407313227653503,0.20928218960762024,0.9960432052612305,1.1991575956344604,-1.9852300882339478,-0.380962073802948,-0.07867062091827393,0.1686335802078247,-2.0059494972229004,-1.0474984645843506,0.0005980277201160789,0.6081379055976868,0.6287237405776978,0.5534747242927551,0.0008457295480184257,0.7027748823165894,0.9981323480606079,1.1361936330795288,1.1435763835906982,1.125443696975708,1.0021744966506958,0.9015234708786011,1.0530892610549927,0.9948551654815674,1.090920090675354,1.095572590827942,1.0823925733566284,1.0025328397750854,0.9335639476776123,1.0286487340927124
2,1.0039843320846558,0.9965031147003174,0.100043386220932,4.76907205581665,1.002318263053894,0.6486480236053467,0.6910553574562073,0.1841888427734375,0.9972355961799622,0.6127616167068481,-2.009354829788208,-0.23970818519592285,0.24215811491012573,0.3475450873374939,-1.9905239343643188,0.40858274698257446,0.018590137362480164,0.6668021082878113,0.8183262348175049,0.75086510181427,0.0,0.9298376441001892,0.993974506855011,1.001969575881958,0.10000089555978775,11.478849411010742,0.9769660234451294,0.7713169455528259,4.019000053405762,0.1724175363779068,0.996045708656311,3.1115505695343018,-1.901853322982788,-0.7949954271316528,-15.605382919311523,0.34659141302108765,-2.0059595108032227,-9.489456176757812,0.24723581969738007,0.8682801723480225,1.0350384712219238,1.0080504417419434,0.0,1.0204410552978516,0.9920322299003601,1.2792586088180542,1.2945021390914917,1.2680041790008545,1.002566933631897,0.8172392845153809,1.1455342769622803,1.0006300210952759,1.2088876962661743,1.219671368598938,1.1956110000610352,1.0034637451171875,0.8577670454978943,1.0981329679489136
3,1.0039879083633423,0.9965031147003174,0.10009445250034332,4.049537658691406,1.0024529695510864,0.652340292930603,0.5596661567687988,0.1467679888010025,0.9975501894950867,0.5278856158256531,-2.011399269104004,-0.23507362604141235,0.489538311958313,0.5659261345863342,-1.990513801574707,0.5571253299713135,0.0,0.6396863460540771,0.8731492757797241,0.8708155751228333,0.0012918785214424133,0.9317421913146973,0.994895875453949,1.001969575881958,0.10001298040151596,7.853226661682129,0.9939231872558594,0.8784734606742859,0.850455105304718,0.16790644824504852,0.996045708656311,3.3207333087921143,-1.9856542348861694,-1.362342119216919,-0.11397600173950195,0.392139732837677,-2.0059595108032227,-10.65291976928711,0.0,1.1197794675827026,1.0210199356079102,0.9738165140151978,0.0,0.8833452463150024,0.993441104888916,1.4827759265899658,1.5462610721588135,1.4868316650390625,1.0032843351364136,0.7278198003768921,1.3039854764938354,0.9941188097000122,1.381057620048523,1.4174622297286987,1.3751320838928223,1.003587007522583,0.7703532576560974,1.2235432863235474
4,1.0039879083633423,0.9965029954910278,0.1001577377319336,3.1415061950683594,1.0026013851165771,0.6322126388549805,0.39972805976867676,0.1251426786184311,0.997214674949646,0.44112664461135864,-2.011399507522583,-0.16687548160552979,0.7271395325660706,0.6783677339553833,-1.9905128479003906,0.691497802734375,0.0,0.6302987933158875,0.9069422483444214,0.9260023236274719,0.0,0.9247555732727051,0.994895875453949,1.001969575881958,0.10006487369537354,4.898891448974609,0.9939231872558594,0.7389752864837646,0.5529580116271973,0.17132794857025146,0.9960454106330872,1.7385272979736328,-1.9856542348861694,-0.6298422813415527,0.4920790195465088,0.39712369441986084,-2.0059585571289062,-2.598452568054199,0.0,0.6993141174316406,0.895596981048584,0.8744829297065735,0.0,0.5604045391082764,0.9962185025215149,1.764679193496704,1.962982416152954,1.8133589029312134,1.0019339323043823,0.6436672806739807,1.5605475902557373,0.9968650937080383,1.6262813806533813,1.7514150142669678,1.6456125974655151,1.004555106163025,0.6833663582801819,1.427895188331604
5,1.0039876699447632,0.9965025186538696,0.10030557960271835,2.233097553253174,1.0024410486221313,0.5727549195289612,0.3440764546394348,0.10890918225049973,0.9972302317619324,0.3832734525203705,-2.0113987922668457,0.07019314169883728,0.8007327318191528,0.7565798163414001,-1.9905202388763428,0.7662551403045654,0.0,0.5295406579971313,0.9504467248916626,0.935492753982544,0.0,0.9256333708763123,0.994895875453949,1.001969575881958,0.10032185167074203,2.589585781097412,0.9939231872558594,0.7077704071998596,0.4437038004398346,0.1465011090040207,0.9960452318191528,0.6234375238418579,-1.9856542348861694,-0.4404969811439514,0.6795393228530884,0.586532711982727,-2.0059571266174316,0.39450913667678833,0.0,0.6431519985198975,0.7481027245521545,0.8653193116188049,0.0,0.6604336500167847,0.9978576898574829,2.118411064147949,2.462278366088867,2.2106759548187256,1.0024300813674927,0.5811208486557007,1.8804175853729248,0.9955838322639465,1.9458599090576172,2.2107930183410645,2.0065770149230957,1.0024760961532593,0.6107563972473145,1.719638705253601
6,1.0039879083633423,0.9965025782585144,0.10076363384723663,1.5142287015914917,1.0029646158218384,0.5553736090660095,0.30315661430358887,0.09969259798526764,0.9971502423286438,0.38780975341796875,-2.011399984359741,0.11016041040420532,0.8452532291412354,0.7932424545288086,-1.99052095413208,0.7599625587463379,0.0,0.5591820478439331,0.9619153141975403,0.9397547841072083,0.0,0.944725513458252,0.994895875453949,1.001969575881958,0.10023150593042374,5.697323799133301,0.9939231872558594,0.707703709602356,1.2951939105987549,0.13299332559108734,0.9960452318191528,1.368799090385437,-1.9856542348861694,-0.4292221665382385,-1.0063080787658691,0.6178148984909058,-2.0059568881988525,-1.7704551219940186,0.0,0.6047812700271606,0.6216829419136047,0.8579882383346558,0.0,0.3326645791530609,0.9945197105407715,2.502136468887329,3.068695545196533,2.693338632583618,1.0015567541122437,0.5337015986442566,2.248237371444702,0.9959673881530762,2.315694808959961,2.756505012512207,2.445525884628296,1.0049755573272705,0.5562383532524109,2.06758975982666
7,1.0039880275726318,0.9965029954910278,0.10128303617238998,0.760801374912262,1.0027471780776978,0.5239015817642212,0.27101394534111023,0.09419722110033035,0.997626781463623,0.35564833879470825,-2.011399745941162,0.20828914642333984,0.875923752784729,0.8165475130081177,-1.9905099868774414,0.7984596490859985,0.0,0.5507287979125977,0.9671505093574524,0.950641930103302,0.001544090104289353,0.9341384768486023,0.994895875453949,1.001969337463379,0.1004510149359703,3.4885451793670654,0.9939231872558594,0.7133128643035889,0.7552191615104675,0.11541129648685455,0.9960403442382812,1.029380202293396,-1.9856542348861694,-0.4520919919013977,0.18498659133911133,0.7118418216705322,-2.0059375762939453,-0.5540040731430054,0.0,0.4832707345485687,0.7274253964424133,0.9406377077102661,0.0,0.5154833197593689,0.9993643760681152,2.940938949584961,3.7956910133361816,3.279388904571533,1.0022213459014893,0.49730610847473145,2.6924893856048584,0.9963810443878174,2.730677604675293,3.426957368850708,2.9784340858459473,1.0029048919677734,0.5146211385726929,2.46907114982605
8,1.0039877891540527,0.9965033531188965,0.10116659104824066,0.1146032065153122,1.0028921365737915,0.5076388716697693,0.25475335121154785,0.10129501670598984,0.9974601864814758,0.3421919047832489,-2.0113983154296875,0.25262513756752014,0.889978289604187,0.7903944253921509,-1.9905153512954712,0.813562273979187,0.0,0.562749981880188,0.9715298414230347,0.9800789952278137,0.0,0.9347737431526184,0.994895875453949,1.0019696950912476,0.1003878116607666,3.60170316696167,0.9939231872558594,0.7090375423431396,0.4475764334201813,0.14823321998119354,0.9960412979125977,1.3701448440551758,-1.9856542348861694,-0.43815410137176514,0.6309515237808228,0.5489704608917236,-2.0059428215026855,-1.462803602218628,0.0,0.5102903246879578,0.8656985759735107,0.8070337176322937,0.0006905352929607034,0.4947570860385895,0.9988285303115845,3.4150002002716064,4.657383918762207,3.985595226287842,1.0045887231826782,0.4694010615348816,3.216766834259033,0.9958999156951904,3.196929931640625,4.2156782150268555,3.623136281967163,1.0041117668151855,0.48265010118484497,2.953988790512085
9,1.0039875507354736,0.9965030550956726,0.10130875557661057,-0.46340805292129517,1.0027419328689575,0.48812881112098694,0.25308483839035034,0.09327611327171326,0.9977806806564331,0.34132054448127747,-2.0114002227783203,0.2986534535884857,0.8931081295013428,0.8219493627548218,-1.9905046224594116,0.8148388862609863,0.0,0.5844893455505371,0.9765638709068298,0.9744357466697693,0.0,0.9418944120407104,0.994895875453949,1.0019694566726685,0.10023163259029388,4.659032821655273,0.9939231872558594,0.6969788074493408,0.7539569735527039,0.11440932750701904,0.9960386157035828,1.3539166450500488,-1.9856542348861694,-0.3575766682624817,0.2729454040527344,0.7223255038261414,-2.0059309005737305,-1.3882997035980225,0.0,0.5428216457366943,0.7090708017349243,0.9033708572387695,0.0,0.491994172334671,0.9948795437812805,3.915938138961792,5.639988899230957,4.8444013595581055,1.0040650367736816,0.4480436444282532,3.815504550933838,0.9969209432601929,3.6948845386505127,5.147904872894287,4.402897834777832,1.0029336214065552,0.4582021236419678,3.5218608379364014
