epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,7.15934,0.0584898,3.79231,1.1822,1.5758,0.784483,1.57493,-0.328285,-0.464528,-2.14967,0.453464,-0.0125554,0.75219,-0.00424525,0.54958,0.658075,0.71274,0.859249,0.0253189,0.00370368,0.315979
5,snr_low,1667,7.20954,0.0553888,5.11945,1.2249,1.63068,0.787213,1.56213,-0.491528,-0.394562,-45.2093,0.409165,-0.126051,0.747965,-8.51392e-05,0.45798,0.664917,1.27906,0.872825,0.0205878,0.00349103,0.334456
5,snr_mid,1666,6.90532,0.0571941,3.63963,1.16776,1.55813,0.784088,1.5633,-0.201654,-0.366842,-22.4837,0.468244,0.0207894,0.755785,-0.0025398,0.53277,0.68103,1.47113,0.856254,0.0190569,0.00307526,0.319054
5,snr_high,1667,7.363,0.0628856,2.61776,1.15393,1.53858,0.782147,1.59934,-0.303059,-0.633993,-12.7661,0.482842,0.0585859,0.752602,-0.0101775,0.640795,0.60777,1.73686,0.847058,0.0172542,0.00302831,0.265307
5,mchirp_low,2500,3.85002,0.0556328,3.8521,1.1801,1.57359,0.777999,1.58086,-0.718626,-0.373189,-2.28025,0.464863,-0.0143155,0.753355,-0.00313893,0.792329,0.670621,0.678048,0.833777,0.0248406,0.00383397,0.35834
5,mchirp_high,2500,10.4687,0.0613467,3.73251,1.18429,1.57801,0.790966,1.56899,-4.88741,-0.556651,-2.02092,0.441845,-0.0113125,0.751033,-0.00536546,0.742122,0.63551,0.744911,0.88428,0.0252716,0.00346675,0.265806
5,merger_early,2500,7.38442,0.0818362,3.87304,1.19974,1.56138,0.787741,1.5864,-0.41041,-8.78356,-2.30652,0.458173,0.0112143,0.7464,0.00467255,0.543163,1.26391,0.731529,0.835937,0.0257765,0.00372616,0.31392
5,merger_late,2500,6.93426,0.0351434,3.71157,1.16466,1.59022,0.781225,1.56345,-0.247154,-1.08872,-1.99703,0.44856,-0.0368438,0.757755,-0.0136741,0.552364,0.634144,0.692881,0.882637,0.0248036,0.00363721,0.316674
5,q_low,1667,4.8043,0.057408,3.86742,1.18449,1.55432,0.78896,1.54716,-0.796083,-0.402805,-2.25849,0.450898,0.0240697,0.745109,0.019555,0.750287,0.658741,0.693057,0.849319,0.0249321,0.00378011,0.335113
5,q_mid,1666,7.23006,0.0581682,3.81512,1.16164,1.58707,0.782117,1.60046,-0.477097,-0.458758,-2.1448,0.469606,-0.0336778,0.751414,-0.0348025,0.593745,0.651538,0.712757,0.861908,0.0251265,0.00365093,0.313091
5,q_high,1667,9.4437,0.0598929,3.6944,1.20046,1.58602,0.78237,1.57719,-0.573967,-0.535029,-2.04753,0.440029,-0.0292815,0.759479,-0.00124754,0.515801,0.663721,0.732176,0.866349,0.025861,0.00362238,0.297838
