epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,mae_polarization_angle,mae_inclination,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,r2_polarization_angle,r2_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase,std_ratio_polarization_angle,std_ratio_inclination
5,full,5000,4.28338,0.0235338,1.18168,1.29667,1.57728,0.782385,1.56707,0.496982,0.717345,0.583974,0.418036,-0.0133327,0.753239,0.00359895,0.91462,0.831936,0.811479,0.806805,0.0129652,0.00126318,0.622934
5,snr_low,1667,4.48985,0.028063,0.87818,1.30119,1.63152,0.784783,1.56879,0.443365,0.608077,-1.0811,0.416818,-0.124354,0.749102,0.000260318,0.613759,0.701597,1.48611,0.807566,0.00850753,0.00108531,0.649328
5,snr_mid,1666,4.12443,0.0220715,1.04153,1.28172,1.55932,0.781332,1.54887,0.553853,0.751582,-1.87165,0.425192,0.0200732,0.757195,0.00660516,0.880105,0.841267,1.62542,0.808377,0.00927513,0.00114444,0.642007
5,snr_high,1667,4.23576,0.020466,1.62524,1.30709,1.54098,0.78104,1.58354,0.489009,0.790714,-4.98335,0.412132,0.0554767,0.753198,0.00371655,1.13815,0.935197,1.53371,0.80445,0.00843671,0.0011825,0.574977
5,mchirp_low,2500,4.4009,0.0264905,1.20575,1.30393,1.57564,0.776432,1.54693,-1.31347,0.639827,0.551051,0.416244,-0.0140859,0.753911,0.0259069,1.01489,0.789629,0.863113,0.802212,0.0125665,0.00120959,0.599674
5,mchirp_high,2500,4.16586,0.0205771,1.15761,1.28941,1.57891,0.788338,1.58721,-0.296636,0.795083,0.616467,0.419804,-0.0130884,0.752567,-0.0187939,1.27612,0.863896,0.756169,0.811439,0.0127381,0.00130107,0.64321
5,merger_early,2500,4.08642,0.0228225,1.19812,1.29154,1.56504,0.786479,1.58044,0.531772,-0.0554858,0.567397,0.426193,0.00883225,0.74708,0.00619695,0.941204,0.946994,0.810402,0.794335,0.0136589,0.0012455,0.601364
5,merger_late,2500,4.48034,0.0242451,1.16524,1.30179,1.58951,0.778292,1.5537,0.462469,-0.181394,0.600097,0.409547,-0.0359886,0.759162,0.000661536,0.885351,1.1945,0.812517,0.819573,0.0121594,0.00126365,0.644343
5,q_low,1667,4.29987,0.0234718,1.13899,1.31204,1.55729,0.785521,1.55938,-0.462981,0.724912,0.609945,0.411388,0.022113,0.746596,-0.000232182,1.11008,0.824549,0.830652,0.805795,0.0127304,0.00124773,0.612457
5,q_mid,1666,4.17421,0.0240015,1.17094,1.28041,1.58986,0.779821,1.53372,0.417909,0.706539,0.592964,0.42329,-0.036673,0.752236,0.0375086,0.971878,0.828485,0.818363,0.809536,0.0132006,0.0012786,0.618958
5,q_high,1667,4.37599,0.0231284,1.2351,1.29754,1.58469,0.781812,1.60809,0.602154,0.720139,0.54795,0.419422,-0.0266556,0.76033,-0.0303706,0.899276,0.842638,0.784288,0.805133,0.0128985,0.00125747,0.637455
5,q_low_mchirp_low,1241,4.38227,0.0242638,1.14719,1.32721,1.56846,0.782528,1.5528,-2.3118,0.705086,0.603603,0.407092,-0.00160502,0.747033,0.00802225,1.25505,0.811868,0.845831,0.798273,0.0125554,0.00122682,0.605312
5,q_low_mchirp_high,426,4.05982,0.0211645,1.11512,1.26783,1.52473,0.794242,1.57854,-6.56146,0.783808,0.628521,0.42384,0.0872321,0.744975,-0.0242674,2.3597,0.859592,0.7842,0.829557,0.0127331,0.00129889,0.630484
5,q_high_mchirp_low,544,4.48936,0.0289548,1.3364,1.28757,1.56359,0.784441,1.57959,-0.881263,0.556295,0.436703,0.429778,0.0096387,0.760421,0.0219856,0.824469,0.746569,0.856924,0.798784,0.0117591,0.0011853,0.593158
5,q_high_mchirp_high,1123,4.32107,0.0203059,1.18602,1.30238,1.59492,0.780538,1.6219,-0.255475,0.795892,0.59962,0.414347,-0.044569,0.759777,-0.0565747,1.30536,0.869263,0.745528,0.808191,0.0127596,0.0012831,0.656812
10,full,5000,2.80401,0.0187399,0.939927,1.24523,1.57778,0.784556,1.56782,0.772182,0.813147,0.737448,0.378874,-0.0139152,0.752167,0.00186616,0.902369,0.968421,0.856302,0.608416,0.00819285,0.00217018,1.04912
10,snr_low,1667,3.34422,0.0209328,1.08666,1.24519,1.63217,0.787276,1.58944,0.635514,0.757801,-2.08042,0.378529,-0.124783,0.747882,-0.0270203,0.744531,0.888737,1.46941,0.605333,0.00519685,0.00152656,1.08251
10,snr_mid,1666,2.64404,0.0179749,0.919647,1.22869,1.55934,0.784114,1.55941,0.81925,0.829668,-1.10714,0.385581,0.0204209,0.755807,-0.000387448,0.915978,0.987308,1.64829,0.609071,0.00542688,0.00160534,1.07049
10,snr_high,1667,2.42369,0.0173114,0.81346,1.26182,1.54182,0.782278,1.55461,0.856475,0.851091,-0.749679,0.372546,0.0538361,0.752596,0.031996,1.02121,1.02336,1.2837,0.610755,0.00436586,0.00159748,0.98885
10,mchirp_low,2500,2.2032,0.0202356,0.970632,1.24823,1.57698,0.778135,1.59116,0.436419,0.773791,0.716335,0.377454,-0.01493,0.753355,-0.0197454,0.968255,0.933664,0.876775,0.597285,0.00823198,0.00221533,1.055
10,mchirp_high,2500,3.40483,0.0172441,0.909223,1.24224,1.57858,0.790977,1.54448,0.141068,0.852602,0.758286,0.380262,-0.0134119,0.750989,0.02354,1.0164,1.00186,0.834297,0.619392,0.00806127,0.0019275,1.04309
10,merger_early,2500,2.82088,0.0175238,0.95729,1.23797,1.56663,0.787736,1.5854,0.772195,0.380055,0.724578,0.387451,0.0070604,0.746409,-0.00281682,0.908655,0.921114,0.863815,0.593219,0.00826357,0.00219746,1.01302
10,merger_late,2500,2.78715,0.0199559,0.922565,1.2525,1.58893,0.781376,1.55025,0.772139,0.146318,0.749972,0.369948,-0.0353612,0.757702,0.0064045,0.895563,1.2069,0.848943,0.623673,0.0081162,0.00212685,1.08403
10,q_low,1667,2.00707,0.0181775,0.943391,1.25587,1.55844,0.789085,1.58233,0.670276,0.82994,0.73515,0.373453,0.021199,0.745131,-0.0292897,1.00219,0.974489,0.859188,0.604636,0.00808366,0.00218784,1.06592
10,q_mid,1666,2.79048,0.0186997,0.929549,1.23452,1.59103,0.782144,1.56796,0.752456,0.810552,0.739456,0.382648,-0.0389721,0.751419,0.0025391,0.954434,0.967816,0.861622,0.611283,0.00837327,0.00214569,1.04693
10,q_high,1667,3.61449,0.0193424,0.946836,1.24531,1.58388,0.782437,1.55319,0.731557,0.798392,0.737445,0.380497,-0.0251968,0.759389,0.0278212,0.894441,0.962174,0.847201,0.609347,0.00810257,0.00210499,1.0361
10,q_low_mchirp_low,1241,1.89222,0.0185824,0.957557,1.27001,1.57007,0.784687,1.58529,0.350897,0.822332,0.726632,0.367156,-0.00236538,0.746757,-0.0342928,1.10938,0.961849,0.859441,0.596465,0.00810855,0.00220474,1.0618
10,q_low_mchirp_high,426,2.34163,0.0169979,0.902126,1.21467,1.52457,0.801896,1.57368,-1.35175,0.852437,0.760102,0.392112,0.0858889,0.740083,-0.0147475,1.48879,1.01147,0.858066,0.629919,0.00795773,0.0020213,1.07721
10,q_high_mchirp_low,544,2.56154,0.0231969,0.989392,1.23137,1.56491,0.782757,1.60549,0.462027,0.684831,0.707039,0.391018,0.00842981,0.761131,-5.80954e-05,0.823527,0.872712,0.875997,0.590624,0.00780543,0.00214362,1.04016
10,q_high_mchirp_high,1123,4.12456,0.0174753,0.926222,1.25206,1.59307,0.782282,1.52785,-0.091521,0.850862,0.751564,0.37534,-0.0418105,0.758028,0.0417361,1.03894,0.998763,0.832518,0.618147,0.00814454,0.00191271,1.03407
15,full,5000,2.13809,0.0157509,0.946936,1.37648,1.57735,0.786469,1.58004,0.863869,0.868917,0.730895,0.199075,-0.0134976,0.751294,-0.00801943,0.870778,0.988421,0.856278,1.08266,0.00781366,0.00398794,0.142854
15,snr_low,1667,2.43157,0.0184135,1.19587,1.35479,1.63185,0.789386,1.59453,0.796359,0.811131,-2.60892,0.20626,-0.12471,0.746899,-0.0375078,0.793431,0.926022,1.44907,1.10243,0.00539879,0.0028648,0.134778
15,snr_mid,1666,1.91559,0.0146669,0.98046,1.38566,1.55889,0.787247,1.59043,0.900226,0.892266,-1.32354,0.19376,0.0203072,0.754205,-0.0249768,0.891762,1.0108,1.61849,1.07908,0.00556225,0.00329817,0.142586
15,snr_high,1667,2.06697,0.0141716,0.664501,1.389,1.54131,0.782775,1.55518,0.891584,0.902446,-0.185645,0.197177,0.0550943,0.75257,0.036967,0.918317,1.02431,1.16389,1.06587,0.00462565,0.00331993,0.146359
15,mchirp_low,2500,1.6213,0.0175499,0.986559,1.37492,1.57631,0.779437,1.58363,0.65942,0.833617,0.705457,0.203059,-0.0146013,0.752757,-0.0115181,0.924127,0.957668,0.876798,1.07315,0.00724589,0.00375319,0.141075
15,mchirp_high,2500,2.65488,0.0139519,0.907313,1.37804,1.5784,0.793501,1.57646,0.488893,0.904315,0.756005,0.194962,-0.0129059,0.749844,-0.00451927,0.899994,1.01849,0.834732,1.09223,0.00760106,0.00307383,0.144071
15,merger_early,2500,2.09088,0.0165629,0.966022,1.41882,1.56549,0.78964,1.57119,0.867992,0.399883,0.716394,0.228124,0.00826812,0.745788,0.0185245,0.865758,1.14568,0.864182,0.940442,0.0077959,0.00399495,0.140593
15,merger_late,2500,2.18529,0.0149388,0.927851,1.33414,1.58922,0.783299,1.5889,0.859769,0.55551,0.74501,0.168863,-0.0357473,0.756584,-0.0355481,0.875708,0.985546,0.848507,1.20912,0.00766208,0.00395496,0.144968
15,q_low,1667,1.4145,0.0163194,0.971022,1.388,1.55759,0.793469,1.60986,0.816533,0.862717,0.718918,0.182967,0.0219806,0.74271,-0.0448444,0.983064,0.979035,0.857432,1.08915,0.00732983,0.00370189,0.134012
15,q_mid,1666,2.12723,0.0157844,0.950503,1.35355,1.59007,0.784541,1.53939,0.855897,0.867849,0.727285,0.221768,-0.0374142,0.750616,0.0334448,0.914842,0.994379,0.856498,1.08831,0.00795695,0.00400367,0.1454
15,q_high,1667,2.87252,0.0151488,0.919286,1.38788,1.5844,0.781397,1.59086,0.834045,0.876167,0.746461,0.192643,-0.0262818,0.759923,-0.0171264,0.856374,0.990979,0.854574,1.07055,0.00801934,0.00402613,0.148843
15,q_low_mchirp_low,1241,1.33895,0.0167674,0.990427,1.37766,1.56913,0.7875,1.61308,0.628086,0.852414,0.711359,0.203822,-0.00190727,0.745346,-0.0536249,1.04775,0.96584,0.859947,1.08065,0.00718196,0.0036225,0.135327
15,q_low_mchirp_high,426,1.63459,0.0150142,0.914491,1.41814,1.52397,0.810855,1.60046,-0.237119,0.893332,0.741061,0.11623,0.0875732,0.73475,-0.0193105,1.33625,1.01681,0.849266,1.11624,0.0072157,0.00308681,0.129421
15,q_high_mchirp_low,544,1.97334,0.0187415,0.956409,1.39652,1.56424,0.777796,1.58354,0.66121,0.804682,0.719997,0.193111,0.00902253,0.763504,0.0194763,0.795119,0.928858,0.883171,1.0412,0.00694748,0.00373426,0.149158
15,q_high_mchirp_high,1123,3.3081,0.0134084,0.901303,1.3837,1.59417,0.783141,1.59441,0.32728,0.90921,0.758749,0.192412,-0.0437128,0.757663,-0.0354535,0.907144,1.01977,0.84062,1.08453,0.00769643,0.00305314,0.148014
20,full,5000,1.42909,0.0175328,0.858364,1.50983,1.57802,0.786579,1.56892,0.927947,0.845231,0.777921,0.138466,-0.0141149,0.751241,0.000146837,0.964045,0.973288,0.916529,1.2456,0.00831861,0.0059727,0.257487
20,snr_low,1667,1.91164,0.0181474,0.923391,1.58818,1.63242,0.789372,1.5792,0.860962,0.819227,-1.30902,0.0546593,-0.12483,0.746919,-0.0301303,0.938882,0.939445,1.43743,1.26666,0.00611346,0.00446166,0.240298
20,snr_mid,1666,1.25086,0.0163828,0.919868,1.51091,1.55936,0.787616,1.57674,0.955496,0.867761,-1.08425,0.139526,0.0203839,0.753999,-0.0171877,0.974784,0.987738,1.72699,1.23836,0.00647293,0.00503814,0.271844
20,snr_high,1667,1.12466,0.0180674,0.73187,1.4304,1.54229,0.782748,1.55082,0.964535,0.848083,-0.463224,0.220728,0.0533363,0.7526,0.0462702,0.977243,0.990272,1.28313,1.2305,0.00577366,0.0048836,0.252134
20,mchirp_low,2500,1.17532,0.0179806,0.889976,1.57612,1.5775,0.779561,1.57002,0.790352,0.833961,0.759445,0.0803857,-0.015214,0.752709,-0.0051179,1.01037,0.947461,0.921141,1.25657,0.00734944,0.00542689,0.286436
20,mchirp_high,2500,1.68286,0.017085,0.826751,1.44354,1.57855,0.793596,1.56782,0.745962,0.8565,0.796157,0.197354,-0.013528,0.749786,0.00541907,1.01757,0.998682,0.911633,1.23038,0.00771161,0.00465705,0.22466
20,merger_early,2500,1.37904,0.0161699,0.872967,1.3713,1.56703,0.789766,1.56449,0.932432,0.451086,0.767625,0.297956,0.00686947,0.745756,0.0218982,0.973005,0.930696,0.920823,0.964244,0.00811174,0.00592127,0.275607
20,merger_late,2500,1.47914,0.0188956,0.843761,1.64836,1.58902,0.783391,1.57334,0.923497,0.326001,0.787939,-0.0273569,-0.0355697,0.756511,-0.0224585,0.955149,1.16592,0.912307,1.4814,0.00805472,0.00596482,0.237291
20,q_low,1667,1.08411,0.0170034,0.862657,1.57565,1.55896,0.793546,1.58928,0.8691,0.857055,0.776735,0.0762381,0.0208609,0.742638,-0.0344862,1.04295,0.967048,0.915368,1.27161,0.00757892,0.00533124,0.246832
20,q_mid,1666,1.4339,0.0174437,0.856144,1.47631,1.591,0.784781,1.53074,0.918042,0.843266,0.778187,0.165978,-0.0389954,0.750527,0.0462769,1.00017,0.977274,0.917159,1.25132,0.00850017,0.00601334,0.256929
20,q_high,1667,1.76926,0.0181511,0.856289,1.4775,1.58412,0.781408,1.58671,0.923628,0.834953,0.778613,0.17322,-0.0254305,0.759922,-0.015725,0.965195,0.974883,0.917462,1.21336,0.00859938,0.00617133,0.267918
20,q_low_mchirp_low,1241,1.04529,0.0170929,0.88052,1.60923,1.57055,0.787456,1.59582,0.730258,0.855868,0.769629,0.0594078,-0.00264567,0.745353,-0.0486725,1.1213,0.960014,0.912292,1.27439,0.00729866,0.00516247,0.255622
20,q_low_mchirp_high,426,1.1972,0.0167425,0.810618,1.47782,1.52519,0.811288,1.5702,0.14654,0.860378,0.797551,0.127389,0.0853895,0.734452,0.00677848,1.35339,0.986203,0.924203,1.26091,0.00731366,0.00455527,0.217908
20,q_high_mchirp_low,544,1.36417,0.0195399,0.879854,1.55038,1.56596,0.777951,1.56708,0.808267,0.797849,0.758013,0.123076,0.00760759,0.763479,0.0228044,0.882606,0.913364,0.920004,1.18674,0.00693027,0.0054121,0.331524
20,q_high_mchirp_high,1123,1.9655,0.0174784,0.844873,1.4422,1.59292,0.783083,1.59622,0.702389,0.851646,0.788178,0.197793,-0.0417575,0.757675,-0.0350154,1.04085,1.0028,0.916096,1.21945,0.00771615,0.00465736,0.229428
25,full,5000,1.37394,0.0136272,0.835905,1.43244,1.57809,0.786159,1.55465,0.937304,0.902302,0.78805,0.151117,-0.0142179,0.751454,0.0156993,0.9749,1.00834,0.915576,1.1178,0.00745173,0.0101779,0.252029
25,snr_low,1667,1.7985,0.015784,0.86086,1.46621,1.63228,0.788886,1.55782,0.884109,0.855146,-1.03407,0.094461,-0.124619,0.747098,0.00406103,0.94308,0.971663,1.41996,1.15125,0.00597603,0.00797942,0.185317
25,snr_mid,1666,1.25412,0.0127476,0.879142,1.4335,1.55934,0.787109,1.54335,0.957122,0.921359,-0.964677,0.154889,0.0204827,0.75426,0.0150855,0.982798,1.02583,1.70096,1.1187,0.00640687,0.00889731,0.234509
25,snr_high,1667,1.06913,0.0123496,0.767739,1.3976,1.54264,0.782481,1.56278,0.968542,0.929672,-0.587158,0.203691,0.0527454,0.752798,0.0274247,0.997027,1.026,1.28888,1.08178,0.00614338,0.00881094,0.31131
25,mchirp_low,2500,1.21307,0.0146891,0.854718,1.49037,1.57782,0.779272,1.54713,0.781838,0.881117,0.774071,0.0785261,-0.0154437,0.752877,0.0228155,0.992665,0.978626,0.936717,1.14061,0.00594408,0.0087521,0.183113
25,mchirp_high,2500,1.53482,0.0125653,0.817093,1.3745,1.57836,0.793045,1.56218,0.799004,0.923542,0.801844,0.224738,-0.0135057,0.750043,0.00854914,1.02237,1.03745,0.893233,1.09091,0.00647677,0.00759342,0.303411
25,merger_early,2500,1.34352,0.0137647,0.852496,1.49569,1.56727,0.789216,1.56866,0.940744,0.575066,0.777203,0.160045,0.0065908,0.745962,0.0192857,0.982436,1.05254,0.919254,0.943542,0.00704733,0.0100065,0.197788
25,merger_late,2500,1.40437,0.0134898,0.819315,1.36918,1.58891,0.783101,1.54064,0.93389,0.647842,0.798607,0.141824,-0.0354942,0.75673,0.0117501,0.967346,1.07334,0.911905,1.2631,0.0071764,0.0101417,0.296551
25,q_low,1667,1.01754,0.0135001,0.823574,1.46712,1.55915,0.792221,1.51898,0.886763,0.905794,0.792425,0.108498,0.0206204,0.743313,0.0403984,1.03891,1.00203,0.919387,1.13499,0.00629594,0.00877358,0.201519
25,q_mid,1666,1.39076,0.0138119,0.838492,1.40584,1.59103,0.784097,1.59181,0.929026,0.899072,0.7859,0.176651,-0.0392025,0.750918,-0.011537,1.0129,1.01045,0.916306,1.1245,0.00759147,0.0101959,0.255518
25,q_high,1667,1.71353,0.0135697,0.845652,1.42433,1.58411,0.782156,1.5532,0.933178,0.901868,0.785576,0.16829,-0.0252903,0.759525,0.0145884,0.975703,1.01187,0.910993,1.09345,0.00797087,0.0105896,0.290378
25,q_low_mchirp_low,1241,1.00926,0.0137397,0.834591,1.47776,1.57097,0.786429,1.51415,0.74514,0.900879,0.788144,0.104944,-0.00300559,0.745875,0.0385276,1.10141,0.988945,0.921489,1.13711,0.00586029,0.008308,0.189494
25,q_low_mchirp_high,426,1.04166,0.0128024,0.791479,1.43611,1.52471,0.809092,1.53303,0.404903,0.92035,0.804965,0.118109,0.0854814,0.735568,0.0458272,1.27257,1.0391,0.911572,1.12759,0.00583603,0.00720879,0.229545
25,q_high_mchirp_low,544,1.48864,0.0160368,0.863823,1.54092,1.56649,0.780149,1.57654,0.779457,0.849679,0.768176,0.0265999,0.00709642,0.762435,0.0254533,0.866461,0.953677,0.944128,1.12013,0.00559436,0.00877398,0.17692
25,q_high_mchirp_high,1123,1.82247,0.0123746,0.836849,1.36786,1.59265,0.783129,1.54189,0.757243,0.925956,0.793655,0.237726,-0.0413,0.757593,0.00913093,1.04424,1.03886,0.895047,1.0757,0.00650795,0.00758516,0.330939
30,full,5000,1.2517,0.0148768,0.838466,1.72611,1.57838,0.785345,1.56514,0.941364,0.885386,0.786509,-0.153403,-0.0144337,0.751715,0.00386375,1.00424,0.993849,0.929743,1.15012,0.223672,0.0137687,0.116599
30,snr_low,1667,1.81905,0.0166941,0.885201,1.80012,1.63241,0.787955,1.55907,0.880954,0.843898,-1.13651,-0.256706,-0.124392,0.747433,-0.0003568,0.985011,0.976725,1.38776,1.09581,0.377436,0.0109407,0.114378
30,snr_mid,1666,1.09948,0.0142664,0.913078,1.75309,1.55964,0.78585,1.55934,0.962437,0.901736,-1.09154,-0.182107,0.0203633,0.754855,-0.00823361,1.01101,1.00827,1.73886,1.16043,0.118805,0.0120474,0.114998
30,snr_high,1667,0.836485,0.0136695,0.717162,1.62515,1.54306,0.782229,1.57701,0.978368,0.909854,-0.398727,-0.0222459,0.0520281,0.752645,0.0195013,1.01474,0.995717,1.30928,1.16574,0.00674919,0.011827,0.119297
30,mchirp_low,2500,1.15997,0.0159905,0.859791,1.82433,1.57846,0.778787,1.55198,0.750834,0.862963,0.773778,-0.30982,-0.0156919,0.752991,0.0136746,1.0814,0.973538,0.944011,1.0079,0.309062,0.0118476,0.119274
30,mchirp_high,2500,1.34343,0.0137631,0.81714,1.62789,1.57829,0.791902,1.5783,0.837344,0.907862,0.79907,0.00528991,-0.0136894,0.750448,-0.00599007,1.00579,1.01386,0.915307,1.21467,0.0692818,0.0102557,0.10808
