epoch,circular_loss_coa_phase,circular_loss_polarization_angle,kappa_sky_position,loss,mae_coa_phase,mae_inclination,mae_mchirp,mae_merger_time,mae_polarization_angle,mae_snr,r2_coa_phase,r2_inclination,r2_mchirp,r2_merger_time,r2_polarization_angle,r2_snr,std_ratio_coa_phase,std_ratio_inclination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_polarization_angle,std_ratio_snr,val_circular_loss_coa_phase,val_circular_loss_polarization_angle,val_kappa_sky_position,val_loss,val_mae_coa_phase,val_mae_inclination,val_mae_mchirp,val_mae_merger_time,val_mae_polarization_angle,val_mae_snr,val_r2_coa_phase,val_r2_inclination,val_r2_mchirp,val_r2_merger_time,val_r2_polarization_angle,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_inclination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_polarization_angle,val_std_ratio_snr,val_weight_coa_phase,val_weight_inclination,val_weight_mchirp,val_weight_merger_time,val_weight_polarization_angle,val_weight_sky_position,val_weight_snr,weight_coa_phase,weight_inclination,weight_mchirp,weight_merger_time,weight_polarization_angle,weight_sky_position,weight_snr
0,0.9966105222702026,0.999840497970581,0.15662391483783722,6.392956733703613,20.502765655517578,0.934705376625061,1.2999786138534546,0.2952641546726227,31.4384765625,0.9996717572212219,-1020.6824951171875,-1.8379735946655273,-4.579512119293213,-0.5328336954116821,-2713.36962890625,-0.5575916767120361,31.848466873168945,1.3477345705032349,2.135016918182373,0.718616247177124,31.993017196655273,0.8024019002914429,1.004948377609253,0.9961064457893372,0.09999995678663254,5.272143840789795,14.92370319366455,0.7162225246429443,0.8441618084907532,0.27520960569381714,25.71233558654785,0.8751879930496216,-615.1734008789062,-0.47136080265045166,-0.03535914421081543,-0.3494446277618408,-1661.6749267578125,-0.10960114002227783,21.098962783813477,0.5726128816604614,0.19071191549301147,0.16912074387073517,18.27964973449707,0.22318235039710999,1.0031368732452393,1.1847469806671143,1.0193266868591309,1.2182683944702148,1.0047087669372559,0.8497026562690735,1.1555941104888916,1.003300428390503,1.073166012763977,0.998818039894104,1.1061393022537231,0.9992482662200928,0.9234367609024048,1.0593653917312622
1,0.9965357780456543,0.9976549744606018,0.10000019520521164,4.884992599487305,23.920913696289062,0.7591055035591125,0.8260915279388428,0.26643452048301697,41.70645523071289,0.7527533769607544,-1756.9346923828125,-0.6941545009613037,-0.0465010404586792,-0.1969451904296875,-4630.53515625,0.13532143831253052,29.725337982177734,0.8246867656707764,0.565574586391449,0.46977582573890686,34.77839279174805,0.7257147431373596,1.0053166151046753,0.9961731433868408,0.09999995678663254,4.302768230438232,21.58400535583496,0.6930094957351685,0.7955307960510254,0.24134746193885803,40.48796844482422,0.6012996435165405,-1732.8697509765625,-0.34890592098236084,0.04312920570373535,0.024966776371002197,-4116.74560546875,0.44228678941726685,30.48935890197754,0.5941755175590515,0.44941094517707825,0.20937928557395935,28.753116607666016,0.6537620425224304,0.9949764013290405,1.4468811750411987,1.0980085134506226,1.4825246334075928,0.9996452331542969,0.7302664518356323,1.425761103630066,1.007528305053711,1.3126717805862427,1.0554603338241577,1.3468900918960571,1.0032539367675781,0.7867670059204102,1.2830557823181152
2,0.9952094554901123,0.9977532029151917,0.10000019520521164,4.090333461761475,35.891510009765625,0.7119314074516296,0.7726351618766785,0.24287766218185425,52.14109802246094,0.6524369120597839,-3316.30224609375,-0.42929142713546753,0.08092516660690308,0.005914807319641113,-6624.5029296875,0.34275782108306885,51.71796798706055,0.6516895294189453,0.6171583533287048,0.43383824825286865,35.44678497314453,0.7884197235107422,1.0052049160003662,0.9963885545730591,0.09999995678663254,4.067200660705566,27.908761978149414,0.6990944743156433,0.6994249820709229,0.20460765063762665,51.97832489013672,0.8996180295944214,-2596.901123046875,-0.3690573573112488,0.2685529589653015,0.25280076265335083,-6628.23876953125,-0.12790608406066895,39.549095153808594,0.5995096564292908,0.46320778131484985,0.3557561933994293,34.74351119995117,0.7544088959693909,1.0076366662979126,1.7440006732940674,1.2102625370025635,1.8037599325180054,1.000502109527588,0.6412793397903442,1.7484521865844727,0.9998087286949158,1.5966856479644775,1.1514906883239746,1.6386302709579468,1.00221848487854,0.683384895324707,1.5850352048873901
3,0.9952110052108765,0.9970481991767883,0.10000019520521164,3.4122097492218018,33.482505798339844,0.6938159465789795,0.7249882817268372,0.198525533080101,57.093589782714844,0.588884174823761,-3575.282470703125,-0.34543830156326294,0.18376517295837402,0.297605037689209,-7769.724609375,0.4583749771118164,47.25479507446289,0.5902497172355652,0.6518756747245789,0.5856652855873108,36.480342864990234,0.811627209186554,1.005225658416748,0.9973023533821106,0.09999995678663254,3.053842067718506,33.17367935180664,0.6677747964859009,0.6630886793136597,0.1388513296842575,58.07963180541992,0.6035357713699341,-3628.050048828125,-0.19017767906188965,0.31741660833358765,0.6273384094238281,-7807.97998046875,0.43921107053756714,47.0396614074707,0.409645140171051,0.6024295091629028,0.6949170231819153,32.246803283691406,0.8072754144668579,1.0072439908981323,2.054603338241577,1.356128454208374,2.197894334793091,1.001634120941162,0.5746708512306213,2.128852605819702,1.0069820880889893,1.900372862815857,1.280178427696228,1.9951353073120117,1.0030219554901123,0.6062151789665222,1.9342241287231445
4,0.9949097633361816,0.9971087574958801,0.10000019520521164,2.7073588371276855,41.8720817565918,0.6742868423461914,0.620270848274231,0.16061346232891083,62.87702178955078,0.5429297089576721,-4864.4970703125,-0.23457175493240356,0.3843831419944763,0.5059977769851685,-8983.8154296875,0.5386711955070496,59.821083068847656,0.48841139674186707,0.7181867361068726,0.7634958028793335,33.99921417236328,0.832478940486908,1.0050946474075317,0.9968215823173523,0.09999995678663254,2.2795677185058594,36.783912658691406,0.6499912738800049,0.564100444316864,0.11729906499385834,62.30684280395508,0.5086581707000732,-4239.27392578125,-0.08474922180175781,0.4949852228164673,0.7173445224761963,-9277.5224609375,0.5839735269546509,52.1512336730957,0.2931312322616577,0.7648687362670898,0.8319364786148071,38.565982818603516,0.8114789128303528,0.9996288418769836,2.387634038925171,1.557205319404602,2.680663585662842,1.0025722980499268,0.5245997309684753,2.569312810897827,1.005746841430664,2.2233216762542725,1.4511168003082275,2.43243145942688,1.0036636590957642,0.5483185052871704,2.3424482345581055
5,0.9952816963195801,0.9975103139877319,0.10000019520521164,2.0764458179473877,42.56694030761719,0.6698890328407288,0.5262843370437622,0.13843576610088348,68.09400939941406,0.507838785648346,-5491.37744140625,-0.20302468538284302,0.5462304353713989,0.6221390962600708,-10545.6162109375,0.595909833908081,60.61265563964844,0.45588579773902893,0.8166183829307556,0.846576452255249,36.91878890991211,0.858057975769043,1.0050125122070312,0.9969234466552734,0.09999995678663254,1.6714637279510498,41.204620361328125,0.6597826480865479,0.48267045617103577,0.10371935367584229,68.21084594726562,0.46386489272117615,-5125.556640625,-0.1465645432472229,0.6395059823989868,0.7740744948387146,-11044.337890625,0.650605320930481,58.395687103271484,0.37760430574417114,0.8815748691558838,0.8795670866966248,41.380191802978516,0.824540913105011,1.0014255046844482,2.7017953395843506,1.829620122909546,3.269278049468994,1.001417875289917,0.48695963621139526,3.0755233764648438,1.0052173137664795,2.555290460586548,1.6890991926193237,2.9667489528656006,1.0018466711044312,0.5047925710678101,2.823728561401367
6,0.9951123595237732,0.9970136880874634,0.10000019520521164,1.5226242542266846,43.289207458496094,0.6623485088348389,0.4686744511127472,0.12657548487186432,73.92512512207031,0.4866061806678772,-6052.96826171875,-0.16337555646896362,0.6323120594024658,0.683134913444519,-12335.720703125,0.6266342401504517,61.3147087097168,0.41807880997657776,0.8651331067085266,0.8765583634376526,38.88166427612305,0.8647693395614624,1.0053184032440186,0.9978924989700317,0.09999995678663254,0.9933444857597351,37.54200744628906,0.6441158056259155,0.39059486985206604,0.11839203536510468,71.01414489746094,0.4181850552558899,-5453.099609375,-0.05261474847793579,0.7512882947921753,0.7133336067199707,-11273.76171875,0.718967854976654,52.6627197265625,0.19836631417274475,0.8647597432136536,0.9035560488700867,34.091468811035156,0.8600097894668579,1.0032730102539062,2.988060474395752,2.167173147201538,3.983764171600342,1.000887393951416,0.45886415243148804,3.613799571990967,1.00385582447052,2.8530375957489014,1.9927287101745605,3.6166419982910156,1.0040048360824585,0.47214969992637634,3.3340556621551514
7,0.9951631426811218,0.9967882633209229,0.10000019520521164,0.9856013059616089,44.591217041015625,0.6577445864677429,0.42120856046676636,0.11981835961341858,76.18295288085938,0.45988160371780396,-6925.1669921875,-0.13644272089004517,0.6983346939086914,0.7136597633361816,-13500.359375,0.6670404672622681,60.232486724853516,0.384283185005188,0.8898603320121765,0.8960239887237549,44.9541015625,0.8697445392608643,1.005131721496582,0.9977418184280396,0.09999995678663254,0.6636924147605896,48.42774200439453,0.6425308585166931,0.40916332602500916,0.11392881721258163,71.73155212402344,0.4453197121620178,-7567.20166015625,-0.041965484619140625,0.7408948540687561,0.732208251953125,-11608.3720703125,0.6826567649841309,68.66921997070312,0.18726004660129547,0.95681232213974,0.9460047483444214,35.90315246582031,0.920090913772583,1.0055873394012451,3.2257022857666016,2.5822675228118896,4.848741054534912,1.0008314847946167,0.4381714463233948,4.195815563201904,1.0030239820480347,3.116702079772949,2.3689491748809814,4.40493631362915,1.003177285194397,0.4479241669178009,3.9171948432922363
8,0.9948791265487671,0.9969769716262817,0.10000019520521164,0.5164608359336853,51.92330551147461,0.6533838510513306,0.3905957341194153,0.11472796648740768,76.197998046875,0.4462905824184418,-8933.4814453125,-0.11116880178451538,0.7399407029151917,0.7370237112045288,-13670.849609375,0.6865373253822327,73.7935791015625,0.3480244576931,0.907052218914032,0.9191040992736816,46.82901382446289,0.8757637143135071,1.005143404006958,0.9977676868438721,0.09999995678663254,0.40727582573890686,51.46179962158203,0.6981322169303894,0.3590106964111328,0.15132072567939758,76.13430786132812,0.41871386766433716,-8737.259765625,-0.377138614654541,0.7981979846954346,0.579954206943512,-13043.947265625,0.7238640785217285,72.99906921386719,0.5958898663520813,0.946072518825531,0.9129761457443237,37.665435791015625,0.8348522782325745,1.0035450458526611,3.423415422439575,3.0844807624816895,5.893589019775391,1.002395510673523,0.42322245240211487,4.804412364959717,1.0063598155975342,3.3356821537017822,2.826942205429077,5.357439994812012,1.0041738748550415,0.43024295568466187,4.507012367248535
9,0.9947892427444458,0.9967671036720276,0.10000019520521164,0.0840054452419281,52.46031951904297,0.6509036421775818,0.3675859272480011,0.10797616094350815,79.68242645263672,0.43145424127578735,-9557.583984375,-0.10189950466156006,0.7665618658065796,0.7671894431114197,-13493.7998046875,0.7061115503311157,73.97832489013672,0.3413620591163635,0.9227896332740784,0.9216299057006836,29.666208267211914,0.8749523758888245,1.0051777362823486,0.9987632632255554,0.09999995678663254,-0.22940587997436523,51.54762649536133,0.6390885710716248,0.3925588130950928,0.09331014752388,76.199462890625,0.40325936675071716,-9135.935546875,-0.01775270700454712,0.7724515199661255,0.8131470680236816,-12482.3203125,0.73744797706604,73.14539337158203,0.1366182416677475,0.9775305390357971,0.9684206247329712,29.000022888183594,0.8563017249107361,1.0097919702529907,3.553314685821533,3.6646323204040527,7.1586174964904785,1.0039124488830566,0.41272616386413574,5.435180187225342,1.0032378435134888,3.48533296585083,3.3753662109375,6.509028434753418,1.0015286207199097,0.4176231622695923,5.118493556976318
