epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
5,full,5000,2.92096,0.394596,0.0178826,1.16476,0.755794,-3.49805,0.823837,0.598848,0.904434,0,0.95666,0.73587
5,snr_low,1667,3.33024,0.403114,0.0214545,1.63904,0.653876,-3.68737,0.736587,-5.37222,0.780743,1.05772e-15,0.913098,1.62629
5,snr_mid,1666,2.73432,0.387891,0.0169737,1.09518,0.802048,-3.37889,0.84781,-1.79075,0.900369,2.10449e-15,0.96161,1.44182
5,snr_high,1667,2.69821,0.392779,0.015219,0.760011,0.806764,-3.44232,0.885872,-0.480751,0.999218,1.04886e-15,0.992819,0.908517
5,mchirp_low,2500,2.95627,0.473904,0.0196218,1.1707,-0.0580069,-4.67815,0.784242,0.589722,1.0601,0,0.93442,0.736431
5,mchirp_high,2500,2.88564,0.315288,0.0161435,1.15882,0.333952,-3.49557,0.863534,0.607832,1.06912,0,0.973882,0.735307
5,merger_early,2500,2.90117,0.396394,0.018534,1.17543,0.755008,-3.45646,0.210147,0.583191,0.906019,0,1.12171,0.754035
5,merger_late,2500,2.94075,0.392798,0.0172313,1.15409,0.756539,-3.54212,0.387094,0.614075,0.902008,0,1.10437,0.717705
5,q_low,1667,3.10944,0.641778,0.0177083,1.17331,0.23525,-51.5621,0.834171,0.588205,1.03946,2.4844e-15,0.952626,0.734028
5,q_mid,1666,2.70615,0.383456,0.0179751,1.16748,0.741766,-32.8399,0.814335,0.602577,0.951308,6.63675e-15,0.956794,0.741237
5,q_high,1667,2.94716,0.158548,0.0179645,1.15349,0.804603,-6.12279,0.82262,0.60541,0.902341,3.46542e-15,0.960654,0.732608
5,q_low_mchirp_low,1241,3.20931,0.662634,0.0183001,1.17465,-0.790999,-55.3076,0.823455,0.586904,1.18542,0,0.944355,0.727831
5,q_low_mchirp_high,426,2.81849,0.581019,0.0159844,1.16941,-2.55459,-106.423,0.865975,0.592015,1.78587,3.94246e-15,0.977174,0.751869
5,q_high_mchirp_low,544,2.67571,0.15539,0.0220582,1.18974,0.321432,-5.53139,0.720712,0.580756,0.9273,0,0.915042,0.724803
5,q_high_mchirp_high,1123,3.07866,0.160077,0.0159814,1.13592,0.301388,-6.45046,0.869721,0.616853,1.09656,0,0.971578,0.736085
10,full,5000,4.59525,0.394596,0.0241658,3.90857,0.454694,-3.49805,0.721406,-2.18807,0.731697,7.19092e-09,0.836567,0.665594
10,snr_low,1667,4.76723,0.403114,0.0234363,5.10225,0.302362,-3.68737,0.710387,-44.2292,0.654221,1.25137e-08,0.81878,1.10242
10,snr_mid,1666,4.25207,0.387891,0.02227,3.85158,0.556193,-3.37889,0.76639,-24.2494,0.723879,2.10449e-15,0.840083,1.17957
10,snr_high,1667,4.76624,0.392779,0.0267901,2.77185,0.49641,-3.44232,0.686622,-12.9402,0.807477,1.04886e-15,0.839305,1.30053
10,mchirp_low,2500,2.75544,0.473904,0.02549,3.91373,0.145284,-4.67815,0.686075,-2.232,0.808987,0,0.823124,0.644787
10,mchirp_high,2500,6.43505,0.315288,0.0228417,3.90341,-1.33328,-3.49557,0.756794,-2.14492,0.848382,1.27217e-08,0.8499,0.685532
10,merger_early,2500,4.69237,0.396394,0.0185292,3.92367,0.437023,-3.45646,0.240337,-2.25226,0.72337,0,0.911681,0.675495
10,merger_late,2500,4.49812,0.392798,0.0298024,3.89347,0.472117,-3.54212,-0.426716,-2.12581,0.739146,1.02792e-08,1.09223,0.655829
10,q_low,1667,3.0909,0.641778,0.0238445,3.96221,0.265484,-51.5621,0.734357,-2.26478,0.833894,2.4844e-15,0.838986,0.65815
10,q_mid,1666,4.68739,0.383456,0.0246978,3.92607,0.378869,-32.8399,0.705334,-2.17693,0.763316,3.92708e-08,0.826928,0.670258
10,q_high,1667,6.0075,0.158548,0.0239556,3.83744,0.362281,-6.12279,0.723994,-2.12499,0.728705,3.46542e-15,0.843193,0.668624
10,q_low_mchirp_low,1241,2.57857,0.662634,0.0244857,3.96634,-0.130927,-55.3076,0.718902,-2.27525,0.929131,0,0.838284,0.649514
10,q_low_mchirp_high,426,4.58338,0.581019,0.0219764,3.95019,-6.33566,-106.423,0.780185,-2.2341,1.37144,3.94246e-15,0.841125,0.682791
10,q_high_mchirp_low,544,2.92302,0.15539,0.0263962,3.76407,0.289045,-5.53139,0.641983,-2.13892,0.682896,0,0.807233,0.609196
10,q_high_mchirp_high,1123,7.50167,0.160077,0.0227733,3.87298,-1.78253,-6.45046,0.761293,-2.11861,0.880685,0,0.859798,0.694173
15,full,5000,1.5861,0.394596,0.0140908,1.27706,0.902288,-3.49805,0.889119,0.523793,0.909527,0,0.948018,0.860313
15,snr_low,1667,2.36938,0.403114,0.0169027,0.701046,0.795384,-3.68737,0.825823,-0.298987,0.80806,1.05772e-15,0.917218,1.00118
15,snr_mid,1666,1.40919,0.387891,0.0135013,1.43298,0.937904,-3.37889,0.905417,-3.62134,0.92556,2.10449e-15,0.958395,1.63044
15,snr_high,1667,0.979628,0.392779,0.0118681,1.69724,0.969553,-3.44232,0.935244,-5.5527,0.982838,1.04886e-15,0.966771,1.68436
15,mchirp_low,2500,1.42605,0.473904,0.0155244,1.34838,0.652784,-4.67815,0.85671,0.467329,0.941622,0,0.932418,0.854345
15,mchirp_high,2500,1.74616,0.315288,0.0126572,1.20573,0.690791,-3.49557,0.921622,0.579539,0.990358,0,0.963371,0.863853
15,merger_early,2500,1.55405,0.396394,0.0134387,1.26668,0.904474,-3.45646,0.588267,0.51991,0.90948,0,1.0366,0.871342
15,merger_late,2500,1.61815,0.392798,0.0147429,1.28743,0.90011,-3.54212,0.534391,0.527528,0.90929,0,1.08888,0.849455
15,q_low,1667,1.43714,0.641778,0.0136972,1.25786,0.785701,-51.5621,0.899055,0.535715,0.998239,2.4844e-15,0.94393,0.860017
15,q_mid,1666,1.47852,0.383456,0.0145375,1.24343,0.897767,-32.8399,0.876629,0.558014,0.945679,6.63675e-15,0.948582,0.863555
15,q_high,1667,1.84259,0.158548,0.014038,1.32985,0.899571,-6.12279,0.891382,0.476166,0.90457,3.46542e-15,0.950989,0.857712
15,q_low_mchirp_low,1241,1.42038,0.662634,0.0141892,1.29158,0.534022,-55.3076,0.888036,0.512371,1.05778,0,0.940748,0.852244
15,q_low_mchirp_high,426,1.48598,0.581019,0.0122642,1.15966,-0.23497,-106.423,0.931871,0.604099,1.44292,3.94246e-15,0.953317,0.879861
15,q_high_mchirp_low,544,1.50975,0.15539,0.0175901,1.5204,0.693649,-5.53139,0.819431,0.312285,0.813316,0,0.912435,0.84465
15,q_high_mchirp_high,1123,2.00382,0.160077,0.0123173,1.23755,0.626758,-6.45046,0.924714,0.552287,1.01359,0,0.967369,0.85933
20,full,5000,1.59238,0.394596,0.0139269,0.986545,0.8951,-3.49805,0.891242,0.702561,0.879553,0,0.965119,0.884534
20,snr_low,1667,2.37477,0.403114,0.0162554,1.23553,0.773561,-3.68737,0.829761,-2.92162,0.807874,1.05772e-15,0.94102,1.49088
20,snr_mid,1666,1.35067,0.387891,0.0132617,1.05183,0.942143,-3.37889,0.911953,-1.71464,0.893487,2.10449e-15,0.971071,1.74387
20,snr_high,1667,1.05155,0.392779,0.0122632,0.672317,0.964627,-3.44232,0.931118,-0.227526,0.926548,1.04886e-15,0.98261,1.22395
20,mchirp_low,2500,1.1714,0.473904,0.0153708,0.993173,0.78553,-4.67815,0.860378,0.698232,0.921714,0,0.955876,0.883756
20,mchirp_high,2500,2.01335,0.315288,0.0124829,0.979916,0.579231,-3.49557,0.922195,0.706815,0.948952,0,0.973951,0.885091
20,merger_early,2500,1.6153,0.396394,0.0142297,1.00606,0.889667,-3.45646,0.518429,0.685127,0.882064,0,1.05512,0.891088
