epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
5,full,5000,6.5814,0.0380194,5.29121,1.57983,0.891346,1.56328,-0.275506,0.253449,-4.72463,-0.015366,-1.49461,-0.000898633,0.644232,0.818169,0.737297,0.589631,0.349166,0.199346
5,snr_low,1667,8.64774,0.0509019,6.57744,1.57248,0.837461,1.49974,-1.02575,-0.237693,-73.7805,-0.000396888,-1.2547,0.00746059,0.402839,0.554711,1.16799,0.625096,0.325813,0.170788
5,snr_mid,1666,6.67021,0.0350273,5.14856,1.58583,0.88216,1.58449,-0.197621,0.381425,-44.1405,-0.0283737,-1.54139,-0.00460753,0.543894,0.755838,1.5153,0.540426,0.361078,0.190324
5,snr_high,1667,4.42631,0.0281272,4.14754,1.58117,0.954411,1.60561,0.378725,0.60995,-30.5223,-0.0176248,-1.67794,-0.00508417,0.743398,0.869666,1.9235,0.598792,0.32951,0.186433
5,mchirp_low,2500,3.29174,0.0400845,5.15116,1.56514,0.91676,1.56898,-0.371196,0.180678,-4.50192,0.0110468,-1.62742,-0.010447,0.896921,0.733969,0.692974,0.538373,0.31107,0.19077
5,mchirp_high,2500,9.87106,0.0359542,5.43126,1.59451,0.865932,1.55757,-4.8101,0.326286,-4.94513,-0.042823,-1.3658,0.00807144,1.03359,0.888649,0.772864,0.637524,0.369673,0.188107
5,merger_early,2500,6.50681,0.0510947,5.28878,1.57285,0.954419,1.57668,-0.266642,-3.88417,-4.81557,0.00255455,-1.77798,-0.00323452,0.649386,1.51415,0.723958,0.422384,0.302001,0.198125
5,merger_late,2500,6.656,0.024944,5.29364,1.5868,0.828272,1.54987,-0.284454,-0.161043,-4.63657,-0.0340736,-1.20982,0.001373,0.639105,1.09884,0.750024,0.718695,0.360956,0.196899
5,q_low,1667,4.13834,0.0390295,5.31115,1.55579,0.907405,1.58392,-0.522547,0.233454,-4.73779,0.0220526,-1.57179,-0.00343024,0.903437,0.78172,0.727373,0.591511,0.317511,0.1947
5,q_mid,1666,6.7392,0.0379536,5.31257,1.60375,0.880301,1.5538,-0.445698,0.251714,-4.69808,-0.0707664,-1.49142,0.00475856,0.706694,0.812674,0.743052,0.588554,0.363534,0.200403
5,q_high,1667,8.86677,0.0370749,5.24992,1.57995,0.886325,1.5521,-0.542101,0.274743,-4.74463,-0.000584634,-1.42358,-0.00428236,0.61244,0.853773,0.741695,0.588745,0.357901,0.201318
5,q_low_mchirp_low,1241,3.24679,0.0393738,5.24399,1.54609,0.907107,1.57993,-1.03029,0.226171,-4.60695,0.0518296,-1.61484,-0.0129828,1.11446,0.742578,0.710822,0.58466,0.315753,0.189856
5,q_low_mchirp_high,426,6.73556,0.0380267,5.50682,1.58408,0.908274,1.59554,-16.2952,0.254025,-5.12106,-0.0790435,-1.46361,0.0221774,2.28415,0.882656,0.767638,0.614592,0.317219,0.192051
5,q_high_mchirp_low,544,3.20852,0.0420884,4.96073,1.56184,0.954468,1.57902,0.0355313,0.0909623,-4.39383,0.0207145,-1.71554,-0.0188879,0.714223,0.726706,0.642894,0.424911,0.28794,0.180818
5,q_high_mchirp_high,1123,11.6077,0.0346463,5.39001,1.58872,0.853315,1.53906,-5.98079,0.357841,-4.90775,-0.0109635,-1.28137,0.00260219,1.02536,0.907468,0.776815,0.652036,0.37619,0.186698
10,full,5000,4.11981,0.0194534,2.45725,1.57879,0.548768,1.58469,0.489325,0.793641,-0.575096,-0.0180201,0.063873,-0.0217954,0.722158,0.855667,0.514633,0.301337,0.378353,0.796593
10,snr_low,1667,5.42531,0.0229661,4.00203,1.59846,0.554447,1.5821,0.112522,0.695727,-27.7896,-0.0353418,0.022962,-0.0728026,0.591109,0.800038,1.28525,0.287229,0.316068,0.761853
10,snr_mid,1666,3.85769,0.0177352,2.47366,1.58551,0.545833,1.59148,0.594693,0.83426,-10.0886,-0.0318387,0.0451759,-0.0159271,0.697233,0.872631,1.02094,0.316822,0.385548,0.762539
10,snr_high,1667,3.07627,0.0176578,0.896056,1.55241,0.546022,1.58049,0.747697,0.849406,-0.997075,0.0130708,0.118486,0.0190725,0.822791,0.876558,0.885071,0.290211,0.416534,0.853077
10,mchirp_low,2500,2.22163,0.0215274,2.61206,1.5717,0.547015,1.59213,0.383377,0.743735,-0.744562,0.0102604,0.0586266,-0.0325137,0.769045,0.827527,0.521452,0.293131,0.371347,0.823323
10,mchirp_high,2500,6.01798,0.0173794,2.30243,1.58588,0.55052,1.57724,-1.28825,0.843681,-0.407797,-0.0474071,0.068539,-0.0116757,0.899207,0.883026,0.498896,0.306248,0.385183,0.769126
10,merger_early,2500,4.14393,0.0198764,2.43104,1.58226,0.550624,1.59477,0.473615,0.0490903,-0.568958,-0.0138333,0.0545872,-0.0271865,0.72494,1.02539,0.525302,0.311634,0.358145,0.797311
10,merger_late,2500,4.09569,0.0190304,2.48346,1.57532,0.546912,1.57461,0.50481,0.306025,-0.581257,-0.0227409,0.0722438,-0.0164176,0.719244,1.06355,0.503333,0.290481,0.370945,0.795811
