epoch,loss,mae_coa_phase,mae_declination,mae_mchirp,mae_merger_time,mae_ra,mae_snr,r2_coa_phase,r2_declination,r2_mchirp,r2_merger_time,r2_ra,r2_snr,std_ratio_coa_phase,std_ratio_declination,std_ratio_mchirp,std_ratio_merger_time,std_ratio_ra,std_ratio_snr,val_loss,val_mae_coa_phase,val_mae_declination,val_mae_mchirp,val_mae_merger_time,val_mae_ra,val_mae_snr,val_r2_coa_phase,val_r2_declination,val_r2_mchirp,val_r2_merger_time,val_r2_ra,val_r2_snr,val_std_ratio_coa_phase,val_std_ratio_declination,val_std_ratio_mchirp,val_std_ratio_merger_time,val_std_ratio_ra,val_std_ratio_snr,val_weight_coa_phase,val_weight_declination,val_weight_mchirp,val_weight_merger_time,val_weight_ra,val_weight_snr,weight_coa_phase,weight_declination,weight_mchirp,weight_merger_time,weight_ra,weight_snr
0,2.238511085510254,0.8582304120063782,0.21738921105861664,0.9560396671295166,0.27456608414649963,0.7009806632995605,1.2518903017044067,-1.2400789260864258,-0.5150172710418701,-0.4067162275314331,-0.2874433994293213,-0.387736976146698,-3.037982940673828,0.8518207669258118,0.7166609764099121,0.6519235968589783,0.5405128598213196,0.6237210035324097,1.7741591930389404,2.867471933364868,0.8722812533378601,0.18737444281578064,0.8692588806152344,0.2568703889846802,0.655453622341156,2.164623975753784,-1.3475890159606934,-0.11385178565979004,-0.09604489803314209,-0.10680735111236572,-0.12228596210479736,-4.773247241973877,1.1203471422195435,0.32561302185058594,0.282370924949646,0.23809044063091278,0.30828970670700073,0.27088671922683716,1.040371060371399,1.0400160551071167,1.041744589805603,1.0400890111923218,1.0404354333877563,1.0056519508361816,1.0201220512390137,1.0199787616729736,1.020780086517334,1.0200226306915283,1.0201884508132935,1.0001152753829956
1,1.1291334629058838,0.8154692649841309,0.2045142650604248,0.6975761651992798,0.2474881261587143,0.6317599415779114,0.6553905010223389,-1.0826592445373535,-0.34309279918670654,0.2113918662071228,-0.05674314498901367,-0.1391785740852356,0.3190653920173645,0.8355410099029541,0.6468396186828613,0.7099872827529907,0.5005908012390137,0.5767626762390137,0.8213605284690857,1.4576739072799683,0.8991749882698059,0.2002180516719818,0.9891464114189148,0.22784487903118134,0.6926037669181824,0.7423869967460632,-1.4887076616287231,-0.2866029739379883,-0.4618973731994629,0.02148616313934326,-0.4132830500602722,0.14862388372421265,1.1967058181762695,0.5245991349220276,0.6861104369163513,0.507249653339386,0.5875190496444702,0.7869743704795837,1.1249263286590576,1.124937891960144,1.1431734561920166,1.1253432035446167,1.1276472806930542,1.0531820058822632,1.0833733081817627,1.0821691751480103,1.0958830118179321,1.0823569297790527,1.084591269493103,1.0287810564041138
2,0.5288650393486023,0.7203596234321594,0.2005142718553543,0.6815577745437622,0.19166146218776703,0.6397570371627808,0.6199128031730652,-0.5436304807662964,-0.2794078588485718,0.2598925232887268,0.30823612213134766,-0.1482638120651245,0.3958449363708496,0.755225658416748,0.5866525173187256,0.7890041470527649,0.7094660401344299,0.5457297563552856,0.9234000444412231,10.064224243164062,0.936883807182312,0.47342485189437866,5.470047950744629,0.3129516839981079,0.9551975131034851,3.3298346996307373,-1.7126760482788086,-4.863619327545166,-29.018638610839844,-0.7299877405166626,-1.8094149827957153,-11.479071617126465,1.3065376281738281,0.0911070853471756,1.0879536867141724,0.658998429775238,1.3512080907821655,0.8883451223373413,1.280273199081421,1.265247106552124,1.2943679094314575,1.2677392959594727,1.2646586894989014,1.1464321613311768,1.1982415914535522,1.194075584411621,1.2194627523422241,1.1953576803207397,1.1968821287155151,1.0988420248031616
3,-0.4219472110271454,0.6404100656509399,0.1957857757806778,0.5471230745315552,0.1489463895559311,0.6421380043029785,0.5224971771240234,-0.1299838423728943,-0.21662425994873047,0.5062216520309448,0.5560862421989441,-0.13856810331344604,0.5658634901046753,0.4989752471446991,0.5395230650901794,0.8484592437744141,0.8404183387756348,0.5097581148147583,0.9158095717430115,3.0114872455596924,0.8500033617019653,0.341746062040329,1.1219192743301392,0.336264967918396,0.8207532167434692,2.4539554119110107,-1.2272422313690186,-2.4730966091156006,-0.8702961206436157,-0.9371713399887085,-1.10395085811615,-5.572281360626221,1.0740388631820679,0.36608245968818665,1.3174338340759277,0.6317713260650635,1.051405429840088,0.6686270833015442,1.5221136808395386,1.4793280363082886,1.5476562976837158,1.4866220951080322,1.4634201526641846,1.3084561824798584,1.4027765989303589,1.3701328039169312,1.420080542564392,1.3749074935913086,1.3636901378631592,1.2257802486419678
4,-1.4942684173583984,0.6195785999298096,0.1864810436964035,0.43626609444618225,0.1231764703989029,0.6226105690002441,0.44431009888648987,-0.05743825435638428,-0.08821523189544678,0.6811376810073853,0.688747763633728,-0.03619384765625,0.6858377456665039,0.4807814657688141,0.43704062700271606,0.9081727862358093,0.8910704851150513,0.40903717279434204,0.917762279510498,2.209932327270508,0.8340681195259094,0.2818174362182617,0.9441004991531372,0.18888764083385468,0.8164491653442383,2.2916855812072754,-1.148302674293518,-1.494837999343872,-0.2969222068786621,0.25348877906799316,-1.0064088106155396,-4.724877834320068,0.9056503772735596,0.34916311502456665,0.7792619466781616,0.8181887865066528,0.36679741740226746,0.7372899651527405,1.8490831851959229,1.7980607748031616,1.9427083730697632,1.813605546951294,1.7484886646270752,1.5671616792678833,1.6889537572860718,1.6343656778335571,1.7442647218704224,1.6456239223480225,1.6054221391677856,1.4342591762542725
5,-2.6576945781707764,0.5858059525489807,0.18345843255519867,0.33116111159324646,0.11214331537485123,0.6008040904998779,0.3874044120311737,0.06568974256515503,-0.04229092597961426,0.8116271495819092,0.7421936392784119,0.04059112071990967,0.7599232196807861,0.4348858892917633,0.41875746846199036,0.9338655471801758,0.9288234114646912,0.39328157901763916,0.9233785271644592,0.033578090369701385,0.6934163570404053,0.259628027677536,0.7490813732147217,0.11570103466510773,0.7386728525161743,1.620406150817871,-0.3481103181838989,-1.153031349182129,0.1826610565185547,0.7047157287597656,-0.575036883354187,-2.0735795497894287,0.5879645347595215,0.32812631130218506,0.8619375228881836,0.83555006980896,0.2788490355014801,0.5996133685112,2.2241342067718506,2.183563470840454,2.451171636581421,2.2107770442962646,2.0736336708068848,1.8890044689178467,2.0417592525482178,1.9856892824172974,2.1944949626922607,2.00673770904541,1.911203145980835,1.7245097160339355
6,-3.6778526306152344,0.5607720613479614,0.18335817754268646,0.29229220747947693,0.10409292578697205,0.5746104717254639,0.37413179874420166,0.13301345705986023,-0.053421974182128906,0.8538019061088562,0.7765257358551025,0.11530265212059021,0.7771538496017456,0.469761461019516,0.47703078389167786,0.9550710320472717,0.940222978591919,0.4020066559314728,0.936526358127594,3.60368013381958,0.7252876162528992,0.1841363161802292,1.492431879043579,0.13891205191612244,0.7309943437576294,2.415217876434326,-0.5303702354431152,-0.07761168479919434,-1.4908931255340576,0.5820369720458984,-0.5280411243438721,-5.304564476013184,0.4423339366912842,0.47016552090644836,0.7843431234359741,0.8567327260971069,0.48355206847190857,0.6143644452095032,2.634917974472046,2.647797107696533,3.0590662956237793,2.6929376125335693,2.4406049251556396,2.270591974258423,2.438202142715454,2.409315347671509,2.750743865966797,2.4454410076141357,2.261927604675293,2.0797507762908936
7,-4.575445175170898,0.5472697615623474,0.1793171465396881,0.28663596510887146,0.10064070671796799,0.5619325041770935,0.35963910818099976,0.16064324975013733,-0.0012072324752807617,0.8603981733322144,0.7908886671066284,0.15058517456054688,0.7926304340362549,0.49388793110847473,0.45609766244888306,0.9638285040855408,0.9458858966827393,0.41288939118385315,0.9334399104118347,-1.2109202146530151,0.7024675011634827,0.2311045378446579,0.717603325843811,0.11972837150096893,0.6745509505271912,1.29423987865448,-0.4307035207748413,-0.7399543523788452,0.27234017848968506,0.6787064075469971,-0.22355806827545166,-1.238863229751587,0.5508571267127991,0.3432520627975464,0.7663878202438354,0.8000962138175964,0.4451250731945038,0.43329882621765137,3.0651776790618896,3.2075138092041016,3.7682952880859375,3.277373790740967,2.8364336490631104,2.7156527042388916,2.864720344543457,2.9205334186553955,3.3999571800231934,2.977531909942627,2.645686626434326,2.49145245552063
8,-5.410644054412842,0.526242733001709,0.17866310477256775,0.25637006759643555,0.09771467745304108,0.5681817531585693,0.3548696041107178,0.22297653555870056,0.006823062896728516,0.8873137831687927,0.8023510575294495,0.09614336490631104,0.7993897795677185,0.49227839708328247,0.4588046371936798,0.9654034972190857,0.9494629502296448,0.5062233209609985,0.934837818145752,-2.139216899871826,0.7320114374160767,0.20202994346618652,0.5974894165992737,0.09990601241588593,0.6848725080490112,1.0529744625091553,-0.572711169719696,-0.33359384536743164,0.45126426219940186,0.7739985585212708,-0.2936134934425354,-0.632880687713623,0.48312219977378845,0.4514768421649933,0.8157542943954468,0.8965365290641785,0.42833995819091797,0.38495713472366333,3.5279781818389893,3.8795883655548096,4.620438098907471,3.9856419563293457,3.1971797943115234,3.230393171310425,3.3205406665802,3.5350189208984375,4.194395542144775,3.6219730377197266,3.0301923751831055,2.97269606590271
9,-6.238142490386963,0.5147824287414551,0.1761689931154251,0.25886550545692444,0.0908479318022728,0.5454154014587402,0.33812692761421204,0.24221599102020264,0.04132622480392456,0.8868547081947327,0.8296240568161011,0.1844823956489563,0.817274272441864,0.5384473204612732,0.4474565386772156,0.969234049320221,0.9517465233802795,0.45644259452819824,0.9329624176025391,-2.611962080001831,0.6756913065910339,0.17404039204120636,0.5534706115722656,0.09695874154567719,0.7083348631858826,1.0647785663604736,-0.23739612102508545,0.06387209892272949,0.5523084402084351,0.7936453819274902,-0.43558961153030396,-0.5751628875732422,0.44852006435394287,0.3783573806285858,0.8170161843299866,0.8556606769561768,0.4873906970024109,0.5146287679672241,3.9777283668518066,4.6859941482543945,5.5811004638671875,4.846313953399658,3.603515625,3.8383936882019043,3.7849581241607666,4.273271083831787,5.096244812011719,4.403825759887695,3.4082791805267334,3.5365235805511475
