epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
5,full,5000,5.19698,0.0739064,6.28696,1.30507,1.56585,0.159668,-1.27607,-6.93794,0.331329,0.00162443,0.720687,0.44785,0.616463,0.746648,0.205529
5,snr_low,1667,6.67975,0.0749468,7.80521,1.41084,1.53436,-0.336122,-1.3985,-103.868,0.179073,-0.0157673,0.471856,0.422714,1.31994,0.620987,0.188905
5,snr_mid,1666,5.10033,0.0736246,6.24347,1.28501,1.58096,0.255815,-1.22036,-64.0551,0.355472,-0.000234663,0.657647,0.463503,1.33487,0.762187,0.197239
5,snr_high,1667,3.81081,0.0731477,4.81217,1.21934,1.58224,0.544604,-1.21347,-39.0613,0.458774,0.0192557,0.885759,0.455376,1.42257,0.823967,0.216042
5,mchirp_low,2500,2.72458,0.0771495,6.41438,1.36038,1.56358,0.06468,-1.48934,-7.28538,0.265461,0.000800989,0.934549,0.384504,0.608704,0.686383,0.151964
5,mchirp_high,2500,7.66938,0.0706633,6.15953,1.24975,1.56812,-2.8099,-1.06262,-6.59533,0.398139,0.00194571,1.08549,0.499975,0.620241,0.797485,0.200517
5,merger_early,2500,5.29301,0.107607,6.39205,1.27809,1.5611,0.121674,-14.8587,-7.2768,0.351207,0.0201368,0.692937,0.957178,0.62674,0.686196,0.181623
5,merger_late,2500,5.10095,0.0402061,6.18186,1.33204,1.5706,0.197171,-1.6351,-6.6083,0.310655,-0.0173139,0.74645,0.367625,0.603933,0.804631,0.226044
5,q_low,1667,3.26333,0.0752075,6.37326,1.3346,1.57666,0.038189,-1.33009,-7.12986,0.301181,0.0108942,0.963884,0.405038,0.610178,0.731316,0.177234
5,q_mid,1666,5.22378,0.072835,6.31695,1.28059,1.56166,0.0759496,-1.24049,-6.91344,0.347345,-0.00673986,0.795038,0.455223,0.618092,0.750602,0.211827
5,q_high,1667,7.10385,0.0736761,6.17068,1.29999,1.55922,-0.0432563,-1.25923,-6.77665,0.345493,0.000127119,0.686639,0.479513,0.620617,0.757471,0.217508
5,q_low_mchirp_low,1241,2.66312,0.07554,6.44914,1.36293,1.56457,-0.372039,-1.35512,-7.30169,0.283194,0.0114284,1.17292,0.385241,0.602132,0.707328,0.157474
5,q_low_mchirp_high,426,5.01183,0.0742386,6.15223,1.25209,1.61188,-9.33009,-1.25892,-6.62649,0.356341,0.00840014,2.21467,0.456132,0.62316,0.797795,0.179041
5,q_high_mchirp_low,544,2.68498,0.0812755,6.29101,1.36804,1.55506,0.314057,-1.76943,-7.25967,0.245672,-0.000655062,0.745765,0.405208,0.594319,0.646225,0.143651
5,q_high_mchirp_high,1123,9.24442,0.0699948,6.11239,1.26703,1.56124,-3.71143,-1.02966,-6.55247,0.39441,0.000279476,1.07959,0.510284,0.630533,0.799893,0.203813
10,full,5000,4.0001,0.0235052,3.42784,1.30729,1.56615,0.517579,0.723054,-1.64767,0.283914,-0.00563099,0.695737,0.863233,0.553167,0.539924,0.329682
10,snr_low,1667,5.02369,0.0246167,4.9021,1.38673,1.50382,0.204893,0.67459,-41.2503,0.170452,0.00936332,0.564767,0.814112,1.26801,0.450565,0.297257
10,snr_mid,1666,3.67364,0.0219625,3.48868,1.29667,1.59459,0.620941,0.762808,-19.9576,0.289403,-0.0198676,0.68918,0.86747,1.06545,0.536787,0.310761
10,snr_high,1667,3.30276,0.0239355,1.89278,1.23845,1.60005,0.71505,0.730637,-6.00785,0.391278,-0.00552709,0.795581,0.896837,0.977611,0.612927,0.336104
10,mchirp_low,2500,2.08108,0.0234451,3.44223,1.35608,1.56503,0.463122,0.712705,-1.68886,0.229581,-0.00496673,0.761822,0.833313,0.54174,0.514119,0.349668
10,mchirp_high,2500,5.91911,0.0235653,3.41345,1.25849,1.56727,-1.18724,0.733362,-1.6072,0.339011,-0.00678827,0.830839,0.890476,0.564251,0.560811,0.302967
10,merger_early,2500,4.1424,0.0215481,3.43593,1.27913,1.58438,0.490358,-0.00931299,-1.69834,0.301931,-0.0121961,0.689592,0.984121,0.555873,0.456117,0.318248
10,merger_late,2500,3.85779,0.0254623,3.41975,1.33544,1.54792,0.544465,-0.180759,-1.59854,0.265174,0.000942814,0.700245,1.17649,0.550517,0.603144,0.34055
10,q_low,1667,2.36941,0.0218998,3.44444,1.32533,1.58377,0.483758,0.759655,-1.66778,0.268767,-0.00299246,0.809212,0.874466,0.543473,0.535155,0.341074
