epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
1,full,256,5.97036,0.311825,0.0627243,4.53671,-0.0446845,-1.86008,-0.619752,-3.76615,0.0296458,0.0108979,0.0144252,0.0301503
1,snr_low,85,6.01519,0.300824,0.0666339,7.23152,-0.163782,-2.18319,-0.820666,-97.6773,0.0288721,0.0116717,0.0152735,0.0919493
1,snr_mid,85,5.79907,0.328501,0.0598392,4.54172,-0.00714253,-1.97262,-0.484238,-28.4033,0.0312988,0.0109634,0.0134857,0.0772737
1,snr_high,86,6.09536,0.306216,0.0617116,1.86828,-0.0268311,-1.55145,-0.594085,-5.34821,0.0289693,0.0100777,0.0144457,0.095223
1,mchirp_low,128,4.38356,0.381388,0.0664395,4.30197,-1.49624,-2.54934,-0.679529,-3.64609,0.0616228,0.0098939,0.0143268,0.0302711
1,mchirp_high,128,7.55717,0.242263,0.059009,4.77145,-2.31888,-1.58774,-0.565302,-3.96083,0.043567,0.013581,0.0141925,0.03028
1,merger_early,128,5.74858,0.32394,0.101542,4.65324,-0.0142193,-1.99399,-12.167,-3.95622,0.030863,0.0106425,0.0302656,0.0272687
1,merger_late,128,6.19215,0.299711,0.0239068,4.42017,-0.0898021,-1.74234,-0.05066,-3.59852,0.0283525,0.0111423,0.0324252,0.0328697
2,full,256,5.98883,0.261866,0.0576238,3.67191,-0.05292,-1.04903,-0.269552,-2.41875,0.0205993,0.0186253,0.0130802,0.0248325
2,snr_low,85,6.07053,0.246544,0.0595058,6.329,-0.184052,-1.20943,-0.40064,-74.8195,0.0199572,0.0193801,0.0137027,0.0771515
2,snr_mid,85,5.80764,0.27422,0.0559635,3.64495,-0.0142015,-1.1466,-0.186304,-18.3004,0.0210044,0.0192628,0.0123858,0.0641865
2,snr_high,86,6.08718,0.264799,0.0574046,1.07236,-0.0266654,-0.862379,-0.251419,-1.45352,0.0210011,0.0171885,0.013113,0.0760882
2,mchirp_low,128,4.32568,0.323102,0.0606672,3.42618,-1.44265,-1.62101,-0.314305,-2.27982,0.0434769,0.0168647,0.012756,0.0251547
2,mchirp_high,128,7.65198,0.20063,0.0545804,3.91763,-2.38188,-0.729016,-0.229122,-2.60484,0.0299872,0.0233009,0.0130943,0.0247503
2,merger_early,128,5.75405,0.272457,0.0852909,3.76673,-0.0202214,-1.15331,-8.58699,-2.57313,0.0214762,0.0182141,0.0271418,0.0238202
2,merger_late,128,6.22362,0.251275,0.0299567,3.57709,-0.10025,-0.956005,-0.695307,-2.2803,0.0198142,0.0190264,0.0297496,0.025874
