epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
1,full,256,10.9754,0.0801242,6.44121,1.21759,1.59458,-1.95826,-1.66395,-7.58996,0.460377,-0.0130779,0.055522,0.0124565,0.0402524,0.764397,0.00380339
1,snr_low,85,9.47162,0.0862984,9.13439,1.24879,1.63548,-1.65143,-2.00866,-155.881,0.454415,-0.0493112,0.0544165,0.0123387,0.12514,0.736393,0.00368115
1,snr_mid,85,11.7775,0.0756028,6.44117,1.14362,1.47213,-2.36696,-1.42217,-57.1259,0.475566,0.0794195,0.056608,0.0124893,0.10753,0.805018,0.00415574
1,snr_high,86,11.6688,0.0784905,3.7794,1.25985,1.67518,-1.97664,-1.62723,-21.7102,0.450261,-0.0869533,0.0566011,0.0124161,0.120495,0.758727,0.00362327
1,mchirp_low,128,16.1726,0.0837986,6.19989,1.2167,1.57613,-21.2366,-1.74609,-7.58348,0.451563,0.00715378,0.1177,0.011509,0.0400246,0.777977,0.0038195
1,mchirp_high,128,5.77817,0.0764497,6.68253,1.21847,1.61303,-0.77212,-1.5917,-7.75622,0.467827,-0.0470964,0.0792394,0.0133888,0.0404474,0.752049,0.00377242
1,merger_early,128,11.4174,0.132015,6.55031,1.18992,1.51498,-2.29945,-20.5637,-7.8353,0.462077,0.0105224,0.0541227,0.0253206,0.0417727,0.773567,0.00387479
1,merger_late,128,10.5334,0.0282333,6.33212,1.24526,1.67418,-1.68791,-0.836917,-7.38593,0.458661,-0.0509036,0.056478,0.0288142,0.0384513,0.755618,0.00374528
1,q_low,85,13.4432,0.0818709,6.25756,1.14826,1.6886,-13.3747,-1.67776,-7.43715,0.463742,0.00431901,0.0987738,0.0124279,0.0396348,0.809332,0.00345052
1,q_mid,85,10.0899,0.0816087,6.65273,1.25629,1.53476,-2.27888,-2.02942,-8.43631,0.441518,-0.0166994,0.0607331,0.0127215,0.0426357,0.761099,0.00382327
1,q_high,86,9.41143,0.0769304,6.41367,1.24786,1.56078,-0.646807,-1.38194,-7.0806,0.470475,-0.052305,0.0479792,0.0122176,0.0387414,0.732466,0.0041839
1,q_low_mchirp_low,61,15.2247,0.0838047,6.26137,1.19116,1.67771,-36.4473,-1.69424,-7.27111,0.446211,0.0480782,0.150211,0.0108361,0.0378947,0.80766,0.00349755
1,q_low_mchirp_high,24,8.91513,0.076956,6.24788,1.03922,1.71627,-37.96,-1.65308,-7.9005,0.50877,-0.118263,0.210722,0.0157429,0.0409583,0.813731,0.00323605
1,q_high_mchirp_low,32,17.718,0.0883435,5.99937,1.22451,1.36801,-17.2306,-1.84594,-8.0458,0.459818,-0.120492,0.112864,0.0119022,0.0420576,0.760223,0.00490563
