epoch,subset,n,mae_mchirp,mae_q,mae_merger_time,mae_snr,r2_mchirp,r2_q,r2_merger_time,r2_snr,std_ratio_mchirp,std_ratio_q,std_ratio_merger_time,std_ratio_snr
5,full,5000,3.49044,0.182795,0.0222749,1.16404,0.642094,-0.110824,0.734442,0.603937,0.814373,0.366369,0.93751,0.877822
5,snr_low,1667,4.20686,0.1836,0.0260118,1.4709,0.493414,-0.125979,0.642914,-4.2895,0.623422,0.266303,0.795074,1.51522
5,snr_mid,1666,3.39464,0.179555,0.0203739,1.08475,0.680841,-0.0726503,0.777964,-1.87737,0.802948,0.352113,0.948453,1.73423
5,snr_high,1667,2.86974,0.185228,0.0204377,0.93642,0.746936,-0.136821,0.78089,-1.31723,0.972284,0.453464,1.0502,1.70306
5,mchirp_low,2500,3.82367,0.221905,0.0257566,1.17621,-0.892284,-0.408383,0.647705,0.593955,0.929578,0.252038,0.880381,0.907732
5,mchirp_high,2500,3.1572,0.143684,0.0187931,1.15187,0.215568,-0.0998707,0.821441,0.613768,1.07231,0.34821,0.986493,0.843564
5,merger_early,2500,3.4352,0.183531,0.0202354,1.18418,0.651875,-0.083609,0.147329,0.584881,0.851649,0.377229,0.888595,0.872148
5,merger_late,2500,3.54567,0.182059,0.0243143,1.1439,0.632361,-0.139391,-0.23981,0.622481,0.775697,0.352458,1.35823,0.883355
5,q_low,1667,3.40692,0.308734,0.0224198,1.19506,-0.00876359,-12.159,0.743693,0.58904,0.974193,0.691686,0.922681,0.886267
5,q_mid,1666,3.26933,0.105702,0.0224443,1.15971,0.622716,-2.74358,0.727729,0.605887,0.856149,1.14307,0.938886,0.879757
5,q_high,1667,3.79492,0.133902,0.0219605,1.13735,0.686539,-5.44018,0.73143,0.616646,0.798225,1.30279,0.950755,0.867273
5,q_low_mchirp_low,1241,3.62369,0.310716,0.0234694,1.19432,-1.52454,-12.6147,0.719395,0.589459,1.12516,0.609828,0.904351,0.896715
5,q_low_mchirp_high,426,2.77545,0.302962,0.0193624,1.19722,-2.61019,-29.4077,0.816001,0.587811,1.86809,0.849338,0.974352,0.852418
5,q_high_mchirp_low,544,4.23782,0.212479,0.0280383,1.17051,-0.723884,-11.1057,0.553579,0.590501,0.80467,0.852164,0.81895,0.898872
5,q_high_mchirp_high,1123,3.58038,0.0958381,0.0190164,1.12129,0.0915642,-2.43602,0.813818,0.628782,1.10498,0.960586,0.996569,0.84526
10,full,5000,1.99969,0.165658,0.0232787,0.90095,0.870479,0.113658,0.740561,0.758001,0.995565,0.413865,0.902221,0.882863
10,snr_low,1667,2.47269,0.168081,0.0239833,0.914374,0.800225,0.0712404,0.714975,-1.27454,0.852185,0.302653,0.838034,1.48817
10,snr_mid,1666,1.75994,0.163158,0.0215738,0.868239,0.907916,0.14254,0.773276,-0.930856,0.995665,0.415702,0.922023,1.65265
10,snr_high,1667,1.76629,0.165733,0.024278,0.920215,0.899748,0.124301,0.732606,-1.17615,1.11481,0.498551,0.941651,1.33569
10,mchirp_low,2500,1.68646,0.198957,0.0242004,0.922121,0.561314,-0.105405,0.711905,0.74395,0.998376,0.228896,0.874561,0.894664
10,mchirp_high,2500,2.31291,0.132359,0.022357,0.879778,0.578035,0.091398,0.769253,0.771864,1.12406,0.427434,0.929199,0.870595
10,merger_early,2500,1.92828,0.169584,0.0189511,0.92264,0.877776,0.105521,0.298572,0.742738,0.983076,0.386152,0.821779,0.890744
10,merger_late,2500,2.0711,0.161732,0.0276063,0.879259,0.863237,0.122019,-0.334231,0.772862,1.00681,0.440921,1.18659,0.875132
10,q_low,1667,1.84059,0.256257,0.0222366,0.888325,0.683489,-8.21414,0.770134,0.761359,1.06879,0.677107,0.908264,0.878365
10,q_mid,1666,1.9651,0.0911053,0.0235096,0.892016,0.85289,-1.80491,0.731508,0.764133,1.04624,1.21649,0.898698,0.889139
10,q_high,1667,2.19335,0.149568,0.02409,0.922502,0.881685,-6.83859,0.719155,0.748057,0.991014,1.46039,0.898619,0.881024
