epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_ra,mae_declination,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_ra,r2_declination,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_ra,std_ratio_declination,std_ratio_coa_phase
5,full,5000,4.35175,0.0228901,1.00674,1.57749,0.61296,1.56357,0.490084,0.734141,0.695169,-0.0135357,-0.207672,0.00719715,0.965613,0.881613,0.870953,0,0.235168,5.15881e-08
5,snr_low,1667,4.62387,0.0266645,1.08617,1.5734,0.618582,1.53204,0.410758,0.6405,-2.19606,0.0016169,-0.247082,-0.0147387,0.700224,0.743213,1.50837,6.12517e-17,0.195531,8.94783e-08
5,snr_mid,1666,4.27509,0.0216795,0.907152,1.57894,0.591602,1.57646,0.543442,0.764603,-1.11266,-0.0249491,-0.195179,0.012668,0.939935,0.893817,1.65341,0,0.237531,1.79736e-08
5,snr_high,1667,4.15626,0.0203256,1.02682,1.58014,0.628682,1.58221,0.511115,0.795861,-1.74215,-0.0175534,-0.182945,0.0217729,1.18538,0.989304,1.6428,6.14958e-17,0.265069,2.41716e-16
5,mchirp_low,2500,4.55748,0.0261932,1.03608,1.57361,0.618196,1.56355,-1.4921,0.656565,0.672401,0.00643911,-0.248451,0.00383698,1.08038,0.830993,0.90338,0,0.211697,7.16489e-08
5,mchirp_high,2500,4.14603,0.019587,0.977386,1.58137,0.607723,1.56359,-0.23199,0.811942,0.717637,-0.0343402,-0.168344,0.0100361,1.24099,0.92323,0.8374,0,0.256038,1.39892e-08
5,merger_early,2500,4.18902,0.0220863,1.02645,1.57257,0.59477,1.56179,0.519687,0.0303547,0.678914,0.00285154,-0.126386,0.0203864,0.985671,0.877561,0.865709,0,0.223405,4.00723e-08
5,merger_late,2500,4.51448,0.0236939,0.98702,1.58242,0.631149,1.56535,0.460706,-0.132799,0.71099,-0.0306807,-0.291527,-0.00632505,0.944116,1.22328,0.876085,0,0.232346,6.11081e-08
5,q_low,1667,4.50562,0.0231593,0.993151,1.5615,0.623268,1.57246,-0.574392,0.735165,0.706298,0.0143921,-0.24464,0.0155245,1.132,0.876241,0.871927,6.08156e-17,0.223085,3.56096e-08
5,q_mid,1666,4.26374,0.0230131,1.01576,1.60207,0.609599,1.54974,0.40868,0.730213,0.689708,-0.0697497,-0.22624,0.0105222,1.01403,0.878902,0.87546,0,0.244228,3.16267e-08
5,q_high,1667,4.28584,0.022498,1.0113,1.56892,0.60601,1.56851,0.618958,0.736731,0.68912,0.0116467,-0.15436,-0.00493868,0.953261,0.889732,0.865175,6.12362e-17,0.237789,7.56964e-08
5,q_low_mchirp_low,1241,4.60565,0.0240223,1.00198,1.56041,0.621241,1.56356,-2.68787,0.717389,0.70134,0.0412405,-0.27575,0.014751,1.31318,0.856224,0.878184,0,0.218618,4.06632e-08
5,q_low_mchirp_high,426,4.21423,0.0206453,0.967439,1.56468,0.629173,1.59838,-6.31293,0.787943,0.720824,-0.0773451,-0.16488,0.0166801,2.05951,0.932084,0.853246,6.31259e-17,0.234562,1.3737e-08
5,q_high_mchirp_low,544,4.5662,0.0287145,1.11158,1.56476,0.615652,1.56403,-0.944402,0.573082,0.615205,0.0279742,-0.18959,-0.00921224,0.899801,0.777265,0.909136,0,0.198385,1.31188e-07
5,q_high_mchirp_high,1123,4.15004,0.0194866,0.962729,1.57093,0.601339,1.57067,-0.154794,0.812468,0.723451,0.0036841,-0.137269,-0.00308687,1.27974,0.927205,0.842466,0,0.254793,9.55377e-09
10,full,5000,1.94996,0.0166718,0.935231,1.57749,0.541315,1.56357,0.873482,0.850374,0.739935,-0.0135357,0.100992,0.00719715,0.988227,0.984509,0.903856,0,0.325849,1.66684e-07
