epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
5,full,5000,4.54179,0.0230992,1.11138,1.31478,1.57178,0.441689,0.720795,0.629474,0.415574,-0.00380633,0.861552,0.891149,0.819298,0.840547,0.267698
5,snr_low,1667,4.81637,0.0273113,1.00535,1.32707,1.53333,0.358132,0.61453,-1.69005,0.403367,-0.0160858,0.567815,0.760325,1.51589,0.825173,0.275299
5,snr_mid,1666,4.39136,0.0222489,0.947228,1.3003,1.58456,0.50548,0.747098,-1.37755,0.422125,-0.00411674,0.826737,0.907992,1.6345,0.841794,0.256322
5,snr_high,1667,4.41754,0.0197369,1.38147,1.31695,1.59744,0.455775,0.799201,-3.69417,0.421201,0.0076036,1.07863,0.988488,1.62254,0.854228,0.271243
5,mchirp_low,2500,4.91655,0.0256201,1.16048,1.32301,1.57487,-1.77666,0.655414,0.585409,0.411955,-0.00801277,0.978359,0.850452,0.855414,0.832233,0.278545
5,mchirp_high,2500,4.16702,0.0205782,1.06229,1.30654,1.56868,-0.321961,0.786349,0.672978,0.419199,-0.000133793,1.22262,0.92115,0.7762,0.848934,0.255234
5,merger_early,2500,4.32597,0.0240178,1.12245,1.31829,1.5739,0.481325,-0.20803,0.61907,0.416874,0.00682391,0.889552,1.0562,0.817551,0.82422,0.260333
5,merger_late,2500,4.75761,0.0221806,1.10031,1.31126,1.56965,0.40237,-0.012369,0.63958,0.414215,-0.0147262,0.829735,1.17584,0.820988,0.857097,0.273517
5,q_low,1667,4.6189,0.0225609,1.07495,1.3317,1.59015,-0.663634,0.746212,0.653394,0.406786,-0.0071693,1.06637,0.887957,0.829452,0.838612,0.261357
5,q_mid,1666,4.32752,0.023618,1.1085,1.29646,1.55766,0.379243,0.707411,0.634666,0.423027,0.0044515,0.918716,0.88588,0.826724,0.843368,0.276107
5,q_high,1667,4.67881,0.0231189,1.15069,1.31616,1.56751,0.552129,0.707955,0.599467,0.416923,-0.00892462,0.83927,0.898643,0.801493,0.839711,0.263992
5,q_low_mchirp_low,1241,4.85395,0.0231503,1.09139,1.34654,1.57613,-2.94416,0.732256,0.645033,0.402973,-0.00437862,1.23278,0.868658,0.840428,0.829646,0.270047
